group,comparison,x_metric,y_metric,n,pearson_r,spearman_rho
all,face_vs_task,judge_face_plausibility,task_completion,72,0.141,0.16
all,face_vs_feasibility,judge_face_plausibility,trace_feasibility,72,-0.057,0.01
all,trace_believability_vs_task,judge_trace_believability,task_completion,72,0.207,0.288
all,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,72,0.106,0.094
agentsociety_official_plan_blocks,face_vs_task,judge_face_plausibility,task_completion,18,0.127,0.221
agentsociety_official_plan_blocks,face_vs_feasibility,judge_face_plausibility,trace_feasibility,18,0.466,0.418
agentsociety_official_plan_blocks,trace_believability_vs_task,judge_trace_believability,task_completion,18,0.377,0.403
agentsociety_official_plan_blocks,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,18,0.251,0.195
gatsim_official_planner,face_vs_task,judge_face_plausibility,task_completion,18,0.213,0.194
gatsim_official_planner,face_vs_feasibility,judge_face_plausibility,trace_feasibility,18,0.271,0.417
gatsim_official_planner,trace_believability_vs_task,judge_trace_believability,task_completion,18,0.379,0.322
gatsim_official_planner,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,18,0.433,0.603
generative_agents_official_planner,face_vs_task,judge_face_plausibility,task_completion,18,0.451,0.546
generative_agents_official_planner,face_vs_feasibility,judge_face_plausibility,trace_feasibility,18,-0.151,-0.099
generative_agents_official_planner,trace_believability_vs_task,judge_trace_believability,task_completion,18,0.364,0.449
generative_agents_official_planner,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,18,0.161,-0.061
sotopia_official_llm_agent,face_vs_task,judge_face_plausibility,task_completion,18,0.256,0.296
sotopia_official_llm_agent,face_vs_feasibility,judge_face_plausibility,trace_feasibility,18,-0.217,-0.145
sotopia_official_llm_agent,trace_believability_vs_task,judge_trace_believability,task_completion,18,0.445,0.32
sotopia_official_llm_agent,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,18,-0.012,-0.057
within_scenario_agent,face_vs_task,judge_face_plausibility,task_completion,72,-0.077,-0.116
within_scenario_agent,face_vs_feasibility,judge_face_plausibility,trace_feasibility,72,-0.176,-0.029
within_scenario_agent,trace_believability_vs_task,judge_trace_believability,task_completion,72,-0.183,-0.193
within_scenario_agent,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,72,0.009,-0.118
