scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
hard_budget_entangled_meet,api_llm_react_tool_policy,0.94,0.58,0.93,0.66,1.0,0.0,0.36,0.6,0.0,abrupt abandonment after the budget pivot,"The trace sounds locally sensible because Aria buys medicine and recognizes the cafe budget problem, but the sequence ends immediately after that pivot, so the full behavior feels incomplete and slightly truncated rather than like a lived urban plan."
hard_budget_entangled_meet,api_llm_plan_and_execute,0.78,0.41,0.87,0.55,0.909,0.0,0.37,0.6,0.091,budget contradiction,"The plan reads like a sensible city errand sequence, but the cafe payment makes the budget and intended spend internally inconsistent, which undermines the full trace."
hard_deadline_then_meet,api_llm_react_tool_policy,0.95,0.93,0.98,0.92,1.0,0.0,0.02,1.0,0.0,minor timing oddity in travel duration,"The trace follows a sensible priority order by completing the deadline-bound pharmacy task first, then waiting until Ben's window and meeting him at the cafe; the actions and reasons align closely, with only a small inconsistency in the travel timing details."
hard_deadline_then_meet,api_llm_plan_and_execute,0.92,0.88,0.95,0.9,1.0,0.0,0.04,1.0,0.0,minor timing slack,"The sequence is coherent and socially ordinary: Aria handles the deadline pickup first, then goes to the cafe and meets Ben within the stated window, with only minor inefficiency in the extra waiting and service steps."
hard_full_evening_chain,api_llm_react_tool_policy,0.82,0.38,0.78,0.74,0.9,0.0,0.44,0.55,0.1,budget goes negative,"The plan sounds locally reasonable, but the sequence is overpacked and ends with an impossible budget deficit, which undermines the full trace."
hard_full_evening_chain,api_llm_plan_and_execute,0.78,0.61,0.84,0.67,1.0,0.0,0.17,1.0,0.0,window timing drift,"The plan is locally sensible and the reasons mostly match the actions, but the sequence oddly spends time at the diner and treats the meeting as explicit evidence-gathering, which makes the overall behavior feel somewhat forced."
hard_overlapping_windows,api_llm_react_tool_policy,0.84,0.62,0.79,0.67,1.0,0.0,0.22,0.7,0.0,late cafe meeting completion,"The trace sounds like a reasonable attempt to sequence two overlapping meetings, but it drifts past Ben's window end before finishing, which weakens the full-sequence believability."
hard_overlapping_windows,api_llm_plan_and_execute,0.96,0.93,0.98,0.9,1.0,0.0,0.03,1.0,0.0,minor efficiency/verbosity,"The sequence matches the stated goal and timing logic, with Casey handled before Ben and no obvious feasibility conflict, though the service/enter steps at the cafe add a slightly mechanical feel."
hard_stale_plan_override,api_llm_react_tool_policy,0.92,0.78,0.95,0.74,1.0,0.0,0.14,1.0,0.0,slight role/step realism drift,"The trace sensibly confirms the updated plan, travels to the right cafe, and fits the time window, but the service/payment and interaction steps feel a bit artificial compared with ordinary city behavior."
hard_stale_plan_override,api_llm_plan_and_execute,0.92,0.68,0.93,0.81,1.0,0.0,0.24,1.0,0.0,stale timing / slight sequencing drift,"The actions make sense for verifying and attending the updated meeting, but the trace includes a small inconsistency in the waiting rationale and a somewhat rigid sequence that slightly weakens full-sequence believability."
hard_three_meeting_relay,api_llm_react_tool_policy,0.97,0.92,0.98,0.88,1.0,0.0,0.05,1.0,0.0,slightly schematic timing,"The sequence reads like a reasonable, well-timed urban coordination plan, with only mild stiffness from the very explicit step-by-step evidence logic."
hard_three_meeting_relay,api_llm_plan_and_execute,0.92,0.88,0.97,0.85,1.0,0.0,0.04,1.0,0.0,minor timing slack,"The plan reads like a sensible three-stop coordination sequence with matching reasons and no obvious feasibility violations, though the zero-minute travel and generous timing slack make the full trace slightly less natural."
