scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
hard_budget_entangled_meet,gatsim_official_planner,0.72,0.18,0.86,0.25,1.0,0.0,0.54,1.0,0.0,scripted planner drift,"The individual actions fit the stated errands and meeting, but the repeated generic reasons and the abrupt finish make the full trace feel scripted and only loosely like ordinary city behavior."
hard_budget_entangled_meet,sotopia_official_llm_agent,0.63,0.52,0.18,0.55,0.917,0.0,0.11,0.45,0.083,generic reasoning and wandering sequence,"The route and shopping pattern are superficially plausible, but the repeated generic actions, detour-heavy path, and lack of action-specific reasoning make the full trace feel less believable as coherent city behavior."
hard_budget_entangled_meet,generative_agents_official_planner,0.62,0.18,0.12,0.35,1.0,0.0,0.44,0.6,0.0,goal drift and unmet meetup,"The individual moves to ordinary city locations are locally plausible, but the sequence ignores the stated priorities, never meets Casey, ends at the cafe without returning home, and leaves the budget outcome underexplained."
hard_budget_entangled_meet,agentsociety_official_plan_blocks,0.68,0.34,0.78,0.42,0.75,0.0,0.34,0.7,0.25,budget drift and schedule drift,"The individual steps sound like a reasonable city errand sequence, but the trace drifts off the stated goal window, ends at the wrong place, and leaves the budget outcome ambiguous despite the routine actions."
hard_deadline_then_meet,gatsim_official_planner,0.88,0.35,0.9,0.78,1.0,0.0,0.53,0.7,0.0,deadline missed before detour,"The stated actions make sense locally, but the sequence detours to city hall and market before the pharmacy, so Aria misses the hard pickup deadline even though the later cafe meeting is otherwise plausible."
hard_deadline_then_meet,sotopia_official_llm_agent,0.56,0.34,0.12,0.41,1.0,0.0,0.22,0.7,0.0,generic wandering and no goal-directed behavior,"The route reaches the pharmacy before the deadline, but the trace is mostly unexplained city wandering with no stated relation to the deadline or meeting, so it reads weakly as purposeful urban behavior."
hard_deadline_then_meet,generative_agents_official_planner,0.12,0.08,0.05,0.12,1.0,0.0,0.04,0.7,0.0,adapter-drift and goal neglect,"The trace looks like generic movement through arbitrary places with no connection to the prescription deadline or the promised meeting, so it reads as implausible city behavior rather than a coherent plan."
hard_deadline_then_meet,agentsociety_official_plan_blocks,0.76,0.22,0.83,0.55,1.0,0.0,0.54,0.4,0.0,deadline missed before prescription pickup,"The sequence sounds locally like a transit-based city routine, but it reaches the pharmacy at 12:35 and only starts pickup afterward, so the full trace is not believable for the stated hard deadline."
hard_full_evening_chain,gatsim_official_planner,0.84,0.42,0.76,0.58,1.0,0.0,0.42,1.0,0.0,planner-driven drift,"The chosen activities are locally believable for an evening in town, but the trace reads like generic planner execution and still ends early without clearly grounding the Casey meeting or the full home-by-deadline chain."
hard_full_evening_chain,sotopia_official_llm_agent,0.72,0.32,0.58,0.45,0.917,0.0,0.4,0.7,0.083,drift after diner,"The early grocery and diner sequence is plausible, but the trace then wanders with duplicate market entry and a return toward the plaza instead of clearly heading home, which weakens the full behavior."
hard_full_evening_chain,generative_agents_official_planner,0.84,0.42,0.78,0.73,1.0,0.0,0.42,0.85,0.0,sequence drifts after dinner,"The grocery-to-diner portion is plausible and the reasons fit the actions, but the trace then wanders around with redundant moves and never clearly returns home, so the full evening feels only partly believable."
