group,record_id,title,prior_status,prior_tier_or_reason,recheck_decision,updated_tier,change_flag,recheck_reason,next_action
candidate_pool,doi-0760544397,Is language necessary for human spatial reorientation? Reconsidering evidence from dual task paradigms,assistant_prescreen_exclude,E2 / space_without_target_behavior,confirm_exclude,excluded,no_change,Abstract confirms human spatial cognition and language evidence but no LLM-agent system or target corpus behavior bridge.,leave_excluded
candidate_pool,doi-1360b68ba0,Role of update dynamics in the collective cooperation on the spatial snowdrift games: Beyond unconditional imitation and replicator dynamics,assistant_prescreen_exclude,E2 / space_without_target_behavior,confirm_exclude,excluded,no_change,Abstract confirms non-LLM spatial game dynamics rather than a target LLM-agent or bridge system.,leave_excluded
candidate_pool,doi-14a1aa9661,Space syntax analysis of Central Inuit snow houses,assistant_prescreen_exclude,E2 / space_without_target_behavior,confirm_exclude,excluded,no_change,Abstract confirms space-syntax and social-life relevance but still outside the survey's LLM-agent and active bridge corpus scope.,leave_excluded
candidate_pool,doi-1ea70a6eb7,Dimensions of ecosystem complexity: Heterogeneity connectivity and history,assistant_prescreen_exclude,E3 / unrelated_domain,confirm_exclude,excluded,no_change,Abstract confirms ecological systems scope rather than LLM-agent or spatial-social survey relevance.,leave_excluded
candidate_pool,doi-23ae1b2aa1,The influence of social interactions on the behavioral patterns of the people in urban spaces (case study: The pedestrian zone of Rasht Municipality Square Iran),assistant_prescreen_exclude,E2 / space_without_target_behavior,confirm_exclude,excluded,no_change,Abstract confirms human urban-space behavior evidence but no LLM-agent system and no need to reopen the screened corpus.,leave_excluded
candidate_pool,doi-2d9d2eeb63,A data-driven path planning model for crowd capacity analysis,assistant_prescreen_exclude,E3 / fallback_exclude,confirm_exclude,excluded,no_change,Abstract confirms crowd-planning/path-capacity modeling rather than a target social LLM-agent environment.,leave_excluded
candidate_pool,doi-340c5c95df,The narrative constitution of identity: A relational and network approach,assistant_prescreen_exclude,E3 / fallback_exclude,confirm_exclude,excluded,no_change,Abstract confirms social theory background rather than a target system paper for this survey.,leave_excluded
candidate_pool,doi-3eb5fc3c85,Findings of the Association for Computational Linguistics: EMNLP 2023,assistant_prescreen_exclude,E3 / fallback_exclude,confirm_exclude,excluded,no_change,Proxy abstract confirms this is a proceedings/venue record rather than an article-level target paper.,leave_excluded
candidate_pool,doi-4ba5b832a1,Turning the tables: language and spatial reasoning,assistant_prescreen_exclude,E2 / space_without_target_behavior,confirm_exclude,excluded,no_change,Abstract confirms spatial-language cognition without a relevant agent/system contribution for the survey corpus.,leave_excluded
candidate_pool,doi-4f598db208,Can cognitive inferences be made from aggregate traffic flow data?,assistant_prescreen_exclude,E3 / fallback_exclude,confirm_exclude,excluded,no_change,Abstract confirms traffic-flow inference and cognition linkage but not a target LLM-agent or bridge case.,leave_excluded
candidate_pool,doi-534e3246e7,A realistic outdoor urban pedestrian mobility model,assistant_prescreen_exclude,E3 / fallback_exclude,confirm_exclude,excluded,no_change,Abstract confirms non-LLM pedestrian mobility modeling only.,leave_excluded
candidate_pool,doi-62fb298fd5,The syntax of human actions and interactions,assistant_prescreen_exclude,E3 / fallback_exclude,confirm_exclude,excluded,no_change,Abstract confirms general human action structure theory rather than a target spatial-agent system.,leave_excluded
candidate_pool,doi-65ec8a1bdc,Improving the design of urban underground space in metro stations using the space syntax methodology,assistant_prescreen_exclude,E2 / space_without_target_behavior,confirm_exclude,excluded,no_change,Abstract confirms built-environment design and space-syntax relevance but remains outside active LLM-agent corpus scope.,leave_excluded
candidate_pool,doi-6fdebc1e5f,Neighborhoods and adolescent health-risk behavior: An ecological network approach,assistant_prescreen_exclude,E3 / unrelated_domain,confirm_exclude,excluded,no_change,Abstract confirms social epidemiology rather than a target LLM-agent or bridge system.,leave_excluded
