shortlist_id,title,current_tier,proposed_tier,proposed_core_layer,provisional_agent_accessible_representation,provisional_behavioral_scale,provisional_evidence_status,promotion_readiness,priority,next_action,rationale
HC01,TravelAgent: Generative agents in the built environment,adjacent,core,bridge_core,L5,local_action,observed_effect,immediate,P1,promote_under_widened_bridge_rule,"Strong built-environment L5 interface with observed spatial behavior; previously excluded mainly because current experiments are single-agent navigation rather than multi-agent social simulation."
HC11,Exploring Large Language Model-Driven Agents for Environment-Aware Spatial Interactions and Conversations in Virtual Reality Role-Play Scenarios,adjacent,core,bridge_core,L2,interaction,designed_affordance_only,quick_recheck,P1,promote_if_fulltext_does_not_contradict_bridge_scope,"Spatially explicit social VR role-play case; old boundary rejected it because it is situated interaction rather than a full multi-agent social system."
BK02,When LLMs Recognize Your Space: Research on Experiences with Spatially Aware LLM Agents,adjacent,core,bridge_core,L2,interaction,observed_effect,quick_recheck,P1,promote_as_spatially_aware_bridge_interaction_case,"Strong L2 bridge case for spatially aware interaction quality in a socially situated environment; old boundary kept it adjacent because it is not a population-level simulation."
BK03,A Context-Aware Onboarding Agent for Metaverse Powered by Large Language Models,adjacent,core,bridge_core,L2,interaction,designed_affordance_only,quick_recheck,P1,promote_if_primary_source_still_matches_bridge_scope,"Metaverse environment is explicit and socially situated; old boundary rejected it mainly because the system is single-agent onboarding rather than multi-agent simulation."
BK04,A Voice-Controlled Dialogue System for NPC Interaction using Large Language Models,adjacent,core,bridge_core,L2,interaction,designed_affordance_only,quick_recheck,P1,promote_as_npc_world_bridge_case,"Unity/NPC interaction case with explicit spatial scene; old boundary rejected it because it is a single user-to-NPC interface rather than a social simulator."
BK05,Mixed-Initiative Dialogue Management for Human-Virtual Agents Interaction in Forum Theatre Inspired Training,adjacent,core,bridge_core,L2,interaction,designed_affordance_only,quick_recheck,P1,promote_as_social_vr_training_bridge_case,"Socially staged VR scene with human-virtual-agent interaction; old boundary rejected it because training interaction was judged weaker than multi-agent social simulation."
BK06,TongSIM: A General Platform for Simulating Intelligent Machines,adjacent,core,bridge_core,L5,mixed,designed_affordance_only,immediate,P1,promote_as_rich_social_world_platform_case,"Rich spatial world platform with likely strong agent-facing inputs; old boundary rejected it mainly because the paper reads as a general simulator platform rather than one concrete social system."
BK07,S^3: Social-network Simulation System with Large Language Model-Empowered Agents,adjacent,core,bridge_core,L3_or_L4_recheck,emergent_social_structure,observed_effect,immediate,P1,promote_under_widened_digital_environment_rule,"Collective behavior in a structured digital social environment; old boundary rejected it because structured social-network environments were treated as boundary cases rather than core environments."
BK08,Unveiling the collective behaviors of large language model-based autonomous agents in an online community: A social network analysis perspective,adjacent,core,bridge_core,L3_or_L4_recheck,emergent_social_structure,observed_effect,immediate,P1,promote_under_widened_online_community_rule,"Collective behavior in an online community; old boundary rejected it because online communities were treated as adjacent rather than core environments."
LD01,An Open-Domain Avatar Chatbot by Exploiting a Large Language Model,adjacent,core,bridge_core,L2,interaction,designed_affordance_only,reserve,P2,promote_only_if_more_bridge_mass_is_needed,"Avatar-based immersive interaction is socially situated, but evidence is weaker than the main bridge-core candidates."
R3-03,Cognitive Agents in Urban Mobility: Integrating LLM Reasoning into Multi-Agent Simulations,reserve_or_adjacent,core,bridge_core,L3,mixed,observed_effect,immediate,P1,promote_from_reserve_to_bridge_core,"Already full-text sanity checked; old strict decision kept it reserve because it is closer to urban mobility population adaptation than direct social interaction."
R3-05,Building Cooperative Embodied Agents Modularly with Large Language Models (CoELA),adjacent,core,bridge_core,L5,interaction,observed_effect,immediate,P1,promote_under_embodied_bridge_rule,"Strong embodied multi-agent cooperation evidence with raw sensory observations; old boundary rejected it because it was treated as a benchmark rather than a core social simulation paper."
