paper_id,title,year,venue,source_families,assistant_status,assistant_corpus_tier,assistant_exclusion_reason,assistant_confidence,assistant_priority,assistant_rule,assistant_rationale,final_status,corpus_tier,exclusion_reason,notes
url-64c0ef38c6,Affordable Generative Agents,2024,arXiv,phase1_search_seed_2026-04-13,core,core,,high,high,seed_anchor,Matched the manually curated Phase 1 seed list.,core,core,,[assistant_prescreen] Matched the manually curated Phase 1 seed list.
doi-72766f7b0a,Agent-Based Modelling Meets Generative AI in Social Network Simulations,2025,Lecture notes in computer science,phase1_d_openalex_2026-04-13,core,core,,high,high,known_core_title,Explicitly matches a known LLM multi-agent social simulation/system title.,core,core,,[assistant_prescreen] Explicitly matches a known LLM multi-agent social simulation/system title.
url-7adcfc4b05,AgentSociety: Large-Scale Simulation of LLM-Driven Generative Agents Advances Understanding of Human Behaviors and Society,2025,arXiv,phase1_search_seed_2026-04-13,core,core,,high,high,seed_anchor,Matched the manually curated Phase 1 seed list.,core,core,,[assistant_prescreen] Matched the manually curated Phase 1 seed list.
doi-a464a81349,Artificial Leviathan: Exploring Social Evolution of LLM Agents Through the Lens of Hobbesian Social Contract Theory,2024,arXiv (Cornell University),phase1_d_openalex_2026-04-13; phase1_search_seed_2026-04-13,core,core,,high,high,seed_anchor,Matched the manually curated Phase 1 seed list.,core,core,,[assistant_prescreen] Matched the manually curated Phase 1 seed list.
doi-c975bd4492,Can A Society of Generative Agents Simulate Human Behavior and Inform Public Health Policy? A Case Study on Vaccine Hesitancy,2025,ArXiv.org,phase1_d_openalex_2026-04-13,core,core,,medium,high,llm_social_simulation,Looks like an LLM/generative-agent system paper about social simulation or behavior simulation.,core,core,,[assistant_prescreen] Looks like an LLM/generative-agent system paper about social simulation or behavior simulation.
doi-df8e1463b3,Can Generative Agent-Based Modeling Replicate the Friendship Paradox in Social Media Simulations?,2025,Proceedings of the 17th ACM Web Science Conference 2025,phase1_d_openalex_2026-04-13,core,core,,high,high,known_core_title,Explicitly matches a known LLM multi-agent social simulation/system title.,core,core,,[assistant_prescreen] Explicitly matches a known LLM multi-agent social simulation/system title.
doi-c449e00dca,CharacterEval: A Chinese Benchmark for Role-Playing Conversational Agent Evaluation,2024,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),phase1_d_openalex_2026-04-13,core,core,,medium,high,llm_social_simulation,Looks like an LLM/generative-agent system paper about social simulation or behavior simulation.,core,core,,[assistant_prescreen] Looks like an LLM/generative-agent system paper about social simulation or behavior simulation.
doi-21b59043f6,Exploring Large Language Model-Driven Agents for Environment-Aware Spatial Interactions and Conversations in Virtual Reality Role-Play Scenarios,2025,2025 IEEE Conference Virtual Reality and 3D User Interfaces (VR),phase1_c_openalex_2026-04-13,core,core,,high,high,known_core_title,Explicitly matches a known LLM multi-agent social simulation/system title.,core,core,,[assistant_prescreen] Explicitly matches a known LLM multi-agent social simulation/system title.
doi-31ea992e1f,"Generative Agent Simulations of 1,000 People",2024,arXiv (Cornell University),phase1_d_openalex_2026-04-13,core,core,,high,high,known_core_title,Explicitly matches a known LLM multi-agent social simulation/system title.,core,core,,[assistant_prescreen] Explicitly matches a known LLM multi-agent social simulation/system title.
doi-5cff7c083c,"Generative agent-based modeling with actions grounded in physical, social, or digital space using Concordia",2023,arXiv (Cornell University),phase1_d_openalex_2026-04-13; phase1_search_seed_2026-04-13,core,core,,high,high,seed_anchor,Matched the manually curated Phase 1 seed list.,core,core,,[assistant_prescreen] Matched the manually curated Phase 1 seed list.
doi-109f4815f9,Generative Agents: Interactive Simulacra of Human Behavior,2023,Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology,phase1_d_openalex_2026-04-13; phase1_search_seed_2026-04-13,core,core,,high,high,seed_anchor,Matched the manually curated Phase 1 seed list.,core,core,,[assistant_prescreen] Matched the manually curated Phase 1 seed list.
doi-d6f8f74cf0,Harnessing Large Language Models to Simulate Realistic Human Responses to Social Engineering Attacks: A Case Study,2023,International Journal of Cybersecurity Intelligence and Cybercrime,phase1_d_openalex_2026-04-13,core,core,,medium,high,llm_social_simulation,Looks like an LLM/generative-agent system paper about social simulation or behavior simulation.,core,core,,[assistant_prescreen] Looks like an LLM/generative-agent system paper about social simulation or behavior simulation.
doi-7ee4c1d19c,Multimodal Safety Evaluation in Generative Agent Social Simulations,2025,ArXiv.org,phase1_d_openalex_2026-04-13,core,core,,high,high,known_core_title,Explicitly matches a known LLM multi-agent social simulation/system title.,core,core,,[assistant_prescreen] Explicitly matches a known LLM multi-agent social simulation/system title.
url-038978f7e5,OASIS: Open Agent Social Interaction Simulations with One Million Agents,2024,arXiv,phase1_search_seed_2026-04-13,core,core,,high,high,seed_anchor,Matched the manually curated Phase 1 seed list.,core,core,,[assistant_prescreen] Matched the manually curated Phase 1 seed list.
url-2eb998ca10,Project Sid: Many-agent simulations toward AI civilization,2024,arXiv,phase1_search_seed_2026-04-13,core,core,,high,high,seed_anchor,Matched the manually curated Phase 1 seed list.,core,core,,[assistant_prescreen] Matched the manually curated Phase 1 seed list.
doi-92d5331db0,Psychologically-Valid Generative Agents: A Novel Approach to Agent-Based Modeling in Social Sciences,2024,Proceedings of the AAAI Symposium Series,phase1_d_openalex_2026-04-13,core,core,,high,high,known_core_title,Explicitly matches a known LLM multi-agent social simulation/system title.,core,core,,[assistant_prescreen] Explicitly matches a known LLM multi-agent social simulation/system title.
doi-8135ab7f3e,Simulating Public Administration Crisis: A Novel Generative Agent-Based Simulation System to Lower Technology Barriers in Social Science Research,2023,arXiv (Cornell University),phase1_d_openalex_2026-04-13,core,core,,medium,high,llm_social_simulation,Looks like an LLM/generative-agent system paper about social simulation or behavior simulation.,core,core,,[assistant_prescreen] Looks like an LLM/generative-agent system paper about social simulation or behavior simulation.
doi-51b19fd45b,TravelAgent: Generative agents in the built environment,2025,Environment and Planning B Urban Analytics and City Science,phase1_b_openalex_2026-04-13,core,core,,high,high,known_core_title,Explicitly matches a known LLM multi-agent social simulation/system title.,core,core,,[assistant_prescreen] Explicitly matches a known LLM multi-agent social simulation/system title.
url-a0f6a81c1b,Unveiling the Truth and Facilitating Change: Towards Agent-based Large-scale Social Movement Simulation,2024,Findings of ACL 2024,phase1_search_seed_2026-04-13,core,core,,high,high,seed_anchor,Matched the manually curated Phase 1 seed list.,core,core,,[assistant_prescreen] Matched the manually curated Phase 1 seed list.
doi-29ed4deb01,User Behavior Simulation with Large Language Model based Agents,2023,arXiv (Cornell University),phase1_d_openalex_2026-04-13,core,core,,high,high,known_core_title,Explicitly matches a known LLM multi-agent social simulation/system title.,core,core,,[assistant_prescreen] Explicitly matches a known LLM multi-agent social simulation/system title.
