"paper_id","title","year","venue","source_families","final_status","corpus_tier","exclusion_reason","notes","recheck_required","rechecked_status","rechecked_exclusion_reason","recheck_notes"
"doi-9bb753fd7d","FSL","2011","NeuroImage","phase1_a_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Does not appear to fit Core, Adjacent, or Foundational corpus definitions.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-f13eccd952","CYC","1995","Communications of the ACM","phase1_a_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Does not appear to fit Core, Adjacent, or Foundational corpus definitions.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-394edf537c","Visual Spatial Reasoning","2023","Transactions of the Association for Computational Linguistics","phase1_c_openalex_2026-04-13","excluded","","E1","[assistant_prescreen] Mentions LLM/agents but does not clearly indicate a spatial environment relevant to this review.","yes","excluded","E1","二次复核维持排除：当前材料仍不足以证明存在可识别空间环境，不纳入本综述空间语料。"
"doi-9033adbb32","A survey of uncertainty in deep neural networks","2023","Artificial Intelligence Review","phase1_b_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Does not appear to fit Core, Adjacent, or Foundational corpus definitions.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-941664dba4","A Survey on ChatGPT: AI–Generated Contents, Challenges, and Solutions","2023","IEEE Open Journal of the Computer Society","phase1_b_openalex_2026-04-13","excluded","","E1","[assistant_prescreen] Mentions LLM/agents but does not clearly indicate a spatial environment relevant to this review.","yes","excluded","E1","二次复核维持排除：当前材料仍不足以证明存在可识别空间环境，不纳入本综述空间语料。"
"doi-45e7a80728","AI-Based Modeling: Techniques, Applications and Research Issues Towards Automation, Intelligent and Smart Systems","2022","SN Computer Science","phase1_b_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Does not appear to fit Core, Adjacent, or Foundational corpus definitions.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-f5c83dfb23","Generating Syntactically Controlled Paraphrases without Using Annotated Parallel Pairs","2021","Proceedings of the 16th Conference of the European Chapter of the Association for Computational Linguistics: Main Volume","phase1_a_openalex_2026-04-13","excluded","","E2","[assistant_prescreen] Touches space/spatial topics but does not clearly fit Adjacent or Foundational target behavior scope.","yes","excluded","E2","二次复核维持排除：虽涉及空间/语言或相关任务，但不直接覆盖本文要求的社会行为或目标行为范围。"
"url-c7f73181d2","The Effects of Spatial Layouts on Students' Interactions in Middle Schools: Multiple Case Analysis","2004","NCSU Libraries Repository (North Carolina State University Libraries)","phase1_e_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Appears outside LLM-agent scope and outside the foundational spatial theory bridge.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-4cccccb1aa","MizAR 60 for Mizar 50","2023","DROPS (Schloss Dagstuhl – Leibniz Center for Informatics)","phase1_a_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Does not appear to fit Core, Adjacent, or Foundational corpus definitions.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-b3228ad903","Returning the tables: language affects spatial reasoning","2002","Cognition","phase1_e_openalex_2026-04-13","excluded","","E2","[assistant_prescreen] Touches space/spatial topics but does not clearly fit Adjacent or Foundational target behavior scope.","yes","excluded","E2","二次复核维持排除：虽涉及空间/语言或相关任务，但不直接覆盖本文要求的社会行为或目标行为范围。"
"doi-f881f52b3d","Can Open Large Language Models Catch Vulnerabilities?","2025","ArXiv.org","phase1_d_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Appears outside LLM-agent scope and outside the foundational spatial theory bridge.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-65ec8a1bdc","Improving the design of urban underground space in metro stations using the space syntax methodology","2013","Tunnelling and Underground Space Technology","phase1_a_openalex_2026-04-13","excluded","","E2","[assistant_prescreen] Touches space/spatial topics but does not clearly fit Adjacent or Foundational target behavior scope.","yes","excluded","E2","二次复核维持排除：虽涉及空间/语言或相关任务，但不直接覆盖本文要求的社会行为或目标行为范围。"
"doi-a7d9da527c","Space Syntax vs Agent-Based Modelling in the Maze of Urban Complexity: A Critical Comparison Between Top-Down and Bottom-Up Approaches and Applications","2024","Lecture notes in civil engineering","phase1_a_openalex_2026-04-13","excluded","","E2","[assistant_prescreen] Touches space/spatial topics but does not clearly fit Adjacent or Foundational target behavior scope.","yes","excluded","E2","二次复核维持排除：虽涉及空间/语言或相关任务，但不直接覆盖本文要求的社会行为或目标行为范围。"
"doi-d98ad566ee","Convolutional Neural Networks for Sentence Classification","2014","Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing (EMNLP)","phase1_a_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Does not appear to fit Core, Adjacent, or Foundational corpus definitions.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-326f93b537","Large language models empowered agent-based modeling and simulation: a survey and perspectives","2024","Humanities and Social Sciences Communications","phase1_b_openalex_2026-04-13; phase1_d_openalex_2026-04-13","excluded","excluded","E1","[assistant_prescreen] Useful survey/review background, but not a Core evidence-map system. | [abstract_rereview_r1] 这是 general LLM+ABM survey，不直接回答空间能力边界，先按 E1 排除出本轮正式语料。","yes","excluded","E1","二次复核维持排除：当前材料仍不足以证明存在可识别空间环境，不纳入本综述空间语料。"
