"fresh_id","title","year","venue","doi","url","query","duplicate_existing_pool","duplicate_prior_targeted_screen","title_l4_priority","title_target_families","disposition_status","disposition_tier","disposition_reason","next_action","cited_by_count"
"FT-L4-001","Membership Inference Attacks on Machine Learning: A Survey","2022","ACM Computing Surveys","https://doi.org/10.1145/3523273","https://doi.org/10.1145/3523273","""large language model"" ""social network"" ""centrality""","False","False","low","","title_abstract_exclude","excluded","Review/background item rather than a primary LLM-agent spatial/social system.","exclude_or_background_only","467"
"FT-L4-002","Applications of game theory in deep learning: a survey","2022","Multimedia Tools and Applications","https://doi.org/10.1007/s11042-022-12153-2","https://doi.org/10.1007/s11042-022-12153-2","""generative agents"" ""social network"" ""community""","False","False","low","title_vr_npc_embodied","title_abstract_exclude","excluded","Review/background item rather than a primary LLM-agent spatial/social system.","exclude_or_background_only","75"
"FT-L4-003","6G-Enabled Edge AI for Metaverse: Challenges, Methods, and Future Research Directions","2022","Journal of Communications and Information Networks","https://doi.org/10.23919/jcin.2022.9815195","https://doi.org/10.23919/jcin.2022.9815195","""large language model"" ""metaverse"" ""avatar"" ""spatial""","False","False","low","title_vr_npc_embodied","title_abstract_exclude","excluded","Review/background item rather than a primary LLM-agent spatial/social system.","exclude_or_background_only","188"
"FT-L4-004","Social Simulacra: Creating Populated Prototypes for Social Computing Systems","2022","","https://doi.org/10.1145/3526113.3545616","https://doi.org/10.1145/3526113.3545616","""large language model"" ""social network"" ""centrality""","False","False","low","title_vr_npc_embodied","title_abstract_exclude","excluded","No clear LLM-agent spatial/social/network system from title-level screen.","exclude","167"
"FT-L4-005","Co-Writing with Opinionated Language Models Affects Users’ Views","2023","","https://doi.org/10.1145/3544548.3581196","https://doi.org/10.1145/3544548.3581196","""large language model"" ""social network"" ""centrality""","False","False","low","","title_abstract_exclude","excluded","No clear LLM-agent spatial/social/network system from title-level screen.","exclude","222"
"FT-L4-006","Augmenting human innovation teams with artificial intelligence: Exploring transformer‐based language models","2023","Journal of Product Innovation Management","https://doi.org/10.1111/jpim.12656","https://doi.org/10.1111/jpim.12656","""large language model"" ""social network"" ""centrality""","False","False","low","","title_abstract_exclude","excluded","No clear LLM-agent spatial/social/network system from title-level screen.","exclude","363"
"FT-L4-007","What if the devil is my guardian angel: ChatGPT as a case study of using chatbots in education","2023","Smart Learning Environments","https://doi.org/10.1186/s40561-023-00237-x","https://doi.org/10.1186/s40561-023-00237-x","""large language model"" ""social network"" ""centrality""","False","False","low","title_llm_agent","title_abstract_exclude","excluded","Title indicates unrelated domain or no LLM-agent spatial/social system.","exclude","1503"
"FT-L4-008","Unleashing the Power of Edge-Cloud Generative AI in Mobile Networks: A Survey of AIGC Services","2023","arXiv (Cornell University)","https://doi.org/10.48550/arxiv.2303.16129","https://doi.org/10.48550/arxiv.2303.16129","""large language model"" ""metaverse"" ""avatar"" ""spatial""","False","False","medium","title_l4_graph_topology","title_abstract_exclude","excluded","Review/background item rather than a primary LLM-agent spatial/social system.","exclude_or_background_only","56"
"FT-L4-009","Learning theories for artificial intelligence promoting learning processes","2023","British Journal of Educational Technology","https://doi.org/10.1111/bjet.13341","https://doi.org/10.1111/bjet.13341","""generative agents"" ""social network"" ""community""","False","False","low","","title_abstract_exclude","excluded","No clear LLM-agent spatial/social/network system from title-level screen.","exclude","118"
"FT-L4-010","Exploring the Darkverse: A Multi-Perspective Analysis of the Negative Societal Impacts of the Metaverse","2023","Information Systems Frontiers","https://doi.org/10.1007/s10796-023-10400-x","https://doi.org/10.1007/s10796-023-10400-x","""large language model"" ""metaverse"" ""avatar"" ""spatial""","False","False","low","title_vr_npc_embodied","title_abstract_exclude","excluded","Review/background item rather than a primary LLM-agent spatial/social system.","exclude_or_background_only","198"
"FT-L4-011","Privacy-Enhancing Digital Contact Tracing with Machine Learning for Pandemic Response: A Comprehensive Review","2023","Big Data and Cognitive Computing","https://doi.org/10.3390/bdcc7020108","https://doi.org/10.3390/bdcc7020108","""large language model"" ""agent-based simulation"" ""graph""","False","False","low","","title_abstract_exclude","excluded","Review/background item rather than a primary LLM-agent spatial/social system.","exclude_or_background_only","26"
"FT-L4-012","Social bot detection in the age of ChatGPT: Challenges and opportunities","2023","First Monday","https://doi.org/10.5210/fm.v28i6.13185","https://doi.org/10.5210/fm.v28i6.13185","""generative agents"" ""social network"" ""community""","False","False","low","title_llm_agent","title_abstract_exclude","excluded","Review/background item rather than a primary LLM-agent spatial/social system.","exclude_or_background_only","53"
"FT-L4-013","Connecting the dots in trustworthy Artificial Intelligence: From AI principles, ethics, and key requirements to responsible AI systems and regulation","2023","Information Fusion","https://doi.org/10.1016/j.inffus.2023.101896","https://doi.org/10.1016/j.inffus.2023.101896","""large language model"" ""social network"" ""centrality""","True","False","low","","duplicate_existing_pool","duplicate","Duplicate of original Phase 1 candidate pool.","do_not_count_as_new_screen_record","622"
"FT-L4-014","Human-AI Coevolution","2023","arXiv (Cornell University)","https://doi.org/10.48550/arxiv.2306.13723","https://doi.org/10.48550/arxiv.2306.13723","""LLM"" ""opinion dynamics"" ""network structure""","False","False","low","","title_abstract_exclude","excluded","No clear LLM-agent spatial/social/network system from title-level screen.","exclude","9"
"FT-L4-015","Algorithmic fairness in artificial intelligence for medicine and healthcare","2023","Nature Biomedical Engineering","https://doi.org/10.1038/s41551-023-01056-8","https://doi.org/10.1038/s41551-023-01056-8","""large language model"" ""social network"" ""centrality""","False","False","low","","title_abstract_exclude","excluded","Title indicates unrelated domain or no LLM-agent spatial/social system.","exclude","533"
"FT-L4-016","S$^3$: Social-network Simulation System with Large Language Model-Empowered Agents","2023","arXiv (Cornell University)","https://doi.org/10.48550/arxiv.2307.14984","https://doi.org/10.48550/arxiv.2307.14984","""large language model"" ""agent-based simulation"" ""graph""","False","False","high","title_l4_graph_topology;title_llm_agent","duplicate_existing_pool","duplicate","Duplicate/covered by existing BK07 S^3 bridge-core row.","do_not_count_as_new_screen_record","6"
"FT-L4-017","Developing a Next-Generation Model for Massive Digital Learning","2023","Education Sciences","https://doi.org/10.3390/educsci13080845","https://doi.org/10.3390/educsci13080845","""large language model"" ""agent-based simulation"" ""graph""","False","False","low","","title_abstract_exclude","excluded","No clear LLM-agent spatial/social/network system from title-level screen.","exclude","14"
"FT-L4-018","A Survey on Large Language Model based Autonomous Agents","2023","arXiv (Cornell University)","https://doi.org/10.48550/arxiv.2308.11432","https://doi.org/10.48550/arxiv.2308.11432","""large language model"" ""agent-based simulation"" ""graph""","True","False","low","title_llm_agent","duplicate_existing_pool","duplicate","Duplicate of original Phase 1 candidate pool.","do_not_count_as_new_screen_record","113"
