repeat_id,scenario_id,family,agent_type,task_completion,goal_completion,trace_feasibility,intention_consistency,replanning_success,judge_face_plausibility,judge_trace_believability,face_believability_gap,impossible_trace_rate,done_state_loop_rate,social_derailment_rate,constraint_satisfaction,process_success,plan_plausibility,plausibility_feasibility_gap,travel_efficiency,budget_consistency,social_appropriateness,feasibility_violation,city_false_continue,face_feasibility_gap,route_interruption_count,verified_replan_count,llm_calls,llm_latency_seconds,llm_total_tokens,judge_rationale_alignment,judge_urban_common_sense,failure_taxonomy,judge_main_issue,judge_brief_reason
1,hard_budget_entangled_meet,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,1.0,1.0,,0.93,0.96,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,11,102.904,45846,0.97,0.9,{},none,"The sequence reads like a sensible city errand and meeting plan, with timings and reasons that mostly match the scenario and no obvious behavioral contradictions."
1,hard_budget_entangled_meet,social_outcome_hard,api_llm_plan_and_execute,0.385,0.6,1.0,0.6,,0.76,0.48,0.28,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,18.873,3090,0.72,0.68,"{""goal_drift"": 1, ""social_derailment"": 1}",missed meeting window and deadline drift,"The plan is locally reasonable, but the timing slips past the stated meeting window and return deadline, so the full trace reads as only partially believable urban behavior."
1,hard_deadline_then_meet,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,1.0,1.0,,0.96,0.91,0.05,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,9,91.844,35792,0.98,0.88,{},slight over-structured service use,"The sequence cleanly prioritizes the far-away deadline first, then waits and meets Ben in the correct time window, and the stated reasons match the actions throughout."
1,hard_deadline_then_meet,social_outcome_hard,api_llm_plan_and_execute,0.5,0.7,1.0,0.7,,0.78,0.34,0.44,0.0,0.0,0.0,1.0,,1.0,0.0,0.709,1.0,0.0,0.0,0.0,0.0,0,0,1,19.8,3513,0.72,0.41,"{""goal_drift"": 1}",wandering route and missed meeting window,"The intent and the early pharmacy trip are plausible, but the route becomes oddly circuitous and the trace ends before any believable arrival at the cafe meeting, so the full behavior feels weak."
1,hard_full_evening_chain,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,1.0,1.0,,0.92,0.78,0.14,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,10,67.119,42881,0.94,0.88,{},tight timing chain,"The sequence reads like a reasonable evening errand chain, and the stated reasons match the actions well, though the compressed timing and perfect window capture make the full trace feel somewhat engineered."
1,hard_full_evening_chain,social_outcome_hard,api_llm_plan_and_execute,0.786,0.85,1.0,0.85,,0.86,0.38,0.48,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,16.23,3284,0.82,0.55,"{""social_derailment"": 1}",incomplete return home,"The plan sounds locally reasonable for a busy evening, but the trace stops with Aria still at the gym and never shows the final trip home before the deadline."
1,hard_overlapping_windows,social_outcome_hard,api_llm_react_tool_policy,0.5,0.7,1.0,0.7,,0.86,0.78,0.08,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0,0,8,45.092,30529,0.92,0.8,"{""goal_drift"": 1, ""social_derailment"": 1}",slight sequencing drift,"The plan and reasons are locally coherent and match the scenario, but the Ben meeting runs past the stated window by a few minutes, which makes the full trace a bit less believable than the individual steps."
1,hard_overlapping_windows,social_outcome_hard,api_llm_plan_and_execute,0.5,0.5,0.857,0.429,,0.86,0.18,0.68,0.143,0.0,1.0,0.5,,1.0,0.143,1.0,1.0,0.5,0.143,0.0,0.003,0,0,1,11.132,2884,0.55,0.32,"{""invalid_state_transition"": 1, ""social_derailment"": 1}",timeline inconsistency,"The plan sounds reasonable at a glance, but the full trace breaks its own timing by reaching the cafe at 12:57, then claiming Ben is still available after 13:00 while also overstating the arrival time."
1,hard_stale_plan_override,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,1.0,1.0,,0.84,0.56,0.28,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,6,33.765,21823,0.91,0.73,{},over-optimized scripted sequence,"The individual actions make sense for confirming a changed meeting and getting to the updated location, but the full trace feels a bit scripted and assumption-heavy, especially the immediate arrival and interaction without any explicit reply from Ben."
1,hard_stale_plan_override,social_outcome_hard,api_llm_plan_and_execute,0.333,0.6,1.0,0.6,,0.83,0.62,0.21,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0,0,1,11.67,2704,0.88,0.79,"{""goal_drift"": 1, ""social_derailment"": 1}",timing drift after update,"The actions are locally sensible for confirming a changed meeting, but the sequence still leans on a stale update and then overshoots the meeting window, which weakens the full trace."
