paper_id,title,year,venue,source_families,final_status,corpus_tier,exclusion_reason,notes
url-fefbb121e5,Generative Agents: Interactive Simulacra of Human Behavior,2023,LLM-based game agents,paper_list_llm_based_game_agents,core,core,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as core corpus during Phase 0 prescreen.
url-5e8a9349f5,A Survey on Large Language Model-Based Game Agents,2024,LLM-based game agents,paper_list_llm_based_game_agents,adjacent,adjacent,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
url-64c0ef38c6,Affordable Generative Agents,2024,LLM-based game agents,paper_list_llm_based_game_agents,core,core,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as core corpus during Phase 0 prescreen.
url-2eb998ca10,Project Sid: Many-Agent Simulations Toward AI Civilization,2024,LLM-based game agents,paper_list_llm_based_game_agents,core,core,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as core corpus during Phase 0 prescreen.
url-809521b309,LIGS: Developing an LLM-Infused Game System for Emergent Narrative,2025,LLM-based game agents,paper_list_llm_based_game_agents,core,core,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as core corpus during Phase 0 prescreen.
url-2659d842ca,MultiAgentBench: Evaluating the Collaboration and Competition of LLM Agents,2025,LLM-based game agents,paper_list_llm_based_game_agents,excluded,excluded,E1,Seeded from local generated paper list for Phase 0 prescreening. Collaboration topology benchmark without a persistent spatial environment.
url-7a938c81e0,Artificial Leviathan: Exploring Social Evolution of LLM Agents Through the Lens of Hobbesian Social Contract Theory,2024,LLM-based game agents,paper_list_llm_based_game_agents,core,core,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as core corpus during Phase 0 prescreen.
url-8241d30b40,The Social Logic of Space,1984,Space Syntax theory and agent simulation,paper_list_space_syntax_theory_and_agent_simulation,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-9de6537213,Space is the Machine: A Configurational Theory of Architecture,1996,Space Syntax theory and agent simulation,paper_list_space_syntax_theory_and_agent_simulation,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-8b98cc2f48,From Isovists to Visibility Graphs: A Methodology for the Analysis of Architectural Space,2001,Space Syntax theory and agent simulation,paper_list_space_syntax_theory_and_agent_simulation,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-2b12d88bb3,Space Syntax Based Agent Simulation,,Space Syntax theory and agent simulation,paper_list_space_syntax_theory_and_agent_simulation,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-c613387c8a,"Space Syntax Methodology (4th edition, draft)",2014,Space Syntax theory and agent simulation,paper_list_space_syntax_theory_and_agent_simulation,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-245f793559,"Agent-Based Analysis of Urban Spaces Using Space Syntax and Spatial Cognition Approaches: A Case Study in Bari, Italy",2020,Space Syntax theory and agent simulation,paper_list_space_syntax_theory_and_agent_simulation,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-89da260651,Computational Analytical Methods for Buildings and Cities: Space Syntax and Shape Grammar,2023,Space Syntax theory and agent simulation,paper_list_space_syntax_theory_and_agent_simulation,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-7c6bf1a96c,"Comparative Analysis of Pedestrian Volume Models: Agent-Based Models, Machine Learning Methods and Multiple Regression Analysis",2024,Space Syntax theory and agent simulation,paper_list_space_syntax_theory_and_agent_simulation,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-98dd4ee7c3,Evaluation of Spatial Visual Perception of Streets Based on Deep Learning and Spatial Syntax,2025,Space Syntax theory and agent simulation,paper_list_space_syntax_theory_and_agent_simulation,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-e620f90a2d,Visibility Graph Analysis vs. Human Mobility Patterns: An Empirical Validation of Simulation-Based Analysis Using Space Syntax in Public Squares,2026,Space Syntax theory and agent simulation,paper_list_space_syntax_theory_and_agent_simulation,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-47f7d49f88,When LLMs Recognize Your Space: Research on Experiences with Spatially Aware LLM Agents,2025,Spatially-aware LLM agents,paper_list_spatially_aware_llm_agents,adjacent,adjacent,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
url-45f998d899,SARAH: Spatially Aware Real-time Agentic Humans,2026,Spatially-aware LLM agents,paper_list_spatially_aware_llm_agents,adjacent,adjacent,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
url-5d937c2070,Advancing Spatial Reasoning in Large Language Models: An In-Depth Evaluation and Enhancement Using the StepGame Benchmark,2024,Spatially-aware LLM agents,paper_list_spatially_aware_llm_agents,adjacent,adjacent,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
url-25909e401a,SpatialVLM: Endowing Vision-Language Models with Spatial Reasoning Capabilities,2024,Spatially-aware LLM agents,paper_list_spatially_aware_llm_agents,adjacent,adjacent,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
url-04da6458d5,Reframing Spatial Reasoning Evaluation in Language Models: A Real-World Simulation Benchmark for Qualitative Reasoning,2024,Spatially-aware LLM agents,paper_list_spatially_aware_llm_agents,adjacent,adjacent,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
url-ceec8afb05,LLM-Driven NPCs: Cross-Platform Dialogue System for Games and Social Platforms,2025,NPC dialogue and behavior systems,paper_list_npc_dialogue_and_behavior_systems,core,core,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as core corpus during Phase 0 prescreen.
url-ff5ceb36ad,Deflanderization for Game Dialogue: Balancing Character Authenticity with Task Execution in LLM-based NPCs,2025,NPC dialogue and behavior systems,paper_list_npc_dialogue_and_behavior_systems,excluded,excluded,E1,Seeded from local generated paper list for Phase 0 prescreening. Dialogue-quality study without an analyzable spatial environment.
url-298d13e2d4,Tricking LLM-Based NPCs into Spilling Secrets,2025,NPC dialogue and behavior systems,paper_list_npc_dialogue_and_behavior_systems,excluded,excluded,E1,"Seeded from local generated paper list for Phase 0 prescreening. Security study for NPC prompting, not a spatial social simulation."
url-dfcd640f65,Ubisoft Project NEO NPC (Industry Prototype),2024,NPC dialogue and behavior systems,paper_list_npc_dialogue_and_behavior_systems,excluded,excluded,E5,Seeded from local generated paper list for Phase 0 prescreening. Industry news/prototype coverage rather than an accessible research paper.
url-29ba3bf183,Fixed-Persona SLMs with Modular Memory: Scalable NPC Dialogue on Consumer Hardware,2025,NPC dialogue and behavior systems,paper_list_npc_dialogue_and_behavior_systems,excluded,excluded,E1,Seeded from local generated paper list for Phase 0 prescreening. Persona-memory study without a stable spatial environment.
url-9737aca010,Character-LLM: A Trainable Agent for Role-Playing,2023,NPC dialogue and behavior systems,paper_list_npc_dialogue_and_behavior_systems,excluded,excluded,E1,Seeded from local generated paper list for Phase 0 prescreening. Role-playing agent work without an explicit spatial environment.
url-9462d39517,Language Agents with Reinforcement Learning for Strategic Play in the Werewolf Game,2023,Multi-agent social simulation and emergent behavior,paper_list_multi_agent_social_simulation_and_emergent_behavior,excluded,excluded,E1,Seeded from local generated paper list for Phase 0 prescreening. Strategic social game without a spatial environment.
url-075bb7df3a,Learning Strategic Language Agents in the Werewolf Game with Iterative Latent Space Policy Optimization (LSPO),2025,Multi-agent social simulation and emergent behavior,paper_list_multi_agent_social_simulation_and_emergent_behavior,excluded,excluded,E1,Seeded from local generated paper list for Phase 0 prescreening. Strategic social game without a spatial environment.
url-7d9efef02c,ProAgent: Building Proactive Cooperative Agents with Large Language Models,2024,Multi-agent social simulation and emergent behavior,paper_list_multi_agent_social_simulation_and_emergent_behavior,adjacent,adjacent,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
url-67115afc02,S³: Social-network Simulation System with Large Language Model-Empowered Agents,2023,Multi-agent social simulation and emergent behavior,paper_list_multi_agent_social_simulation_and_emergent_behavior,excluded,excluded,E1,Seeded from local generated paper list for Phase 0 prescreening. Social-network simulation without an embodied or navigable space.
url-9e743060fa,SOTOPIA: Interactive Evaluation for Social Intelligence in Language Agents,2024,Multi-agent social simulation and emergent behavior,paper_list_multi_agent_social_simulation_and_emergent_behavior,excluded,excluded,E1,Seeded from local generated paper list for Phase 0 prescreening. Social interaction benchmark without a spatial environment.
url-7adcfc4b05,AgentSociety: Large-Scale Simulation of LLM-Driven Generative Agents,2025,Multi-agent social simulation and emergent behavior,paper_list_multi_agent_social_simulation_and_emergent_behavior,core,core,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as core corpus during Phase 0 prescreen.
url-7094be2ebc,Agentic Memory: Learning Unified Long-Term and Short-Term Memory Management for Large Language Model Agents (AgeMem),2026,Agent memory and cognitive architecture,paper_list_agent_memory_and_cognitive_architecture,excluded,excluded,E1,Seeded from local generated paper list for Phase 0 prescreening. Agent memory infrastructure without spatial or social simulation focus.
url-8cea3482f7,MemGPT: Towards LLMs as Operating Systems,2023,Agent memory and cognitive architecture,paper_list_agent_memory_and_cognitive_architecture,excluded,excluded,E1,Seeded from local generated paper list for Phase 0 prescreening. Memory/OS architecture paper without a spatial environment.
url-c24672ebcb,Reflexion: Language Agents with Verbal Reinforcement Learning,2023,Agent memory and cognitive architecture,paper_list_agent_memory_and_cognitive_architecture,excluded,excluded,E1,Seeded from local generated paper list for Phase 0 prescreening. General agent improvement framework without spatial environment evidence.
