scenario_id,family,agent_type,plan_plausibility,trace_feasibility,plausibility_feasibility_gap,impossible_trace_rate,city_false_continue,goal_completion,task_completion,constraint_satisfaction,process_success,feasibility_violation,replanning_success,travel_efficiency,budget_consistency,intention_consistency,social_appropriateness,done_state_loop_rate,social_derailment_rate,final_time,final_location,final_budget,violations,failure_taxonomy,llm_calls,llm_latency_seconds,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_usage_complete
hard_budget_entangled_meet,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,18:26,home_aria,1.0,0,{},11,102.904,44153,1693,45846,True
hard_budget_entangled_meet,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,0.6,0.385,1.0,,0.0,,1.0,1.0,0.6,0.0,0.0,1.0,18:36,home_aria,1.0,0,"{""goal_drift"": 1, ""social_derailment"": 1}",1,18.873,2298,792,3090,True
hard_deadline_then_meet,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,13:05,quiet_cafe,2.0,0,{},9,91.844,34744,1048,35792,True
hard_deadline_then_meet,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,0.7,0.5,1.0,,0.0,,0.709,1.0,0.7,0.0,0.0,0.0,13:01,bookstore,12.0,0,"{""goal_drift"": 1}",1,19.8,2394,1119,3513,True
hard_full_evening_chain,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,18:16,home_aria,4.0,0,{},10,67.119,41153,1728,42881,True
hard_full_evening_chain,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,0.85,0.786,1.0,,0.0,,1.0,1.0,0.85,1.0,0.0,1.0,18:06,gym,4.0,0,"{""social_derailment"": 1}",1,16.23,2234,1050,3284,True
hard_overlapping_windows,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,0.7,0.5,1.0,,0.0,,1.0,1.0,0.7,0.5,0.0,1.0,13:03,cafe_central,6.0,0,"{""goal_drift"": 1, ""social_derailment"": 1}",8,45.092,29429,1100,30529,True
hard_overlapping_windows,social_outcome_hard,api_llm_plan_and_execute,1.0,0.857,0.143,0.143,0.0,0.5,0.5,0.5,,0.143,,1.0,1.0,0.429,0.5,0.0,1.0,13:13,cafe_central,6.0,1,"{""invalid_state_transition"": 1, ""social_derailment"": 1}",1,11.132,2309,575,2884,True
hard_stale_plan_override,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:34,quiet_cafe,6.0,0,{},6,33.765,21083,740,21823,True
hard_stale_plan_override,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,0.6,0.333,1.0,,0.0,,1.0,1.0,0.6,0.5,0.0,1.0,12:47,quiet_cafe,6.0,0,"{""goal_drift"": 1, ""social_derailment"": 1}",1,11.67,2162,542,2704,True
hard_three_meeting_relay,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,13:20,budget_diner,1.0,0,{},14,68.641,58604,1478,60082,True
hard_three_meeting_relay,social_outcome_hard,api_llm_plan_and_execute,1.0,0.923,0.077,0.077,0.0,0.6,0.667,0.5,,0.077,,1.0,1.0,0.554,0.667,0.0,1.0,13:15,budget_diner,1.0,1,"{""invalid_state_transition"": 1, ""social_derailment"": 1}",1,13.673,2760,954,3714,True
