group,comparison,x_metric,y_metric,n,pearson_r,spearman_rho
all,face_vs_task,judge_face_plausibility,task_completion,16,0.274,0.271
all,face_vs_feasibility,judge_face_plausibility,trace_feasibility,16,-0.235,-0.108
all,trace_believability_vs_task,judge_trace_believability,task_completion,16,0.342,0.293
all,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,16,-0.246,-0.358
agentsociety_official_plan_blocks,face_vs_task,judge_face_plausibility,task_completion,4,0.767,0.632
agentsociety_official_plan_blocks,face_vs_feasibility,judge_face_plausibility,trace_feasibility,4,-0.402,-0.105
agentsociety_official_plan_blocks,trace_believability_vs_task,judge_trace_believability,task_completion,4,0.77,0.833
agentsociety_official_plan_blocks,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,4,0.161,0.0
gatsim_official_planner,face_vs_task,judge_face_plausibility,task_completion,4,0.096,0.236
gatsim_official_planner,face_vs_feasibility,judge_face_plausibility,trace_feasibility,4,-0.633,-0.5
gatsim_official_planner,trace_believability_vs_task,judge_trace_believability,task_completion,4,0.174,0.447
gatsim_official_planner,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,4,-0.565,-0.316
generative_agents_official_planner,face_vs_task,judge_face_plausibility,task_completion,4,-0.812,-0.775
generative_agents_official_planner,face_vs_feasibility,judge_face_plausibility,trace_feasibility,4,0.631,0.775
generative_agents_official_planner,trace_believability_vs_task,judge_trace_believability,task_completion,4,-0.728,-0.816
generative_agents_official_planner,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,4,-0.081,0.0
sotopia_official_llm_agent,face_vs_task,judge_face_plausibility,task_completion,4,0.406,0.2
sotopia_official_llm_agent,face_vs_feasibility,judge_face_plausibility,trace_feasibility,4,-0.434,-0.105
sotopia_official_llm_agent,trace_believability_vs_task,judge_trace_believability,task_completion,4,0.223,0.8
sotopia_official_llm_agent,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,4,-0.856,-0.949
within_scenario_agent,face_vs_task,judge_face_plausibility,task_completion,16,,
within_scenario_agent,face_vs_feasibility,judge_face_plausibility,trace_feasibility,16,,
within_scenario_agent,trace_believability_vs_task,judge_trace_believability,task_completion,16,,
within_scenario_agent,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,16,,
