scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
closed_study_spot_replacement,gatsim_official_planner,0.78,0.58,0.62,0.76,0.875,0.0,0.2,1.0,0.125,unnecessary second venue after goal completion,Switching from a suitable bookstore work block to a paid cafe after already completing 50 minutes is somewhat believable but feels inefficient and overly plan-driven for the stated goal and budget preference.
closed_study_spot_replacement,sotopia_official_llm_agent,0.82,0.61,0.46,0.78,0.75,0.07,0.21,0.7,0.25,unexplained 50-minute purchase,"Choosing the nearby bookstore and working there is plausible, but spending 50 minutes on a buy action with generic reasons makes the full trace feel artificial."
closed_study_spot_replacement,generative_agents_official_planner,0.87,0.74,0.58,0.86,0.8,0.07,0.13,1.0,0.2,generic reasons and overlong dwell,"Choosing the nearby bookstore and staying there to work is sensible, but the trace gives no real rationale detail and runs past the episode window with an unusually long bookstore work stay."
closed_study_spot_replacement,agentsociety_official_plan_blocks,0.85,0.78,0.88,0.82,1.0,0.0,0.07,1.0,0.0,bookstore as long study venue,"Choosing the nearby bookstore and working there without entering the closed library is reasonable, but treating a bookstore as a stable 60-minute study spot after buying access feels somewhat staged."
detour_commute_midroute_block,gatsim_official_planner,0.18,0.06,0.12,0.22,0.875,0.0,0.12,0.3,0.125,does not pursue the commute goal,"The trace looks like generic errands with boilerplate reasons, never reacts to the service alert, and ends at the library instead of reaching the office before the deadline."
detour_commute_midroute_block,sotopia_official_llm_agent,0.68,0.44,0.3,0.57,1.0,0.0,0.24,0.45,0.0,unexplained detour sequence,"Reaching the office by a longer alternate route is plausible after the alert, but the trace gives no explicit replanning rationale and wanders through several intermediate stops in a way that weakens overall believability."
detour_commute_midroute_block,generative_agents_official_planner,0.87,0.82,0.58,0.9,1.0,0.0,0.05,0.8,0.0,generic reasons hide replanning,"The commute behavior is sensible and reaches the office before the deadline via a plausible detour, but the trace does not explicitly show the post-alert replanning it seems to imply."
detour_commute_midroute_block,agentsociety_official_plan_blocks,0.74,0.63,0.22,0.68,1.0,0.0,0.11,0.45,0.0,generic route rationale ignores disruption context,"Reaching the office early via an alternate route is plausible, but the trace never explicitly reacts to the alert and its stated reasons do not match the commuter's reliability-focused scenario."
meeting_wait_trap,gatsim_official_planner,0.58,0.31,0.22,0.48,0.75,0.0,0.27,0.15,0.25,waiting without coordination,"Going to a cafe and waiting is superficially reasonable, but never messaging Ben despite knowing he often waits for confirmation makes the meeting behavior look scripted and weakly believable."
meeting_wait_trap,sotopia_official_llm_agent,0.72,0.18,0.34,0.63,1.0,0.0,0.54,0.55,0.0,stops immediately without attempting the meeting,"Sending a coordination message is sensible, but ending at 12:07 without waiting for a reply or traveling to a cafe abandons the stated lunch-meeting objective."
meeting_wait_trap,generative_agents_official_planner,0.78,0.36,0.62,0.8,1.0,0.0,0.42,0.55,0.0,waited at a cafe without confirming coordination,"The individual actions look like a normal lunch-meeting attempt, but after one initial message Aria mostly commits to waiting at cafe_central and misses the narrow coordination objective."
meeting_wait_trap,agentsociety_official_plan_blocks,0.72,0.29,0.41,0.63,0.7,0.02,0.43,0.35,0.3,waited at an unconfirmed cafe,"The messages are sensible, but Aria travels and keeps waiting at Cafe Central without any shown confirmation from Ben, so the overall behavior misses the coordination goal and drifts into a waiting trap."
school_pickup_social_detour,gatsim_official_planner,0.88,0.84,0.42,0.93,1.0,0.0,0.04,1.0,0.0,mechanical rationale language,"Going straight from work to school and completing pickup early is sensible, but the stated reasons read like planner-internal boilerplate rather than human urban reasoning."
school_pickup_social_detour,sotopia_official_llm_agent,0.74,0.43,0.34,0.68,0.833,0.0,0.31,1.0,0.167,redundant school actions and ignored social event,"Getting to school early for pickup is sensible, but the duplicated pickup sequence and total failure to engage the stated plaza detour make the full trace feel mechanically off rather than like ordinary behavior."
school_pickup_social_detour,generative_agents_official_planner,0.84,0.71,0.62,0.86,1.0,0.0,0.13,1.0,0.0,missed social event handling,"The pickup behavior is sensible and timely, but the trace ignores the observed invitation and only declines later by message, which weakens full-sequence realism."
school_pickup_social_detour,agentsociety_official_plan_blocks,0.76,0.47,0.58,0.63,0.75,0.01,0.29,1.0,0.25,implausible Ben interactions at school,"The urgent trip to school and prompt pickup are reasonable, but the trace invents repeated contact with Ben at the school despite the scenario placing the invitation at the plaza."
