repeat_id,scenario_id,family,agent_type,task_completion,goal_completion,trace_feasibility,intention_consistency,replanning_success,judge_face_plausibility,judge_trace_believability,face_believability_gap,impossible_trace_rate,done_state_loop_rate,social_derailment_rate,constraint_satisfaction,process_success,plan_plausibility,plausibility_feasibility_gap,travel_efficiency,budget_consistency,social_appropriateness,feasibility_violation,city_false_continue,face_feasibility_gap,route_interruption_count,verified_replan_count,llm_calls,llm_latency_seconds,llm_total_tokens,judge_rationale_alignment,judge_urban_common_sense,failure_taxonomy,judge_main_issue,judge_brief_reason
1,closed_study_spot_replacement,poi_closure,gatsim_official_planner,1.0,1.0,0.875,0.875,,0.93,0.58,0.35,0.125,0.0,0.0,1.0,,1.0,0.125,0.388,1.0,,0.125,0.0,0.055,0,0,2,19.595,18724,0.72,0.61,"{""time_budget_failure"": 1}",redundant detour to a second paid venue,"The bookstore replacement and a quiet cafe fallback are locally plausible, but the sequence looks oddly repetitive and inefficient, with a second paid stop that is not clearly needed for the goal."
1,closed_study_spot_replacement,poi_closure,sotopia_official_llm_agent,0.5,0.7,0.75,0.525,,0.91,0.58,0.33,0.25,0.0,0.0,1.0,,1.0,0.25,1.0,1.0,,0.25,1.0,0.16,0,0,5,18.837,34781,0.18,0.74,"{""money_budget_failure"": 1}",generic placeholder actions and weak reasoning,"The sequence is locally plausible as a person relocating to a bookstore for study, but the trace is thinly explained, contains an odd long 'buy' step, and the stated reasons do not really connect to the actions or scenario."
1,closed_study_spot_replacement,poi_closure,generative_agents_official_planner,1.0,1.0,0.8,0.8,,0.72,0.38,0.34,0.2,0.0,0.0,1.0,,1.0,0.2,1.0,1.0,,0.2,0.0,0.0,0,0,3,19.107,18519,0.18,0.7,"{""time_budget_failure"": 1}",generic adapter reasons and time drift,"The choice of a bookstore as a quiet fallback is plausible, but the trace gives only generic adapter reasons, includes an unexplained extra buy, and then overdwells past the episode window without showing a realistic work progression."
1,closed_study_spot_replacement,poi_closure,agentsociety_official_plan_blocks,1.0,1.0,1.0,1.0,,0.93,0.78,0.15,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0,0,4,30.414,29028,0.95,0.9,{},abbreviated work block,"The sequence is a sensible replacement plan: Aria heads to a nearby bookstore, pays for access, and works quietly there without entering the closed library, though the trace ends a bit early and only clearly covers about an hour of focus time."
1,detour_commute_midroute_block,disruption,gatsim_official_planner,0.0,0.3,0.875,0.263,0.0,0.08,0.02,0.06,0.125,0.0,0.0,0.667,0.0,1.0,0.125,1.0,1.0,,0.125,0.0,0.0,0,0,2,23.782,19286,0.05,0.12,"{""closed_place_action"": 1}",irrelevant activity-plan drift,"The agent spends the whole episode following a generic activity plan to gym, park, cafe, and library instead of reacting to the commute disruption or heading to the office, so the behavior is not believable as this city commute scenario."
1,detour_commute_midroute_block,disruption,sotopia_official_llm_agent,0.0,0.45,1.0,0.45,0.0,0.56,0.22,0.34,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.347,1.0,,0.0,0.0,0.0,0,0,8,39.36,55400,0.14,0.35,"{""goal_drift"": 1}",nonresponsive route wandering,"The commute path is superficially like a detour, but the sequence ignores the alert timing, gives no meaningful replanning, and includes arbitrary intermediate moves that do not clearly support reaching the office."
1,detour_commute_midroute_block,disruption,generative_agents_official_planner,1.0,0.8,1.0,0.8,0.0,0.74,0.32,0.42,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4,1.0,,0.0,0.0,0.0,0,0,3,21.294,18622,0.08,0.41,{},generic adapter actions,"The route itself is plausible, but the trace is dominated by placeholder actions and reasons that do not explain the detour, the alert, or the commute logic, so the full behavior feels weakly believable."
1,detour_commute_midroute_block,disruption,agentsociety_official_plan_blocks,0.0,0.45,1.0,0.45,0.0,0.34,0.18,0.16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.619,1.0,,0.0,0.0,0.0,0,0,4,36.085,29069,0.22,0.28,"{""goal_drift"": 1}",generic unrelated itinerary,"The trace reads like a canned sequence of place-to-place moves that does not respond to the transit alert or the commute goal, so it is only weakly believable as urban behavior."
1,meeting_wait_trap,time_pressure,gatsim_official_planner,0.0,0.15,0.75,0.112,,0.78,0.42,0.36,0.25,0.0,0.0,0.429,,1.0,0.25,1.0,1.0,0.0,0.25,0.0,0.03,0,0,4,38.187,38778,0.88,0.67,"{""invalid_state_transition"": 2}",goal drift and looped waiting,"The individual actions sound like a plausible lunch-meeting routine, but the sequence wastes time at one cafe, then returns to the office without clear evidence of coordinating with Ben or completing the intended meeting objective."
1,meeting_wait_trap,time_pressure,sotopia_official_llm_agent,0.308,0.55,1.0,0.55,,0.92,0.24,0.68,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0,0,2,10.119,13673,0.9,0.76,"{""goal_drift"": 1}",stops after messaging,"The initial message is a plausible lunch coordination move, but the trace ends immediately instead of following through on travel or co-presence during the meeting window."
1,meeting_wait_trap,time_pressure,generative_agents_official_planner,0.308,0.55,1.0,0.55,,0.88,0.42,0.46,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0,0,3,27.636,19231,0.84,0.81,"{""goal_drift"": 1}",waiting without coordination,"The actions sound like a reasonable lunch-meeting attempt, but the trace drifts into long idle waiting at the cafe and never shows a successful meeting with Ben during the target window."
1,meeting_wait_trap,time_pressure,agentsociety_official_plan_blocks,0.308,0.35,0.7,0.245,,0.84,0.41,0.43,0.3,0.0,0.0,0.429,,1.0,0.3,1.0,1.0,0.5,0.3,1.0,0.14,0,0,10,94.348,75021,0.88,0.62,"{""invalid_state_transition"": 1, ""money_budget_failure"": 2}",waiting loop without coordination outcome,"The individual actions sound like a reasonable lunch coordination attempt, but the trace mostly oscillates between waiting and re-messaging at Cafe Central without ever establishing co-presence or a verified plan with Ben."
1,school_pickup_social_detour,social_spatial_tradeoff,gatsim_official_planner,1.0,1.0,1.0,1.0,,0.08,0.03,0.05,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,15.597,9409,0.96,0.07,{},planner-script detour,"The stated goal is school pickup, but the trace immediately follows a generic planner script to finish at school without any realistic response to the social invitation or time pressure."
1,school_pickup_social_detour,social_spatial_tradeoff,sotopia_official_llm_agent,1.0,1.0,0.833,0.833,,0.78,0.28,0.5,0.167,1.0,0.0,1.0,,1.0,0.167,1.0,1.0,1.0,0.167,0.0,0.0,0,0,7,28.852,48436,0.62,0.31,"{""done_state_loop"": 1, ""invalid_state_transition"": 1}",repeated and pointless school action,"The route to school is locally plausible, but the trace then redundantly re-enters and re-serves the school, which makes the full sequence look confused and behaviorally unnatural."
1,school_pickup_social_detour,social_spatial_tradeoff,generative_agents_official_planner,1.0,1.0,1.0,1.0,,0.82,0.38,0.44,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,8.896,6922,0.74,0.69,{},idle dwell after pickup,"The route and brief refusal to Ben are plausible, but the trace then idles at school for 15 minutes and ends without any clear completion beyond that, which weakens full-sequence believability."
1,school_pickup_social_detour,social_spatial_tradeoff,agentsociety_official_plan_blocks,1.0,1.0,0.75,0.75,,0.79,0.41,0.38,0.25,0.0,0.0,1.0,,1.0,0.25,0.812,1.0,1.0,0.25,0.0,0.04,0,0,6,52.01,43737,0.83,0.62,"{""invalid_state_transition"": 2}",repeated idle social detour,"The actions and reasons sound like a reasonable rush-hour pickup decision, but the trace drifts into repeated Ben-related interaction and unnecessary dwell after the pickup is already on track."
