scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
social_copresence_decoy_location,api_llm_react_tool_policy,0.93,0.9,0.98,0.88,1.0,0.0,0.03,1.0,0.0,none,"The agent confirms with Ben, goes to the quiet cafe, waits for the window, and meets within the required time, so the sequence reads as a coherent and plausible urban social plan."
social_copresence_decoy_location,api_llm_plan_and_execute,0.95,0.86,0.97,0.88,1.0,0.0,0.09,1.0,0.0,slight timing compression,"The sequence reads like a sensible plan to confirm and meet at the correct cafe, with only minor awkwardness in how quickly the travel, purchase, and waiting steps are compressed."
social_copresence_event_window,api_llm_react_tool_policy,0.78,0.66,0.92,0.7,1.0,0.0,0.12,1.0,0.0,slight over-instrumented behavior,"The trace is locally coherent and the reasons match the actions, but the sequence feels a bit scripted around evidence generation rather than natural city behavior."
social_copresence_event_window,api_llm_plan_and_execute,0.92,0.46,0.84,0.63,1.0,0.0,0.46,1.0,0.0,window miss / timing drift,"The plan sounds locally reasonable for getting to the market and meeting Casey, but the sequence starts the interaction after the narrow 16:25-16:45 window has already begun and includes extra dwell/buy steps that make the full trace less believable as successful behavior."
social_copresence_message_gated,api_llm_react_tool_policy,0.98,0.72,0.95,0.86,1.0,0.0,0.26,1.0,0.0,slightly over-scripted venue handling,"The trace follows the stated confirm-then-meet goal closely and the reasons match the actions, but the extra venue steps and neatly staged timing make it feel more scripted than ordinary urban behavior."
social_copresence_message_gated,api_llm_plan_and_execute,0.94,0.86,0.96,0.9,1.0,0.0,0.08,1.0,0.0,slight timing/sequence awkwardness,"The trace is locally coherent: Aria confirms with Ben, goes to the agreed cafe, waits, and then meets him within the target window, with only minor oddity in the ordering and dwell timing."
social_copresence_open_meet,api_llm_react_tool_policy,0.95,0.72,0.97,0.78,1.0,0.0,0.23,1.0,0.0,slightly scripted interaction,"The trace reads like a reasonable lunch meetup plan with coherent timing and no obvious feasibility problem, though the interaction step is a bit generic and the sequence is somewhat overly tidy."
social_copresence_open_meet,api_llm_plan_and_execute,0.96,0.91,0.98,0.95,1.0,0.0,0.05,1.0,0.0,none,"The agent follows a sensible city-meetup sequence: travel to the park, wait for the window, then interact with Casey at the right place and time without any obvious feasibility problems."
social_copresence_two_party,api_llm_react_tool_policy,0.95,0.86,0.93,0.9,1.0,0.0,0.09,1.0,0.0,tight sequencing but plausible,"The agent’s travel, venue entry, and short interactions match the stated goal and timing reasonably well, with only minor compression in the handoff between the two meetings."
social_copresence_two_party,api_llm_plan_and_execute,0.87,0.35,0.88,0.72,0.875,0.0,0.52,0.5,0.125,wrong timing and looping dwell,"The plan sounds reasonable at a glance, but it waits in the cafe until after Ben's window has already ended, so the full sequence reads as a plausible intent executed badly."
social_copresence_with_errand,api_llm_react_tool_policy,0.72,0.28,0.64,0.52,0.75,0.0,0.44,0.6,0.25,budget contradiction and repetitive steps,"The sequence starts with a normal errand-then-meeting plan, but it repeats pharmacy actions unnecessarily and ends with an impossible negative budget claim."
social_copresence_with_errand,api_llm_plan_and_execute,0.79,0.36,0.68,0.74,0.857,0.0,0.43,0.8,0.143,sequence drift and time-window confusion,"The individual actions sound like a reasonable errand-plus-meeting plan, but the trace misstates the meeting window and even says to wait until it opens after already entering it, which weakens the full-sequence believability."
