scenario_id,agent_type,judge_plan_plausibility,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,judge_plausibility_feasibility_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
avoid_crowd_event,utility_planner,0.56,0.62,0.68,1.0,0.0,1.0,0.0,missed groceries,"Going to the park to exercise is plausible and fits the crowd-avoidance preference, but ending immediately without shopping leaves a key stated goal unmet."
avoid_crowd_event,api_llm_direct_actor,0.35,0.52,0.44,0.75,0.0,0.85,0.25,repeated looping and budget violation,"The trace mostly matches the avoid-crowd exercise intent, but it repeatedly bounces between park and gym, then ends with an impossible negative budget despite claiming affordability."
avoid_crowd_event,api_llm_plan_then_act,0.86,0.92,0.9,1.0,0.0,1.0,0.0,budget inconsistency,"The sequence is urban-plausible and matches the goal well, but the final budget drops to 0.0 despite the action reasons claiming budget was preserved."
avoid_crowd_event,api_llm_reactive_replanner,0.58,0.62,0.66,1.0,0.0,1.0,0.0,missed groceries,"The agent reasonably avoids the crowded plaza and gets exercise at the park, but stopping immediately leaves the grocery pickup goal unaddressed, making the sequence only partially plausible for the stated intention."
budget_errand_chain,utility_planner,0.91,0.95,0.9,1.0,0.0,1.0,0.0,implicit missing purchase action,"The route is sensible for a low-budget errand chain and returns home on time with money left, though it omits an explicit medicine-buying/dinner-purchase action beyond location visits."
budget_errand_chain,api_llm_direct_actor,0.32,0.34,0.41,0.857,0.0,1.0,0.143,repeated redundant loop,"The trace needlessly repeats the pharmacy-diner-home cycle and ends at the diner instead of returning home by 19:00, which undermines the stated errand goal despite otherwise ordinary moves."
budget_errand_chain,api_llm_plan_then_act,0.97,0.99,0.98,1.0,0.0,1.0,0.0,none,"The trace follows a sensible errand chain: pharmacy first, then an affordable dinner, and home before the deadline while staying within budget."
budget_errand_chain,api_llm_reactive_replanner,0.96,0.98,0.97,1.0,0.0,1.0,0.0,none,"Aria follows a straightforward, realistic errand chain, returns home on time, and stays within budget with reasons that match each move."
closed_poi_replacement,utility_planner,0.91,0.86,0.95,1.0,0.0,1.0,0.0,slight timing mismatch,"Going to a bookstore as an open quiet workspace is plausible, but the trace starts dwelling before the 15:30 closure event and still only accumulates 58 minutes after that, so it nearly but not fully matches the stated goal."
closed_poi_replacement,api_llm_direct_actor,0.78,0.86,0.9,1.0,0.0,1.0,0.0,redundant repeated dwell,"Aria’s choice of a quiet coworking space is sensible and within budget, but the trace awkwardly repeats the work-session dwell instead of modeling one coherent 60-minute session."
closed_poi_replacement,api_llm_plan_then_act,0.97,0.99,0.96,1.0,0.0,1.0,0.0,none,Aria sensibly switches to an open quiet workspace before the library closure and completes a full 60-minute focused session within the time window.
closed_poi_replacement,api_llm_reactive_replanner,0.98,0.99,0.97,1.0,0.0,1.0,0.0,none,"The agent promptly switches to a reasonable open quiet workspace, works there for 60 minutes, and never attempts the closed library."
commute_disruption,utility_planner,0.82,0.9,0.85,0.0,0.82,0.5,1.0,no evidence of delay handling,"The agent’s direct trip to the office is ordinary and meets the deadline, though the trace never shows any response to the transit disruption or avoidance of the blocked edge."
commute_disruption,api_llm_direct_actor,0.97,0.94,0.96,1.0,0.0,1.0,0.0,slight rationale mismatch,"The agent takes a plausible alternate route, reaches the office before the deadline, and the actions mostly match the commuting disruption scenario, though the step explaining the delay clearance is a bit redundant."
commute_disruption,api_llm_plan_then_act,0.96,0.99,0.97,1.0,0.0,1.0,0.0,none,Aria sensibly switches to the slower park route after the hub disruption and reaches the office well before the deadline without using the blocked edge.
