repeat_id,scenario_id,family,agent_type,goal_completion,trace_feasibility,intention_consistency,replanning_success,judge_face_plausibility,judge_trace_believability,face_believability_gap,impossible_trace_rate,done_state_loop_rate,social_derailment_rate,plan_plausibility,plausibility_feasibility_gap,travel_efficiency,budget_consistency,social_appropriateness,feasibility_violation,city_false_continue,face_feasibility_gap,judge_rationale_alignment,judge_urban_common_sense,failure_taxonomy,judge_main_issue,judge_brief_reason
1,closed_study_spot_replacement,poi_closure,utility_planner,1.0,1.0,1.0,,0.96,0.95,0.01,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.98,0.97,{},none,"The agent reacts sensibly to the library closure, chooses a quiet nearby substitute, stays long enough to work, and finishes with a coherent budgeted outcome."
1,closed_study_spot_replacement,poi_closure,api_llm_direct_actor,1.0,1.0,1.0,,0.92,0.68,0.24,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.97,0.82,{},repetitive dwell-loop,"The replacement choice and focus-block behavior are very plausible, but the repeated dwell extensions make the trace feel a bit looped and mechanically padded."
1,closed_study_spot_replacement,poi_closure,api_llm_plan_then_act,1.0,1.0,1.0,,0.97,0.95,0.02,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.98,0.96,{},none,"Aria sensibly switches to a nearby quiet open venue, works there long enough, and stays within budget without ever entering the closed library."
1,closed_study_spot_replacement,poi_closure,api_llm_reactive_replanner,1.0,1.0,1.0,,0.95,0.9,0.05,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.98,0.96,{},none,"The agent sensibly reroutes from a closed library to a quiet nearby bookstore, then stays long enough to work and leaves with budget remaining."
1,detour_commute_midroute_block,disruption,utility_planner,0.35,0.0,0.0,0.0,0.52,0.28,0.24,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,0.0,0.52,0.78,0.41,"{""impossible_route"": 1}",ignores mid-route disruption,"The trace is superficially a normal commute to the office, but it fails to engage with the service alert and the stated preference for reliable rerouting, making the full sequence feel implausible."
1,detour_commute_midroute_block,disruption,api_llm_direct_actor,0.65,0.875,0.65,1.0,0.74,0.16,0.58,0.125,1.0,0.0,1.0,0.125,0.464,1.0,,0.0,0.0,0.0,0.87,0.22,"{""done_state_loop"": 1}",route oscillation,"The detour rationale is reasonable at first, but the trace repeatedly shuttles between the same two locations without ever progressing toward the office."
1,detour_commute_midroute_block,disruption,api_llm_plan_then_act,0.85,0.75,0.637,1.0,0.92,0.95,0.0,0.25,0.0,0.0,1.0,0.25,0.619,1.0,,0.25,1.0,0.17,0.96,0.94,"{""closed_place_action"": 1}",none,"The agent takes a sensible detour, reacts compatibly with the disruption, and reaches the office well before the deadline without claiming an impossible shortcut."
1,detour_commute_midroute_block,disruption,api_llm_reactive_replanner,0.65,0.875,0.65,1.0,0.68,0.12,0.56,0.125,1.0,0.0,1.0,0.125,0.464,1.0,,0.0,0.0,0.0,0.66,0.18,"{""done_state_loop"": 1}",endless park-cafe looping,"The initial detour rationale is reasonable, but the trace devolves into repeated back-and-forth moves without reaching the office or showing coherent progress."
1,meeting_wait_trap,time_pressure,utility_planner,0.8,1.0,0.8,,0.7,0.35,0.35,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.78,0.62,{},waits without confirming Ben,"The movement and waiting behavior is locally reasonable for a lunch meetup, but the trace never sends the confirmation message or actually establishes co-presence, so it looks like a plausible plan that drifts into a meeting-wait trap."
1,meeting_wait_trap,time_pressure,api_llm_direct_actor,0.55,1.0,0.55,,0.82,0.26,0.56,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.95,0.31,{},repeated non-movement loop,"The messages and reasons are locally sensible for lunch coordination, but the trace keeps asking for the same confirmation and never leaves the office or reaches the meeting window."
