repeat_id,scenario_id,family,agent_type,task_completion,goal_completion,trace_feasibility,intention_consistency,replanning_success,judge_face_plausibility,judge_trace_believability,face_believability_gap,impossible_trace_rate,done_state_loop_rate,social_derailment_rate,constraint_satisfaction,process_success,plan_plausibility,plausibility_feasibility_gap,travel_efficiency,budget_consistency,social_appropriateness,feasibility_violation,city_false_continue,face_feasibility_gap,route_interruption_count,verified_replan_count,llm_calls,llm_latency_seconds,llm_total_tokens,judge_rationale_alignment,judge_urban_common_sense,failure_taxonomy,judge_main_issue,judge_brief_reason
1,hard_budget_entangled_meet,social_outcome_hard,api_llm_react_tool_policy,0.769,0.85,1.0,0.85,,0.87,0.52,0.35,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,9,458.088,43798,0.94,0.76,"{""social_derailment"": 1}",budget and task ordering drift,"The individual actions sound reasonable for a busy city errand and the stated reasons match the steps, but the trace spends the available money on the cafe before the required medicine purchase and then abandons the home return, leaving the overall sequence only moderately believable."
1,hard_budget_entangled_meet,social_outcome_hard,api_llm_plan_and_execute,0.385,0.45,0.889,0.4,,0.7,0.38,0.32,0.111,0.0,1.0,0.571,,1.0,0.111,1.0,1.0,0.0,0.111,0.0,0.0,0,0,1,11.696,2750,0.73,0.62,"{""social_derailment"": 1, ""time_budget_failure"": 1}",deadline and budget drift,"The plan sounds locally reasonable at first, but it misses the tight meeting window and still claims success despite drifting past the return deadline and spending nearly all remaining budget on the cafe stop."
1,hard_deadline_then_meet,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,1.0,1.0,,0.89,0.7,0.19,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,10,315.311,37623,0.96,0.78,{},slight overengineering of cafe check-in,"The sequence sensibly prioritizes the pharmacy deadline before going to the cafe for the later meeting, and the stated reasons mostly match the actions, though the extra venue-service step and some generic movement make it a bit less natural overall."
1,hard_deadline_then_meet,social_outcome_hard,api_llm_plan_and_execute,0.5,0.7,1.0,0.7,,0.86,0.24,0.62,0.0,0.0,0.0,1.0,,1.0,0.0,0.929,1.0,0.0,0.0,0.0,0.0,0,0,1,94.734,10418,0.73,0.78,"{""goal_drift"": 1}",drifts after deadline,"The pickup-first reasoning is locally sensible, but the trace wastes time with unnecessary backtracking and never attempts the promised post-13:00 meeting, so the full behavior feels weakly believable as a complete plan."
1,hard_full_evening_chain,social_outcome_hard,api_llm_react_tool_policy,0.786,0.7,0.909,0.636,,0.86,0.52,0.34,0.091,0.0,1.0,0.5,,1.0,0.091,1.0,1.0,1.0,0.091,0.0,0.0,0,0,12,253.077,52909,0.77,0.68,"{""invalid_state_transition"": 1, ""social_derailment"": 1}",late-sequence drift and self-contradiction,"The trace starts like a reasonable errand-and-dinner evening, but it later becomes inconsistent about home arrival and even abandons dinner after already claiming to have met the time and budget conditions."
1,hard_full_evening_chain,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,1.0,1.0,,0.96,0.78,0.18,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,67.897,2676,0.95,0.92,{},time accounting oddity,"The sequence sounds like a normal, goal-directed evening with groceries, dinner, a timed meet-up, and a return home, though the movement timing is a bit compressed and internally inconsistent in places."
1,hard_overlapping_windows,social_outcome_hard,api_llm_react_tool_policy,0.5,0.7,1.0,0.7,,0.72,0.38,0.34,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0,0,8,113.968,30711,0.64,0.58,"{""goal_drift"": 1, ""social_derailment"": 1}",missed time window after detour,"The plan sounds locally reasonable, but it overcommits to the later cafe meeting and ends up arriving after the window, which makes the full trace less believable as successful city behavior."
1,hard_overlapping_windows,social_outcome_hard,api_llm_plan_and_execute,0.5,0.5,0.875,0.438,,0.72,0.41,0.31,0.125,0.0,1.0,0.5,,1.0,0.125,1.0,1.0,0.5,0.125,0.0,0.0,0,0,1,18.576,2655,0.78,0.55,"{""invalid_state_transition"": 1, ""social_derailment"": 1}",timing inconsistency,"The plan sounds plausible at a glance, but it contains time arithmetic and window-matching errors that make the full sequence less believable as a successful city trace."
1,hard_stale_plan_override,social_outcome_hard,api_llm_react_tool_policy,1.0,0.8,0.833,0.667,,0.62,0.28,0.34,0.167,0.0,0.0,0.5,,1.0,0.167,1.0,1.0,1.0,0.167,0.0,0.0,0,0,7,48.716,25268,0.54,0.44,"{""invalid_state_transition"": 1}",procedural overfitting and stale-plan drift,"The opening move to the updated cafe is plausible, but the trace quickly becomes mechanically self-justifying, with repeated actions and a premature finish that does not convincingly reflect ordinary city behavior."
1,hard_stale_plan_override,social_outcome_hard,api_llm_plan_and_execute,0.333,0.4,0.833,0.333,,0.86,0.62,0.24,0.167,0.0,0.0,0.5,,1.0,0.167,1.0,1.0,0.5,0.167,0.0,0.027,0,0,1,8.238,2411,0.9,0.78,"{""invalid_state_transition"": 1}",stale-plan overcommitment,"The actions mostly fit a reasonable updated-meeting errand, but the trace feels slightly over-scripted and repetitive about timing and meeting evidence rather than naturally responding to the public update."
