shortlist_id,title,core_stability,environment_family,space_modality,estimated_agent_repr_level,repr_level_confidence,primary_behavioral_scale,current_evidence_status,evidence_strength,current_gap_flag,audit_note
HC01,TravelAgent: Generative agents in the built environment,adjacent_boundary_reviewed,built_environment_virtual_replica,physical_virtualized,L5,high,local_action,fulltext_reviewed_adjacent_boundary,strong,adjacent_boundary_not_core,"Full text is now local and confirms a strong 3D/L5 interface, but the paper remains single-agent navigation and wayfinding rather than stable Core multi-agent social behavior."
HC02,Generative Agents: Interactive Simulacra of Human Behavior,stable,sandbox_town,virtual_town,L3,high,emergent_social_structure,local_pdf_ready_anchor,strong,none,"The small-town sandbox remains the clearest Core anchor for situated social behavior, memory, and emergent coordination."
HC03,"Generative agent-based modeling with actions grounded in physical, social, or digital space using Concordia",stable_but_multi_config,environment_architecture_framework,mixed_physical_social_digital,multi_config_L3_to_L5,medium,mixed,local_pdf_ready_anchor,strong,needs_repr_coding,"Core as an environment-architecture anchor. Later coding should split concrete interface variants rather than flattening the whole framework into one representation level."
HC04,Affordable Generative Agents,stable,sandbox_social_environment,virtual_or_simulated_world,L3,medium,mixed,local_pdf_ready_anchor,medium,none,"Keeps both agent-environment and inter-agent interaction explicit, but the paper is more about scalable believable interaction than about a new environment representation."
HC05,Artificial Leviathan: Exploring Social Evolution of LLM Agents Through the Lens of Hobbesian Social Contract Theory,stable,sandbox_survival_society,virtual_survival_world,L3,medium,emergent_social_structure,local_pdf_ready_anchor,medium,none,"A strong sandbox-society paper with explicit conflict, cooperation, and social-order emergence."
HC06,Project Sid: Many-agent simulations toward AI civilization,stable_but_repr_extract_needed,minecraft_civilization,virtual_game_world,L5,medium,emergent_social_structure,local_pdf_ready_anchor,medium,needs_repr_coding,"Large-scale civilization simulation in a game world. Core is stable, but the exact agent-facing representation and action interface still need careful extraction."
HC07,OASIS: Open Agent Social Interaction Simulations with One Million Agents,stable_boundary_exception,digital_platform_environment_architecture,digital_graph_platform,L3,high,emergent_social_structure,local_pdf_ready_anchor,medium,boundary_exception_anchor,"Retained in Core as a reusable environment-architecture anchor rather than as a reason to reopen broad digital-platform expansion."
HC08,Lyfe Agents: Generative agents for low-cost real-time social interactions,stable,three_dimensional_social_virtual_world,virtual_world,L3,medium,interaction,downloaded_partial_reviewed,strong,none,"3D virtual environment, local interaction, and movement are already confirmed."
HC09,Spontaneous Emergence of Agent Individuality Through Social Interactions in Large Language Model-Based Communities,stable,grid_world_community,grid_world,L3,high,emergent_social_structure,downloaded_partial_reviewed,strong,none,"The 50 by 50 grid world and community-level norm formation make this a strong broadened-core paper."
HC10,Real world community oriented high-definition social simulation: Combining reinforcement learning and large language models,stable_but_repr_extract_needed,urban_community_digital_twin,physical_virtualized,L3,medium,emergent_social_structure,downloaded_partial_reviewed,medium,needs_repr_coding,"Important for realistic built-environment social simulation, but later coding should capture the exact GIS, BIM, and Unreal observation-action pipeline."
HC12,SimWorld: An Open-ended Realistic Simulator for Autonomous Agents in Physical and Social Worlds,stable_but_multi_config,open_ended_embodied_social_simulator,mixed_physical_social_world,L5,high,mixed,downloaded_partial_reviewed,strong,needs_repr_coding,"Rich embodied and social environment with multiple interface configurations. Core is stable, but one flat coding row would hide important variation."
