scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
avoid_crowd_event,utility_planner,0.72,0.46,0.58,0.63,1.0,0.0,0.26,1.0,0.0,premature completion,"Going to a park to exercise is plausible, but the trace stops immediately without attempting groceries and with a weak reason that doesn't fully match the stated goals."
avoid_crowd_event,api_llm_direct_actor,0.74,0.41,0.63,0.52,0.75,0.0,0.33,0.85,0.25,budget overspend and looping,"The plan sounds locally reasonable as a crowd-avoidant evening of exercise and groceries, but the sequence repeatedly bounces between park and gym/market and ends with an impossible negative budget."
avoid_crowd_event,api_llm_plan_then_act,0.9,0.83,0.97,0.88,1.0,0.0,0.07,1.0,0.0,budget inconsistency,"The sequence is locally sensible—buy groceries, avoid the plaza crowd, then exercise at a park—but the final budget drops to zero despite the stated goal of preserving it."
avoid_crowd_event,api_llm_reactive_replanner,0.78,0.42,0.88,0.64,1.0,0.0,0.36,1.0,0.0,missed grocery task,"Going to a park to exercise and avoid the plaza crowd is sensible, but the trace stops immediately and never attempts the required grocery pickup, making the full behavior only partly believable."
budget_errand_chain,utility_planner,0.96,0.97,0.98,0.95,1.0,0.0,0.0,1.0,0.0,none,"The agent follows a straightforward, realistic errand chain—pharmacy, cheap dinner, then home—while staying within budget and finishing on time."
budget_errand_chain,api_llm_direct_actor,0.82,0.33,0.78,0.42,0.857,0.0,0.49,1.0,0.143,goal repetition and idle drift,"The first leg looks like a normal low-budget errand chain, but the agent redundantly revisits the pharmacy and then wastes the remaining time dwelling at the diner instead of returning home."
budget_errand_chain,api_llm_plan_then_act,0.98,0.96,0.99,0.97,1.0,0.0,0.02,1.0,0.0,none,"The sequence is a straightforward, realistic errand chain with coherent reasons, sensible ordering, and a believable budget-constrained return home."
budget_errand_chain,api_llm_reactive_replanner,0.98,0.97,0.99,0.98,1.0,0.0,0.01,1.0,0.0,none,"The sequence is straightforward and realistic: Aria buys medicine, eats at the cheap diner, returns home early, and stays within budget."
closed_poi_replacement,utility_planner,0.93,0.78,0.95,0.88,1.0,0.0,0.15,1.0,0.0,slightly unnatural timing,"The agent sensibly switches to a bookstore and stays there for a focused session, though the exact wait-and-dwell timing feels a bit contrived rather than fully organic."
closed_poi_replacement,api_llm_direct_actor,0.89,0.58,0.95,0.84,1.0,0.0,0.31,1.0,0.0,repeated dwell overcounts session,"Moving to coworking after the library closure is sensible, but the trace repeatedly starts new dwell periods at the same place, making the full behavior look artificially stretched despite locally reasonable intentions."
closed_poi_replacement,api_llm_plan_then_act,0.97,0.95,0.99,0.96,1.0,0.0,0.02,1.0,0.0,none,"Aria responds to the library closure by going to a quiet coworking space, stays for a full focused hour, and stops once the goal is met, which is entirely plausible urban behavior."
closed_poi_replacement,api_llm_reactive_replanner,0.97,0.95,0.98,0.96,1.0,0.0,0.02,1.0,0.0,none,"Aria makes a sensible switch to a quiet paid workspace, stays long enough to work, and stops once the goal is met without conflicting with the closure."
commute_disruption,utility_planner,0.66,0.41,0.9,0.46,0.0,0.66,0.25,0.5,1.0,ignores disruption context,"The agent reaching the office early is locally reasonable, but the trace never reacts to the transit delay or shows any route choice, so the full behavior feels under-specified and only mildly believable."
