scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
hard_budget_entangled_meet,api_llm_react_tool_policy,0.78,0.42,0.72,0.58,1.0,0.0,0.36,1.0,0.0,budget drift and overplanned venue logic,"The sequence sounds locally plausible as a city errand-and-meeting run, but it weakens in full-trace credibility because it adds unnecessary venue behaviors, ends with a budget mismatch, and never cleanly closes the return-home condition."
hard_budget_entangled_meet,api_llm_plan_and_execute,0.82,0.34,0.88,0.76,0.889,0.0,0.48,0.45,0.111,time window miss and budget conflict,"The plan sounds locally reasonable, but the execution drifts past the meeting window and still ends with the cafe spend consuming nearly all remaining budget, so the full sequence is not believable as a successful urban run."
hard_deadline_then_meet,api_llm_react_tool_policy,0.95,0.9,0.98,0.93,1.0,0.0,0.05,1.0,0.0,slightly artificial service evidence,"The trace follows a sensible deadline-first sequence, reaches the pharmacy before 12:35, then waits at the cafe until Ben's window opens and meets him there."
hard_deadline_then_meet,api_llm_plan_and_execute,0.93,0.34,0.88,0.76,0.857,0.073,0.59,0.5,0.143,meeting window ignored,"The trace sounds like a reasonable errand-plus-meeting plan, but it claims a Ben meeting in the 13:00-13:15 window while actually completing it at 12:53, which makes the full sequence hard to believe."
hard_full_evening_chain,api_llm_react_tool_policy,0.88,0.57,0.84,0.72,1.0,0.0,0.31,0.85,0.0,route sequencing drift,"The plan sounds locally sensible for a rushed evening, but the homeward trip drifts through implausible intermediate locations and the final sequence feels less like ordinary urban movement than a stitched-together path."
hard_full_evening_chain,api_llm_plan_and_execute,0.94,0.84,0.98,0.9,1.0,0.0,0.1,1.0,0.0,slight time-budget oddity,"The sequence reads like a reasonable evening errand run, with actions and reasons matching the stated goals, though the tight timing and immediate home return make it a bit compressed."
hard_overlapping_windows,api_llm_react_tool_policy,0.89,0.61,0.93,0.78,1.0,0.0,0.28,0.7,0.0,late Ben meeting,"The plan and reasons sound coherent for a city-style scheduling task, but the sequence misses Ben's window by running past 13:00, so the full trace is less believable as successful behavior."
hard_overlapping_windows,api_llm_plan_and_execute,0.62,0.28,0.34,0.41,0.875,0.0,0.34,0.5,0.125,time and sequence inconsistencies,"The trace sounds like a reasonable attempt to handle two overlapping meetings, but the timing is internally inconsistent and the cafe meeting is reached after its stated window ends, which makes the full sequence hard to believe."
hard_stale_plan_override,api_llm_react_tool_policy,0.83,0.45,0.86,0.74,1.0,0.0,0.38,1.0,0.0,repetitive travel/odd sequencing,"The plan to confirm Ben, travel to the updated cafe, and arrive before the meeting window is plausible, but the sequence includes redundant intermediate moves and a somewhat unnatural service/interact pattern that weakens full-trace believability."
hard_stale_plan_override,api_llm_plan_and_execute,0.89,0.76,0.93,0.84,1.0,0.0,0.13,1.0,0.0,slight over-optimization,"The actions match the updated meeting well and the reasoning is coherent, though the sequence is a bit too tidy and goal-complete for a casual urban trace."
hard_three_meeting_relay,api_llm_react_tool_policy,0.93,0.78,0.96,0.72,1.0,0.0,0.15,1.0,0.0,overly procedural venue behavior,"The plan reads like a reasonable sequence of urban errands and meetups, though the repeated enter/use_service/wait pattern feels slightly artificial and more validator-aware than natural."
hard_three_meeting_relay,api_llm_plan_and_execute,0.58,0.18,0.35,0.22,1.0,0.0,0.4,0.4,0.0,timeline and reasoning inconsistencies,"The plan sounds like a reasonable three-stop social relay at first, but the trace drifts into inconsistent times, impossible dwell/interaction arithmetic, and contradictory travel justifications that undermine the full sequence."
