experiment_id,block,scenario,intervention,model,memory,meetings_per_round,runs,seeds,rounds,turns,agents_total,current,stale,unknown,held_current_rate
g1_scenarios/book_club_baseline,g1_scenarios,book_club,baseline,gpt-5.4-mini,ga,m=2,5,41;42;43;44;45,5,3,125,48,16,61,38.4
g1_scenarios/book_club_broadcast,g1_scenarios,book_club,broadcast,gpt-5.4-mini,ga,m=2,5,41;42;43;44;45,5,3,125,124,0,1,99.2
g1_scenarios/book_club_source,g1_scenarios,book_club,source,gpt-5.4-mini,ga,m=2,5,41;42;43;44;45,5,3,125,64,20,41,51.2
g1_scenarios/carpool_baseline,g1_scenarios,carpool,baseline,gpt-5.4-mini,ga,m=2,5,41;42;43;44;45,5,3,125,16,0,109,12.8
g1_scenarios/carpool_broadcast,g1_scenarios,carpool,broadcast,gpt-5.4-mini,ga,m=2,5,41;42;43;44;45,5,3,125,125,0,0,100.0
g1_scenarios/carpool_source,g1_scenarios,carpool,source,gpt-5.4-mini,ga,m=2,5,41;42;43;44;45,5,3,125,20,0,105,16.0
g2_persona/baseline,g2_persona,repair_drive,baseline,gpt-5.4-mini,ga,m=2,5,41;42;43;44;45,5,3,125,18,13,94,14.4
g2_persona/broadcast,g2_persona,repair_drive,broadcast,gpt-5.4-mini,ga,m=2,5,41;42;43;44;45,5,3,125,123,0,2,98.4
g2_persona/source,g2_persona,repair_drive,source,gpt-5.4-mini,ga,m=2,5,41;42;43;44;45,5,3,125,15,18,92,12.0
m0_strong/seed_41,m0_strong,repair_drive,capability,gpt-5.4,ga,m=2,1,41,5,3,25,5,5,15,20.0
m0_strong/seed_42,m0_strong,repair_drive,capability,gpt-5.4,ga,m=2,1,42,5,3,25,5,5,15,20.0
m0_strong/seed_43,m0_strong,repair_drive,capability,gpt-5.4,ga,m=2,1,43,5,3,25,5,17,3,20.0
m0_strong55/seed_41,m0_strong55,repair_drive,capability,gpt-5.5,ga,m=2,1,41,5,3,25,5,16,4,20.0
m0_strong55/seed_42,m0_strong55,repair_drive,capability,gpt-5.5,ga,m=2,1,42,5,3,25,7,0,18,28.0
m0_strong55/seed_43,m0_strong55,repair_drive,capability,gpt-5.5,ga,m=2,1,43,5,3,25,4,14,7,16.0
m1/m1_gpt-5.4,m1,repair_drive,connectivity,gpt-5.4,ga,m=1,3,41;42;43,5,3,75,21,13,41,28.0
