scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
social_copresence_decoy_location,gatsim_official_planner,0.74,0.28,0.62,0.41,0.4,0.34,0.46,0.15,0.6,repetitive scripted interactions,"The move to the quiet cafe and staying there are plausible, but the repeated identical interactions read like validation padding rather than ordinary city behavior, and the trace never explicitly confirms Ben or handles the decoy choice."
social_copresence_decoy_location,sotopia_official_llm_agent,0.97,0.95,0.98,0.93,1.0,0.0,0.02,0.55,0.0,none,"The agent confirms the meeting, travels to the quiet cafe, and waits there within the target window, which is coherent and matches the stated intention."
social_copresence_decoy_location,generative_agents_official_planner,0.96,0.42,0.38,0.72,0.75,0.21,0.54,0.8,0.25,adapter-like inconsistencies,"The intent and key actions are plausible for a city rendezvous, but the trace has odd zero-minute moves, a no-op departure, and generic reasons that weaken full-sequence credibility."
social_copresence_decoy_location,agentsociety_official_plan_blocks,0.93,0.42,0.9,0.72,0.7,0.23,0.51,0.35,0.3,repetitive confirmation messages,"The route to the quiet cafe and the initial confirmation are plausible, but the later sequence drifts into repetitive waiting and messaging that reduces full-trace believability."
social_copresence_event_window,gatsim_official_planner,0.82,0.31,0.84,0.26,1.0,0.0,0.51,1.0,0.0,missed social window after detour,"The early market arrival and brief interaction are locally plausible, but the trace then wanders through unrelated errands and finishes at the office well after the short Casey window has effectively passed."
social_copresence_event_window,sotopia_official_llm_agent,0.96,0.34,0.82,0.78,0.75,0.21,0.62,0.2,0.25,late arrival then drift away,"The movement to the market and brief interaction with Casey are plausible, but the sequence reaches the location after the narrow social window and then wanders off, so the full trace is not very believable as successful behavior."
social_copresence_event_window,generative_agents_official_planner,0.78,0.31,0.12,0.42,0.4,0.38,0.47,0.2,0.6,adapter-like no-op behavior,"The actions resemble a plausible arrival-and-wait plan at the market, but the repeated zero-minute moves, generic reasons, and long dwell after the brief window make the full trace feel mechanically generated rather than ordinary behavior."
social_copresence_event_window,agentsociety_official_plan_blocks,0.84,0.42,0.91,0.58,0.3,0.54,0.42,0.2,0.7,late-window drift and repetitive dwelling,"The plan to get to the market and stay there reads plausibly, but the trace spends too long dwelling after the only meaningful meeting window and ends without a convincing interaction outcome."
social_copresence_message_gated,gatsim_official_planner,0.72,0.28,0.41,0.36,0.75,0.0,0.44,0.15,0.25,goal drift and duplicated travel,"The trace starts with a reasonable meetup flow, but it never sends the confirming message, then wanders through unnecessary moves and arrives too late to read as believable city behavior."
social_copresence_message_gated,sotopia_official_llm_agent,0.95,0.58,0.97,0.62,1.0,0.0,0.37,0.55,0.0,stops before the meet,"The message-and-travel sequence is sensible and matches the stated intent, but the trace ends at the cafe before the meeting window, so the full behavior only partially realizes the social plan."
social_copresence_message_gated,generative_agents_official_planner,0.86,0.28,0.93,0.62,0.8,0.06,0.58,0.35,0.2,idle drift after confirmation,"The initial message and intent are coherent, but the trace then stays at the office and never actually reaches the quiet cafe or engages Ben, so the full sequence reads as incomplete and behaviorally thin."
social_copresence_message_gated,agentsociety_official_plan_blocks,0.94,0.58,0.96,0.84,1.0,0.0,0.36,0.55,0.0,ends early after arrival,"The message-first approach and trip to the agreed cafe are sensible, but the trace stops immediately on arrival without actually meeting Ben during the required window."
social_copresence_open_meet,gatsim_official_planner,0.88,0.74,0.93,0.84,1.0,0.0,0.14,1.0,0.0,generic planner boilerplate,"The sequence is locally sensible for a lunch meetup at the park, but the repeated GATSim-plan phrasing makes it feel scripted rather than like ordinary city behavior."
social_copresence_open_meet,sotopia_official_llm_agent,0.84,0.38,0.72,0.58,0.889,0.0,0.46,0.2,0.111,repetitive stalled messaging,"The agent reaches the park in time and the intended meetup is locally plausible, but the sequence devolves into repeated identical messages without evidence of a real co-presence outcome."
social_copresence_open_meet,generative_agents_official_planner,0.91,0.38,0.54,0.62,0.778,0.132,0.53,0.2,0.222,official-adapter drift,"The trip to the park is locally plausible, but the trace is dominated by generic adapter moves, includes a zero-minute move and repeated dwell, and never clearly demonstrates a real meeting with Casey."
social_copresence_open_meet,agentsociety_official_plan_blocks,0.92,0.38,0.96,0.84,0.75,0.17,0.54,0.2,0.25,premature meeting completion,"The individual steps sound like a normal park meetup plan, but the trace ends the meeting too early and never shows Casey being present across the intended window."
social_copresence_two_party,gatsim_official_planner,0.82,0.38,0.79,0.64,1.0,0.0,0.44,1.0,0.0,agentic template drift,"The plan itself is a reasonable two-meeting sequence, but the trace reads like a scripted planner repeatedly following GATSim placeholders rather than ordinary city behavior, which weakens the full-sequence realism."
social_copresence_two_party,sotopia_official_llm_agent,0.18,0.06,0.22,0.14,1.0,0.0,0.12,0.4,0.0,abrupt idle stop,"The agent’s moves to the park are superficially reasonable, but the trace never meets either person and then stops immediately, so the full sequence does not read like a believable completed urban plan."
social_copresence_two_party,generative_agents_official_planner,0.08,0.03,0.95,0.05,0.833,0.0,0.05,0.2,0.167,adapter-only idle loop,"The stated plan is coherent, but the trace never actually travels to the park or cafe and instead idles at the office for the whole window, which is not believable city behavior."
social_copresence_two_party,agentsociety_official_plan_blocks,0.84,0.52,0.86,0.63,0.286,0.554,0.32,0.2,0.714,overshoots meeting window and idles too long,"The plan sounds reasonable at a glance, but the trace spends too long at the park and arrives at the cafe after Ben's window has already started, so the full sequence reads as only partially believable."
social_copresence_with_errand,gatsim_official_planner,0.62,0.18,0.34,0.22,0.909,0.0,0.44,0.6,0.091,budget violation and plan drift,"The individual moves to the market and pharmacy are locally plausible, but the trace loops back and forth, never clearly preserves the required budget, and ends without a believable completion of both outcomes."
social_copresence_with_errand,sotopia_official_llm_agent,0.88,0.31,0.76,0.67,0.875,0.005,0.57,0.2,0.125,goal drift and impossible ordering,"The individual moves and messages sound like a plausible errand-to-meeting routine, but the trace drifts into a pharmacy/market sequence that does not cleanly preserve both outcomes and then stops early."
social_copresence_with_errand,generative_agents_official_planner,0.78,0.16,0.72,0.41,0.778,0.002,0.62,0.25,0.222,budget overrun and meeting drift,"The individual moves and shopping actions sound locally reasonable, but the sequence misses the required in-window co-presence at the market and ends with an impossible negative budget."
social_copresence_with_errand,agentsociety_official_plan_blocks,0.95,0.83,0.98,0.92,1.0,0.0,0.12,1.0,0.0,lightly artificial official-plan phrasing,"The sequence cleanly accomplishes both the pharmacy errand and the market meeting within the time window, with actions and reasons matching the scenario, though the repetitive official-plan wording feels somewhat scripted."
