figure,panel,condition,metric,mean,ci95,n,notes
fig2,A,baseline,final SAY current among valued utterances,62.9,,5,22 current-coded / 35 valued utterances
fig2,A,source,final SAY current among valued utterances,81.8,,5,27 current-coded / 33 valued utterances
fig2,A,broadcast,final SAY current among valued utterances,100.0,,5,226 current-coded / 226 valued utterances
fig2,B,baseline,held current,12.0,9.3,5,
fig2,B,source,held current,15.2,5.4,5,
fig2,B,broadcast,held current,99.2,2.2,5,
fig3,A,baseline,peak held current,28.0,,2,round 6
fig3,A,source,peak held current,36.0,,1,round 5
fig3,A,broadcast,peak held current,100.0,,1,round 1
fig4,A,mini,held current,18.5,6.4,8,p3_power/m0_mini
fig4,A,gpt-5.4,held current,34.4,9.7,5,p3_power/m0_gpt54
fig4,A,gpt-5.5,held current,30.4,9.7,5,p3_power/m0_gpt55
fig4,B,m=1,held current,19.5,6.6,8,p3_power/m1_mini_m1
fig4,B,m=2,held current,18.5,6.4,8,p3_power/m0_mini
fig4,B,m=3,held current,14.0,3.6,8,p3_power/m1_mini_m3
fig4,C,GA,held current,16.8,10.8,5,m3_verify/ga_m2
fig4,C,currency,held current,24.0,23.6,5,m3_verify/smga3g_m2
fig4,D,baseline,held current,12.0,9.3,5,m4_rebroadcast/baseline
fig4,D,source,held current,15.2,5.4,5,m4_rebroadcast/source
fig4,D,broadcast,held current,99.2,2.2,5,m4_rebroadcast/broadcast
fig5,A,baseline: narrow early,held current,12.0,9.3,5,m4_rebroadcast/baseline
fig5,A,source: narrow repeated,held current,15.2,5.4,5,m4_rebroadcast/source
fig5,A,late all-agent broadcast,held current,8.8,11.3,5,p1rec/r5_broadcast
fig5,A,early all-agent broadcast,held current,100.0,0.0,5,p1rec/r1_broadcast
fig5,A,every-round broadcast,held current,99.2,2.2,5,m4_rebroadcast/broadcast
fig6,A,repair:baseline,held current,12.0,9.3,5,m4_rebroadcast/baseline
fig6,A,book:baseline,held current,38.4,8.3,5,g1_scenarios/book_club_baseline
fig6,A,carpool:baseline,held current,12.8,8.2,5,g1_scenarios/carpool_baseline
fig6,A,"thick
persona:baseline",held current,14.4,8.3,5,g2_persona/baseline
fig6,A,repair:source,held current,15.2,5.4,5,m4_rebroadcast/source
fig6,A,book:source,held current,51.2,11.3,5,g1_scenarios/book_club_source
fig6,A,carpool:source,held current,16.0,5.0,5,g1_scenarios/carpool_source
fig6,A,"thick
persona:source",held current,12.0,3.5,5,g2_persona/source
fig6,A,repair:broadcast,held current,99.2,2.2,5,m4_rebroadcast/broadcast
fig6,A,book:broadcast,held current,99.2,2.2,5,g1_scenarios/book_club_broadcast
fig6,A,carpool:broadcast,held current,100.0,0.0,5,g1_scenarios/carpool_broadcast
fig6,A,"thick
persona:broadcast",held current,98.4,2.7,5,g2_persona/broadcast
