audit_id,annotator_id,completion_label,feasibility_label,replan_label,evidence_sufficient,first_invalid_step,confidence,notes
H001,model_literal,complete,feasible,not_applicable,yes,,4,"Aria reaches school by 17:26, enters, dwells 35 minutes, and finishes at 18:02, so pickup before 18:10 and episode completion before 18:35 are supported; no invalid action is evident in the observable trace."
H002,model_literal,complete,feasible,successful,yes,,5,"Step 1 was interrupted by the service alert at transit_hub, but step 2 rerouted via plaza and cafe_central to office before the deadline. No invalid action is evidenced in the trace."
H003,model_literal,partial,feasible,not_applicable,yes,,5,"Aria completed a 50-minute accepted dwell at the bookstore, paid the required service cost, stayed within budget, and there is no recorded entry into the closed library. The trace ends after finishing at the plaza, so the original goal is only partially satisfied because the replacement work block was completed but not the broader implied plan at the library."
H004,model_literal,partial,feasible,not_applicable,yes,,5,"Aria reached an open quiet_cafe and completed 50+ minutes of dwell there, with no evidence of entering the closed library and no budget use."
H005,model_literal,partial,feasible,not_applicable,yes,,5,"Aria confirmed and messaged Ben, then stayed at cafe_central through the lunch window, but there is no observable evidence Ben ever arrived or co-presented, so the meeting objective is incomplete. All executed actions are valid and budget remains nonnegative."
H006,model_literal,partial,feasible,not_applicable,yes,,5,"Aria reaches and enters school before the 18:10 deadline, but there is no observable pickup interaction or other evidence that the child was actually picked up, so the private intention is only partially supported."
H007,model_literal,complete,feasible,successful,yes,,5,Aria reaches and enters the office before 09:15; the trace avoids the blocked transit_hub->office edge during the alert window and shows a feasible detour and recovery after the service alert.
H008,model_literal,complete,feasible,not_applicable,yes,,5,"The trace reaches the bookstore, enters it, and dwells there from 14:24 to 16:30 for 126 minutes, which satisfies the replacement-location and 50-minute focus-block conditions. The library is never entered, and budget remains unchanged."
H009,model_literal,complete,feasible,successful,yes,,5,"Aria reached the office by 08:30 via an alternate route after the 08:08 service alert, and the trace shows no use of the blocked transit_hub-office edge or other feasibility issue."
H010,model_literal,partial,feasible,not_applicable,yes,,4,"Aria reaches and enters school before the 18:10 deadline, but the trace then detours to Ben's home and finishes there; the private intention to pick up the child before 18:10 is not fully completed, though no executed step is invalid in the visible packet."
H011,model_literal,partial,feasible,not_applicable,yes,,4,"Aria confirmed Ben by message and reached Quiet Cafe within the lunch window, but the packet never records Ben's co-presence, so the meeting objective is only partially completed; no invalid action is evident."
H012,model_literal,partial,infeasible,successful,yes,2,5,"Step 1 is a valid interrupted move to transit_hub, but step 2 is invalid because a move with path [transit_hub, park] ends at transit_hub with no executed traversal or arrival at park, so the trace contains a feasibility violation. The office is reached before 09:15 after replanning away from the blocked edge."
H013,model_literal,partial,feasible,not_applicable,yes,,4,"Aria reached and entered quiet_cafe before the window, but the trace contains no message to Ben and no observed co-presence with Ben during 12:35-12:55; no feasibility violation is shown in the recorded actions."
H014,model_literal,partial,feasible,not_applicable,yes,,5,"Aria reached the bookstore, completed 50 minutes of dwell there, and did not enter the closed library; the episode ends after the dwell with budget unchanged."
H015,model_literal,partial,feasible,not_applicable,yes,,4,"Aria sent multiple planning messages and traveled to cafe_central within the lunch window, but the trace never records co-presence with Ben or a confirmed meeting, so the coordination objective is only partially completed."
H016,model_literal,complete,feasible,not_applicable,yes,,5,"Aria reached school by 17:26, before the 18:10 deadline, and no social interaction or infeasible commitment is recorded; the trace ends immediately after arrival."
