run,agent_id,agent_name,final_verdict,heard_current_pair,heard_current_pair_from_speech,said_current_pair,heard_any_current_marker,said_any_current_marker,world_current_pair_injection,final_answer
run_000,a01,Rosa,current,8,4,3,9,4,4,It is now on Sunday at the community center.
run_000,a02,Sam,unknown,1,1,0,3,1,0,The notes don't say when or where the repair drive is being held.
run_000,a03,Tess,current,0,0,0,1,0,0,It's now on Sunday at the community center.
run_000,a04,Uli,unknown,0,0,0,0,0,0,The repair drive's current time and location aren't specified in the notes.
run_000,a05,Mina,unknown,0,0,0,0,0,0,
run_000,a06,Oren,unknown,0,0,0,0,0,0,
run_000,a07,Pia,current,2,2,1,2,1,0,The repair drive is set for Sunday at the community center.
run_000,a08,Vik,unknown,0,0,0,0,0,0,The notes don't say when or where the repair drive is being held yet.
run_000,a09,Nell,unknown,0,0,0,0,0,0,"It's still being organized, and the venue/spot hasn't been decided yet."
run_000,a10,Bo,unknown,0,0,0,0,0,0,It's being held at 6 with the truck on site.
run_000,a11,Cleo,unknown,0,0,0,0,0,0,The notes don't say when or where the repair drive is being held.
run_000,a12,Dane,unknown,0,0,0,0,0,0,I don't have the current time or location for the repair drive in these notes.
run_000,a13,Eli,current,5,5,3,5,3,0,The repair drive is being held on Sunday at the community center.
run_000,a14,Faye,unknown,0,0,0,0,0,0,The memory notes don't specify the repair drive's time or location.
run_000,a15,Gus,unknown,0,0,0,0,0,0,It's being held at the old gate by the drive this late afternoon.
run_000,a16,Hana,current,1,1,0,1,0,0,The repair drive is on Sunday at the community center.
run_000,a17,Ira,unknown,0,0,0,0,0,0,It hasn't been decided yet; Ira is still checking for a good spot and will let everyone know soon.
run_000,a18,Jules,unknown,0,0,0,0,0,0,The current notes don't say when or where the repair drive is being held.
run_000,a19,Kira,unknown,1,1,0,1,0,0,The notes don't say when or where the repair drive is being held now.
run_000,a20,Leo,unknown,0,0,0,1,0,0,It's being held at 6 at the spot Leo will confirm.
run_000,a21,Mara,unknown,0,0,0,0,0,0,The time and meeting location for the repair drive aren't specified yet.
run_000,a22,Noah,unknown,0,0,0,0,0,0,The current location and time for the repair drive aren't specified in the notes.
run_000,a23,Opal,unknown,0,0,0,3,2,0,I don't know the current when-and-where for the repair drive.
run_000,a24,Quinn,unknown,0,0,0,0,0,0,"The repair drive is still being coordinated, but no specific time or location has been given yet."
run_000,a25,Rey,unknown,0,0,0,0,0,0,"The repair drive is being organized now, but the notes don't say when or where it's being held."
run_001,a01,Rosa,current,7,3,3,7,3,4,It's now on Sunday at the community center.
run_001,a02,Sam,unknown,0,0,0,0,0,0,The notes don't say when or where the repair drive is being held now.
run_001,a03,Tess,current,1,1,0,1,0,0,It's now on Sunday at the community center.
run_001,a04,Uli,unknown,0,0,0,0,0,0,It isn't stated in the notes where or when the repair drive is being held.
run_001,a05,Mina,unknown,0,0,0,0,0,0,The repair drive is not said to have a specific time or place in the notes.
run_001,a06,Oren,unknown,0,0,0,0,0,0,"Oren is still sorting out the repair drive details, so the day, time, and location aren't known yet."
run_001,a07,Pia,stale,0,0,0,2,1,0,It's at 9 AM on Saturday morning at the community hall on Maple.
run_001,a08,Vik,unknown,0,0,0,0,0,0,"The notes don't say when or where the repair drive is being held, only that it's still on unless otherwise noted."
run_001,a09,Nell,unknown,0,0,0,0,0,0,The memory notes don't specify when or where the repair drive is being held.
run_001,a10,Bo,unknown,0,0,0,0,0,0,"The time hasn't been set yet, and the location is around the block."
run_001,a11,Cleo,unknown,0,0,0,0,0,0,The memory notes don't specify the repair drive's date or location.
run_001,a12,Dane,unknown,0,0,0,2,1,0,I don't have the current time or location for the repair drive in these notes.
run_001,a13,Eli,unknown,0,0,0,0,0,0,The memory notes don't say when or where the repair drive is being held.
run_001,a14,Faye,unknown,2,2,0,2,0,0,The exact time and location haven't been confirmed yet.
run_001,a15,Gus,current,1,1,0,1,0,0,It's set for Sunday at the community center.
run_001,a16,Hana,unknown,0,0,0,0,0,0,The repair drive location and timing aren't specified in the notes yet.
run_001,a17,Ira,unknown,0,0,0,0,0,0,I don't have the current time or location for the repair drive.
run_001,a18,Jules,unknown,0,0,0,0,0,0,The notes don't say when or where the repair drive is being held.
run_001,a19,Kira,unknown,3,3,1,5,2,0,The notes only confirm the repair drive is still on unless we hear otherwise; they don't give the time or location.
run_001,a20,Leo,unknown,0,0,0,0,0,0,"The repair drive is still being scheduled, and no location has been finalized yet."
run_001,a21,Mara,unknown,0,0,0,0,0,0,The notes don't say when or where the repair drive is being held.
run_001,a22,Noah,current,4,4,3,4,3,0,It's now Sunday at the community center.
run_001,a23,Opal,unknown,0,0,0,2,1,0,"The time hasn't been set yet, and the exact location still needs confirmation."
run_001,a24,Quinn,unknown,0,0,0,0,0,0,"The day, time, and location still aren't confirmed yet."
run_001,a25,Rey,unknown,0,0,0,0,0,0,I don't have the time or location for the repair drive in the notes.
run_002,a01,Rosa,current,12,8,5,14,6,4,The repair drive is now on Sunday at the community center.
run_002,a02,Sam,unknown,0,0,0,0,0,0,The repair drive timing and location haven't been specified yet.
run_002,a03,Tess,unknown,0,0,0,0,0,0,The exact time and location of the repair drive still haven't been confirmed.
run_002,a04,Uli,current,3,3,1,7,3,0,"The notes only say it's the Sunday repair drive at the community center, but no updated time is given."
run_002,a05,Mina,unknown,0,0,0,0,0,0,At 9 by the community shed.
run_002,a06,Oren,unknown,0,0,0,0,0,0,The current time and place for the repair drive aren't specified in the notes.
run_002,a07,Pia,unknown,2,2,1,2,1,0,"The repair drive is set for tomorrow morning, but the location hasn't been shared yet."
run_002,a08,Vik,unknown,0,0,0,0,0,0,"Vik is heading over to the repair drive later, but the location isn't specified."
run_002,a09,Nell,unknown,0,0,0,0,0,0,The exact time and place aren't known yet; they're still waiting on the details.
run_002,a10,Bo,unknown,0,0,0,0,0,0,The current notes don't specify when or where the repair drive is being held.
run_002,a11,Cleo,unknown,0,0,0,0,0,0,The notes don't say when or where the repair drive is being held.
run_002,a12,Dane,unknown,0,0,0,0,0,0,"They're starting tomorrow morning, but the exact location is still being confirmed."
run_002,a13,Eli,unknown,0,0,0,0,0,0,The exact time and location haven't been confirmed yet.
run_002,a14,Faye,unknown,0,0,0,0,0,0,The current notes don't say when or where the repair drive is being held; only that Faye is coordinating around the school pickup and drop-off schedule.
run_002,a15,Gus,unknown,0,0,0,0,0,0,"It's still a repair drive, but the notes don't say when or where it's being held."
run_002,a16,Hana,unknown,0,0,0,0,0,0,The notes don't say when or where the repair drive is being held.
run_002,a17,Ira,unknown,0,0,0,1,1,0,The current details of the repair drive haven't been shared yet.
run_002,a18,Jules,unknown,0,0,0,0,0,0,"I don't have the current time or location for the repair drive yet, but Jules is checking and will send the best details soon."
run_002,a19,Kira,unknown,0,0,0,0,0,0,It's at the 9 o'clock community shed meetup.
run_002,a20,Leo,current,3,3,1,4,1,0,The repair drive is at the community center on Sunday.
run_002,a21,Mara,unknown,0,0,0,0,0,0,The repair drive's time and location aren't specified in the current notes.
run_002,a22,Noah,unknown,0,0,0,0,0,0,"The current notes only say they're still lining up the pickup time, so the when and where aren't specified."
run_002,a23,Opal,current,3,3,2,3,2,0,It's now on Sunday at the community center.
run_002,a24,Quinn,unknown,0,0,0,0,0,0,I don't have the current time or location for the repair drive in these notes.
run_002,a25,Rey,unknown,1,1,0,3,1,0,The exact time and location still haven't been finalized.
run_003,a01,Rosa,current,11,7,5,15,8,4,It's now on Sunday at the community center.
run_003,a02,Sam,unknown,0,0,0,1,0,0,The memory notes don't say when or where the repair drive is being held.
run_003,a03,Tess,unknown,2,2,1,2,1,0,"The repair drive is still happening, but no specific time or place has been shared yet."
run_003,a04,Uli,stale,0,0,0,1,0,0,This Saturday at the community hall.
run_003,a05,Mina,unknown,1,1,0,1,0,0,The exact time and location haven't been confirmed yet.
run_003,a06,Oren,unknown,2,2,1,3,1,0,I don't have the current time or location for the repair drive in the notes.
run_003,a07,Pia,unknown,1,1,0,2,0,0,The memory notes don't say when or where the repair drive is being held.
run_003,a08,Vik,unknown,0,0,0,0,0,0,I don't have the current time or location for the repair drive in these notes.
