scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
avoid_crowd_event,utility_planner,0.82,0.46,0.74,0.58,1.0,0.0,0.36,1.0,0.0,unfinished errand,"Going to the park to exercise is plausible, but the trace stops immediately and never attempts the grocery trip or any crowd-avoidance behavior beyond leaving the plaza area."
avoid_crowd_event,api_llm_direct_actor,0.74,0.41,0.88,0.62,1.0,0.0,0.33,1.0,0.0,missed grocery goal,"The park-first, crowd-avoidant exercise behavior is reasonable, but the trace repeatedly dwells in place and never goes to the market, so the full sequence looks incomplete and goal-drifting."
avoid_crowd_event,api_llm_plan_then_act,0.93,0.82,0.97,0.9,1.0,0.0,0.11,1.0,0.0,budget depletion,"The sequence is a very reasonable evening routine for avoiding a crowded concert, but the final budget reaching zero makes the trace slightly less believable as a complete city behavior."
avoid_crowd_event,api_llm_reactive_replanner,0.74,0.42,0.66,0.58,1.0,0.0,0.32,1.0,0.0,premature completion,"Going to a park to avoid the concert crowd is plausible, but the trace ends immediately without actually exercising or picking up groceries, so the full behavior feels incomplete."
budget_errand_chain,utility_planner,0.97,0.95,0.98,0.96,1.0,0.0,0.02,1.0,0.0,none,"The agent follows a straightforward, sensible evening errand chain—pharmacy, cheap dinner, home—with reasons that match the actions and a remaining budget consistent with the scenario."
budget_errand_chain,api_llm_direct_actor,0.88,0.42,0.85,0.72,0.8,0.08,0.46,1.0,0.2,errand looping,"The individual moves and reasons are sensible, but the sequence needlessly goes home and back to the diner, which makes the overall behavior feel repetitive and weakly goal-directed."
budget_errand_chain,api_llm_plan_then_act,0.98,0.97,0.99,0.98,1.0,0.0,0.01,1.0,0.0,none,"The sequence is a straightforward, realistic errand run: pharmacy first, cheap dinner second, then home well before the deadline with budget remaining."
budget_errand_chain,api_llm_reactive_replanner,0.96,0.95,0.98,0.97,1.0,0.0,0.01,1.0,0.0,none,"The agent follows a very ordinary low-budget errand sequence—pharmacy, cheap dinner, home—and the stated reasons match the actions and outcome."
closed_poi_replacement,utility_planner,0.93,0.88,0.97,0.95,1.0,0.0,0.05,1.0,0.0,slightly compressed timing,"The agent sensibly switches to a quiet open workspace and stays long enough to satisfy the work session, with only minor oddness that the dwell starts exactly at the closure time rather than earlier."
closed_poi_replacement,api_llm_direct_actor,0.92,0.68,0.89,0.82,1.0,0.0,0.24,1.0,0.0,redundant over-dwelling,"The move to coworking after the library closure is sensible, but the trace repeatedly dwells in the same place beyond the needed session, making the overall behavior feel somewhat looped and inefficient."
closed_poi_replacement,api_llm_plan_then_act,0.96,0.93,0.98,0.95,1.0,0.0,0.03,0.6,0.0,none,The agent makes a sensible alternative workspace choice after the library closure and then completes a plausible 60-minute quiet work session without contradictions.
closed_poi_replacement,api_llm_reactive_replanner,0.97,0.95,0.99,0.96,1.0,0.0,0.02,1.0,0.0,none,"Aria makes a realistic fallback choice to a quiet coworking space, stays long enough to work, and the reasons align cleanly with the scenario and time window."
commute_disruption,utility_planner,0.56,0.38,0.52,0.45,0.0,0.56,0.18,0.5,1.0,ignores disruption context,"Reaching the office quickly is plausible, but the trace never responds to the transit delay or demonstrates any route choice, making the full behavior feel under-specified and only loosely city-like."
commute_disruption,api_llm_direct_actor,0.72,0.43,0.78,0.46,1.0,0.0,0.29,1.0,0.0,odd dwell after arrival,"The commute and reroute are plausible, but the trace becomes less believable because Aria reaches the office very early and then repeatedly dwells there instead of reflecting a more natural commute/check-in sequence."
commute_disruption,api_llm_plan_then_act,0.97,0.95,0.98,0.96,1.0,0.0,0.02,1.0,0.0,none,"Aria takes a sensible alternate route around the disrupted transit hub, arrives before the deadline, and the reasons consistently match the actions."
commute_disruption,api_llm_reactive_replanner,0.92,0.9,0.98,0.93,0.0,0.92,0.02,0.5,1.0,none,"The agent sensibly reroutes around the disrupted transit hub and arrives at the office well before the deadline, with reasons that match the actions and scenario."
conflicting_social_obligation,utility_planner,0.93,0.88,0.97,0.91,1.0,0.0,0.05,1.0,0.0,abrupt early finish,"The agent sensibly completes the work block and sends a polite, specific reply without overcommitting, though the trace ends a bit abruptly before the full episode window."
conflicting_social_obligation,api_llm_direct_actor,0.93,0.64,0.82,0.88,1.0,0.0,0.29,1.0,0.0,redundant dwell/overstated completion,"The actions read like a sensible response to a conflicting invitation and deadline, but the trace awkwardly repeats the work dwell and ends with a slightly unnatural finish state."
conflicting_social_obligation,api_llm_plan_then_act,0.96,0.93,0.98,0.94,1.0,0.0,0.03,1.0,0.0,none,"The agent follows a realistic work-then-reply pattern, stays within budget, and gives a kind, specific refusal that matches the scenario and stated intent."
conflicting_social_obligation,api_llm_reactive_replanner,0.98,0.97,0.99,0.96,1.0,0.0,0.01,1.0,0.0,none,"Aria’s actions are a very natural response to a conflict between a work deadline and a social invitation: she finishes work, declines politely and specifically, and stays within budget."
lunch_meeting_time_pressure,utility_planner,0.72,0.61,0.86,0.74,1.0,0.0,0.11,1.0,0.0,premature finish,"The move-and-wait sequence is reasonable for a lunch meeting, but the agent finishes immediately at 12:25 without actually showing Ben arriving or co-presence being established."
lunch_meeting_time_pressure,api_llm_direct_actor,0.78,0.42,0.83,0.71,1.0,0.0,0.36,1.0,0.0,repetitive indecision,"The actions are locally sensible for a lunch coordination problem, but the trace loops through repeated messages without any real commitment or movement toward meeting Ben."
lunch_meeting_time_pressure,api_llm_plan_then_act,0.76,0.34,0.72,0.68,1.0,0.0,0.42,1.0,0.0,premature finish / awkward sequencing,"Choosing the quieter cafe is reasonable for a lunch meeting, but the trace jumps to a finish without any explicit meeting interaction and the dwell reasoning is internally awkward."
lunch_meeting_time_pressure,api_llm_reactive_replanner,0.88,0.77,0.9,0.86,1.0,0.0,0.11,1.0,0.0,missing co-presence,"The movement and waiting behavior sound like a normal lunch-plan under time pressure, but the trace never shows Ben actually arriving, so the full sequence is only moderately believable as a completed meeting."
memory_dependent_place_choice,utility_planner,0.93,0.78,0.95,0.88,1.0,0.0,0.15,1.0,0.0,early finish before meeting,"The agent makes a sensible memory-based choice for a quiet work spot, but the trace ends at 10:30 before any actual meeting with Ben and feels slightly incomplete."
memory_dependent_place_choice,api_llm_direct_actor,0.92,0.58,0.96,0.78,1.0,0.0,0.34,1.0,0.0,missed Ben meeting,"The agent’s choice of the quiet cafe is highly plausible and the reasons match the memory cues, but the trace never actually meets Ben and mostly repeats dwell actions instead of completing the stated social plan."
memory_dependent_place_choice,api_llm_plan_then_act,0.96,0.93,0.98,0.95,1.0,0.0,0.03,1.0,0.0,none,"Aria’s movement to the quiet cafe, brief work period, and message to Ben all match the memory cues and scenario, and the sequence stays coherent and ordinary throughout."
memory_dependent_place_choice,api_llm_reactive_replanner,0.96,0.93,0.98,0.95,1.0,0.0,0.03,1.0,0.0,premature finish,"The agent’s choice of the quiet cafe and waiting there is a very natural morning-work-and-meet plan, with only a slight issue that it ends as soon as the meeting window opens rather than explicitly showing Ben’s arrival."
unexpected_friend_encounter,utility_planner,0.86,0.28,0.94,0.52,1.0,0.0,0.58,0.75,0.0,missed required errands and social opportunity,"The move to the pharmacy is locally reasonable and the stated reason matches the action, but the trace ends almost immediately without shopping at the market, handling Casey briefly, or plausibly finishing the episode’s errands."
unexpected_friend_encounter,api_llm_direct_actor,0.72,0.28,0.9,0.34,1.0,0.0,0.44,0.75,0.0,repetitive social looping,"The reasons fit a reasonable short encounter, but the trace unrealistically repeats the same interaction with Casey seven times and never completes the grocery errand."
unexpected_friend_encounter,api_llm_plan_then_act,0.86,0.62,0.78,0.74,1.0,0.0,0.24,1.0,0.0,unfinished groceries,"The encounter and pharmacy trip are plausible, but the trace ends without returning to buy groceries, so the full errand sequence feels incomplete despite reasonable local actions."
unexpected_friend_encounter,api_llm_reactive_replanner,0.82,0.64,0.93,0.78,1.0,0.0,0.18,1.0,0.0,missing groceries visit,"The sequence sounds like a reasonable brief social detour followed by an errand, but it ends far too early and never returns to the market to complete groceries."
