repeat_id,scenario_id,family,agent_type,task_completion,goal_completion,trace_feasibility,intention_consistency,replanning_success,judge_face_plausibility,judge_trace_believability,face_believability_gap,impossible_trace_rate,done_state_loop_rate,social_derailment_rate,constraint_satisfaction,process_success,plan_plausibility,plausibility_feasibility_gap,travel_efficiency,budget_consistency,social_appropriateness,feasibility_violation,city_false_continue,face_feasibility_gap,route_interruption_count,verified_replan_count,llm_calls,llm_latency_seconds,llm_total_tokens,judge_rationale_alignment,judge_urban_common_sense,failure_taxonomy,judge_main_issue,judge_brief_reason
1,hard_budget_entangled_meet,social_outcome_hard,api_llm_react_tool_policy,0.769,0.85,1.0,0.85,,0.94,0.72,0.22,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,10,63.742,37760,0.9,0.86,"{""social_derailment"": 1}",budget/state inconsistency,"The plan sounds locally reasonable and the reasons match the actions, but the final budget state does not reconcile cleanly with the described purchases, which weakens the full-trace credibility."
1,hard_budget_entangled_meet,social_outcome_hard,api_llm_plan_and_execute,0.615,0.6,0.9,0.54,,0.83,0.41,0.42,0.1,0.0,0.0,0.571,,1.0,0.1,1.0,1.0,0.0,0.1,0.0,0.0,0,0,1,19.622,2854,0.72,0.58,"{""invalid_state_transition"": 1}",time/budget reasoning drift,"The plan sounds locally reasonable, but it drifts into awkward timing and budget-justifying behavior at the cafe, and the claimed meeting evidence is not very believable as a complete sequence."
1,hard_deadline_then_meet,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,1.0,1.0,,0.96,0.93,0.03,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,9,60.05,33034,0.98,0.91,{},slight over-explanation around cafe timing,"The trace follows a sensible sequence: the agent prioritizes the hard pharmacy deadline, then waits and meets Ben in the correct window, with reasons that generally match the actions and scenario."
1,hard_deadline_then_meet,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,1.0,1.0,,0.92,0.58,0.34,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,18.241,2935,0.89,0.74,{},deadline timing drift,"The plan sounds locally sensible and the reasons match the actions, but the sequence mishandles timing around the cafe window and appears to rely on a slightly inconsistent arrival-and-wait narrative."
1,hard_full_evening_chain,social_outcome_hard,api_llm_react_tool_policy,0.786,0.55,0.9,0.495,,0.89,0.58,0.31,0.1,0.0,1.0,0.0,,1.0,0.1,1.0,0.0,1.0,0.1,1.0,0.0,0,0,11,75.645,43472,0.91,0.76,"{""money_budget_failure"": 1, ""social_derailment"": 1}",negative budget and overmanaged sequencing,"The individual actions and justifications sound like a plausible errand-and-dinner evening, but the trace is over-instrumented and ends with an impossible budget deficit, which weakens full-sequence believability."
1,hard_full_evening_chain,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,1.0,1.0,,0.91,0.62,0.29,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,18.647,2808,0.84,0.88,{},awkward sequencing and meeting window padding,"The plan is locally sensible and fits the scenario, but the trace is a bit over-scripted and internally awkward in places, especially around the dinner timing and the unnecessary wait before meeting Casey."
1,hard_overlapping_windows,social_outcome_hard,api_llm_react_tool_policy,0.5,0.7,1.0,0.7,,0.91,0.56,0.35,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0,0,8,59.288,27550,0.95,0.86,"{""goal_drift"": 1, ""social_derailment"": 1}",missed second window,"The plan and step-by-step reasons are locally coherent and city-plausible, but the sequence still fails the Ben meeting by finishing after the time window closes."
1,hard_overlapping_windows,social_outcome_hard,api_llm_plan_and_execute,0.5,0.5,0.889,0.444,,0.74,0.42,0.32,0.111,0.0,1.0,0.5,,1.0,0.111,1.0,1.0,0.5,0.111,0.0,0.0,0,0,1,17.873,2690,0.82,0.78,"{""invalid_state_transition"": 1, ""social_derailment"": 1}",missed cafe window,"The plan sounds like a reasonable attempt to juggle two invitations, but it arrives at the cafe after Ben's window has already closed, so the full trace reads as a believably mistaken execution rather than a successful urban plan."
1,hard_stale_plan_override,social_outcome_hard,api_llm_react_tool_policy,0.0,0.2,0.429,0.086,,0.9,0.35,0.55,0.571,0.0,0.0,0.5,,1.0,0.571,1.0,1.0,0.0,0.571,0.0,0.471,0,0,8,53.439,27739,0.72,0.78,"{""invalid_state_transition"": 4}",repetitive overacting,"The early move to the updated cafe and the intent to meet Ben are plausible, but the trace devolves into repeated interaction steps and then a late abandonment after the meeting window has already passed."
1,hard_stale_plan_override,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,1.0,1.0,,0.84,0.62,0.22,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,16.225,2544,0.78,0.7,{},overfitting to stated success conditions,"The actions are locally sensible for responding to a schedule change, but the sequence feels somewhat engineered and redundant, with unnecessary service/dwell steps that make the full trace less natural."
