scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
closed_study_spot_replacement,gatsim_official_planner,0.79,0.58,0.62,0.74,0.875,0.0,0.21,1.0,0.125,mechanical overextension after goal completion,"Choosing the nearby bookstore and working there is plausible, but the scripted extra cafe session with generic reasons and unnecessary spending makes the full trace feel less like ordinary student behavior."
closed_study_spot_replacement,sotopia_official_llm_agent,0.92,0.83,0.74,0.9,0.5,0.42,0.09,0.7,0.5,redundant enter after already being there,"Choosing the nearby bookstore for a long quiet work block fits the closure scenario well, but the extra enter step and generic reasons make the full trace slightly awkward."
closed_study_spot_replacement,generative_agents_official_planner,0.95,0.93,0.72,0.96,0.5,0.45,0.02,0.7,0.5,generic reasons,"Choosing the nearby bookstore and staying there for a long quiet work block is very plausible, but the stated reasons are non-informative boilerplate."
closed_study_spot_replacement,agentsociety_official_plan_blocks,0.87,0.78,0.82,0.84,0.8,0.07,0.09,1.0,0.2,unnecessary purchase to justify staying,"Choosing the nearby bookstore and completing long quiet work blocks is broadly plausible, but the explicit service-context purchase and double-dwell structure feel somewhat scripted rather than natural."
detour_commute_midroute_block,gatsim_official_planner,0.46,0.14,0.22,0.38,0.875,0.0,0.32,0.3,0.125,abandons commute for unrelated stops,"After a plausible detour away from the blocked hub-office link, the trace drifts through park, library, and cafes and never reaches the office before the deadline."
detour_commute_midroute_block,sotopia_official_llm_agent,0.56,0.22,0.18,0.35,1.0,0.0,0.34,0.65,0.0,ignored service disruption,"Reaching the office early is superficially plausible, but the trace unrealistically traverses the hub-office link after the public alert and shows no replanning despite the commuter preferring reliable detours."
detour_commute_midroute_block,generative_agents_official_planner,0.78,0.62,0.32,0.72,0.75,0.03,0.16,0.65,0.25,opaque rationale and duplicate move glitch,"The detour to park and library is a sensible recovery that reaches the office on time, but the repeated zero-progress move and generic reasons make the full trace less believable."
detour_commute_midroute_block,agentsociety_official_plan_blocks,0.74,0.62,0.83,0.68,0.667,0.073,0.12,0.3,0.333,passive waiting instead of rerouting,"Waiting at the hub until the blockage clears is understandable and still reaches the office on time, but it conflicts with the agent's stated preference for reliable detours and makes the overall commute feel less realistic than an immediate replan."
meeting_wait_trap,gatsim_official_planner,0.3,0.08,0.12,0.18,0.833,0.0,0.22,0.15,0.167,uncoordinated back-and-forth travel,"Going to plausible cafes is superficially reasonable, but repeatedly commuting without messaging Ben or staying to meet during the lunch window makes the overall behavior not believable as a real coordination attempt."
meeting_wait_trap,sotopia_official_llm_agent,0.72,0.12,0.38,0.22,1.0,0.0,0.6,0.55,0.0,message loop without moving,"The messages sound initially reasonable, but the agent spends the entire lunch setup window repeatedly texting from the office and never commits to travel or achieves the meeting coordination objective."
meeting_wait_trap,generative_agents_official_planner,0.68,0.31,0.22,0.62,0.667,0.013,0.37,0.35,0.333,unconfirmed cafe switching and waiting,"The actions look locally reasonable for a lunch meetup, but Aria leaves for one cafe before confirmation, switches late, and then mostly waits without achieving the narrow coordination goal."
meeting_wait_trap,agentsociety_official_plan_blocks,0.76,0.34,0.63,0.71,0.6,0.16,0.42,0.35,0.4,passive waiting without coordination resolution,"The early messages and cafe choice sound reasonable, but the trace devolves into repetitive waiting and late action that misses the narrow meeting window without actually securing co-presence."
school_pickup_social_detour,gatsim_official_planner,0.95,0.91,0.62,0.97,1.0,0.0,0.04,1.0,0.0,overly mechanical rationale,"Going straight from work to the school and completing pickup early is very plausible, but the stated reasons read like planner boilerplate rather than human urban reasoning."
school_pickup_social_detour,sotopia_official_llm_agent,0.82,0.76,0.58,0.88,1.0,0.0,0.06,0.55,0.0,premature stop without pickup action,"Going straight from work to the school is sensible, but ending the episode on arrival without explicitly completing pickup makes the behavior feel truncated and only partly aligned with the stated goal."
school_pickup_social_detour,generative_agents_official_planner,0.72,0.62,0.18,0.74,0.875,0.0,0.1,1.0,0.125,unmotivated detour to Ben's home,"The sequence still completes school pickup on time, but going to Ben's home instead of handling a brief local plaza encounter makes the social detour and stated rationale weakly grounded."
school_pickup_social_detour,agentsociety_official_plan_blocks,0.96,0.9,0.98,0.95,1.0,0.0,0.06,1.0,0.0,ignores social event entirely,"Going straight from work to the school and completing pickup early is highly plausible, though it does not engage with the possible friend detour at all."
