repeat_id,scenario_id,family,agent_type,goal_completion,trace_feasibility,intention_consistency,replanning_success,judge_face_plausibility,judge_trace_believability,face_believability_gap,impossible_trace_rate,done_state_loop_rate,social_derailment_rate,plan_plausibility,plausibility_feasibility_gap,travel_efficiency,budget_consistency,social_appropriateness,feasibility_violation,city_false_continue,face_feasibility_gap,judge_rationale_alignment,judge_urban_common_sense,failure_taxonomy,judge_main_issue,judge_brief_reason
1,avoid_crowd_event,preference_constraint,utility_planner,1.0,1.0,1.0,,0.78,0.58,0.2,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.7,0.72,{},missing groceries task,"Going to the park to exercise before the concert is plausible, but the trace ends immediately without attempting groceries and the completion reason overstates what was actually achieved."
1,avoid_crowd_event,preference_constraint,api_llm_direct_actor,1.0,1.0,1.0,,0.78,0.42,0.36,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.9,0.66,{},repetitive dwelling,"The initial choice to go to the park and avoid the plaza crowd is sensible, but the trace then loops in repeated dwell steps at the same park and never makes the grocery stop, which weakens overall behavioral realism."
1,avoid_crowd_event,preference_constraint,api_llm_plan_then_act,1.0,1.0,1.0,,0.74,0.7,0.04,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.88,0.77,{},budget exhaustion,"The sequence is locally sensible—shop first, then exercise in a calmer park—but ending with exactly zero budget makes the trace a bit contrived and slightly weakens overall believability."
1,avoid_crowd_event,preference_constraint,api_llm_reactive_replanner,1.0,1.0,1.0,,0.78,0.72,0.06,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.6,0.82,{},unearned completion,"Going to a park to exercise while avoiding a concert crowd is plausible, but the trace claims groceries were completed without any market visit, so the sequence feels incomplete and slightly over-assertive."
1,budget_errand_chain,budget_constraint,utility_planner,1.0,1.0,1.0,,0.94,0.93,0.01,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.98,0.96,{},none,"The agent follows a straightforward, budget-aware errand chain to the pharmacy, dinner, and home, and the sequence, timing, and remaining budget all fit ordinary city behavior."
1,budget_errand_chain,budget_constraint,api_llm_direct_actor,1.0,0.833,1.0,,0.78,0.39,0.39,0.167,1.0,0.0,1.0,0.167,0.699,1.0,,0.0,0.0,0.0,0.67,0.52,"{""done_state_loop"": 1}",repetitive backtracking,"The plan starts like a normal low-budget errand run, but it redundantly buys medicine twice in effect and then needlessly returns to the diner after already going home, which makes the full trace feel drifted and weakly goal-directed."
1,budget_errand_chain,budget_constraint,api_llm_plan_then_act,1.0,1.0,1.0,,0.98,0.97,0.01,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.99,0.98,{},none,"The sequence is a straightforward, well-paced errand chain that matches the persona, stays within budget, and returns home on time."
1,budget_errand_chain,budget_constraint,api_llm_reactive_replanner,1.0,1.0,1.0,,0.97,0.96,0.01,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.99,0.98,{},none,"The sequence is a straightforward, realistic evening errand chain: buy medicine, eat at an affordable diner, then return home before the deadline while staying within budget."
1,closed_poi_replacement,poi_closure,utility_planner,1.0,1.0,1.0,,0.92,0.89,0.03,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.98,0.94,{},slight timing mismatch,"Going to a bookstore as a quiet substitute, waiting for the closure event, and then doing a 60-minute focus session is a very plausible city behavior, with only a minor oddity in the pre-closure waiting and bookkeeping of time."
1,closed_poi_replacement,poi_closure,api_llm_direct_actor,1.0,1.0,1.0,,0.91,0.62,0.29,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.97,0.84,{},repetitive dwell looping,"The move to coworking and staying there is sensible, but the trace overstates the stay with repeated dwell actions that look like looped bookkeeping rather than natural behavior."
1,closed_poi_replacement,poi_closure,api_llm_plan_then_act,0.75,0.5,0.375,,0.98,0.97,0.01,0.5,0.0,0.0,1.0,0.5,1.0,1.0,,0.5,1.0,0.48,0.99,0.98,"{""closed_place_action"": 1}",none,"The agent makes a realistic fallback choice to a quiet cafe, stays long enough to work, and avoids the closed library, which fits the scenario well."
1,closed_poi_replacement,poi_closure,api_llm_reactive_replanner,1.0,1.0,1.0,,0.96,0.95,0.01,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.98,0.97,{},none,Aria sensibly reroutes to a quiet paid workspace after the library closure and completes a coherent 60-minute work session without any odd detours.
1,closed_study_spot_replacement,poi_closure,utility_planner,1.0,1.0,1.0,,0.96,0.95,0.01,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.98,0.97,{},none,"Aria plausibly switches to a nearby open quiet spot, works there for 50 minutes, and ends with remaining budget, with no contradictory behavior."
1,closed_study_spot_replacement,poi_closure,api_llm_direct_actor,1.0,1.0,1.0,,0.95,0.78,0.17,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.98,0.9,{},repetitive dwelling,"The agent sensibly reroutes from a closed library to a quiet bookstore and stays there to work, but the repeated back-to-back dwell actions feel somewhat redundant rather than like a natural single work block."
1,closed_study_spot_replacement,poi_closure,api_llm_plan_then_act,1.0,1.0,1.0,,0.97,0.95,0.02,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.99,0.96,{},none,"The agent sensibly switches to a nearby quiet bookstore, works for an adequate block, and avoids the closed library while staying within budget."
1,closed_study_spot_replacement,poi_closure,api_llm_reactive_replanner,1.0,1.0,1.0,,0.93,0.88,0.05,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.98,0.92,{},slight repetition,"The agent sensibly reroutes from a closed library to a quiet bookstore and stays long enough to work, with only minor redundant dwelling before finishing."
1,commute_disruption,disruption,utility_planner,0.5,0.0,0.0,0.0,0.78,0.42,0.36,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,0.0,0.78,0.86,0.58,"{""impossible_route"": 1}",ignores disruption context,"The agent’s move-to-office action is individually reasonable, but the trace skips any response to the transit delay and resolves the commute too cleanly for the scenario."
1,commute_disruption,disruption,api_llm_direct_actor,0.5,0.667,0.5,1.0,0.64,0.32,0.32,0.333,1.0,0.0,1.0,0.333,0.351,1.0,,0.0,0.0,0.0,0.78,0.41,"{""done_state_loop"": 1, ""goal_drift"": 1}",repetitive route oscillation,"The actions and explanations are locally reasonable around the transit delay, but the trace repeatedly shuttles home and hub without a clear plan, making the full commute behavior look implausible."
1,commute_disruption,disruption,api_llm_plan_then_act,1.0,1.0,1.0,1.0,0.95,0.96,0.0,0.0,0.0,0.0,1.0,0.0,0.634,1.0,,0.0,0.0,0.0,0.98,0.94,{},none,"The agent takes a sensible alternate route after the disruption, reaches the office well before the deadline, and the reasons match the actions and commute scenario."
1,commute_disruption,disruption,api_llm_reactive_replanner,0.5,0.0,0.0,0.0,0.74,0.62,0.12,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,0.0,0.74,0.86,0.71,"{""impossible_route"": 1}",underspecified route realism,"The commuter reaching the office early and then finishing is broadly plausible, but the trace skips the actual replanning behavior and relies on an unexplained direct move that may not fit the stated transit disruption context."
