scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
paired_commute_a,gatsim_official_planner,0.9,0.15,0.35,0.2,1.0,0.0,0.75,1.0,0.0,planner shortcut and premature finish,"The trace superficially resembles a commute to the office, but the reasons are generic planner meta-language, it jumps directly to the destination without a believable travel sequence, and it finishes immediately after arrival."
paired_commute_a,sotopia_official_llm_agent,0.93,0.95,0.98,0.92,1.0,0.0,0.0,0.45,0.0,none,"The commute is straightforward and feasible, ending at the office well before the deadline with no conflicting actions or impossible claims."
paired_commute_a,generative_agents_official_planner,0.86,0.54,0.18,0.82,1.0,0.0,0.32,1.0,0.0,adapter filler reasons,"The commute itself is plausible and reaches the office well before the deadline, but the repetitive generic reason text and lack of actual planning logic make the full trace feel mechanically generated rather than behaviorally convincing."
paired_commute_a,agentsociety_official_plan_blocks,0.96,0.93,0.98,0.95,1.0,0.0,0.03,0.45,0.0,none,"The commute is straightforward and feasible, the reasons match the movements, and the agent reaches the office well before the deadline without any odd detours or impossible claims."
paired_commute_b,gatsim_official_planner,0.56,0.18,0.14,0.33,0.857,0.0,0.38,0.75,0.143,planner-template drift,"The route sequence is superficially commute-like, but the repeated generic GATSim destination reasons and the odd park-library detour make it feel like template-driven behavior rather than a believable commuter response to the transit disruption."
paired_commute_b,sotopia_official_llm_agent,0.92,0.41,0.86,0.84,1.0,0.0,0.51,0.45,0.0,implausible transit_hub-to-office travel timing,"The plan is locally sensible for a disrupted commute, but the trace moves from transit_hub to office in a way that ignores the blocked link timing, so the overall sequence is only weakly believable."
paired_commute_b,generative_agents_official_planner,0.78,0.24,0.12,0.33,0.8,0.0,0.54,0.75,0.2,adapter-placeholder actions,"The commute outcome is plausible, but the trace reads like a generic adapter stub that ignores the disruption, so the full sequence does not resemble believable city behavior."
paired_commute_b,agentsociety_official_plan_blocks,0.83,0.41,0.78,0.72,0.6,0.23,0.42,0.75,0.4,redundant waiting after blockage clears,"The commute choice is locally reasonable and reaches the office on time, but the trace loses believability because it waits twice at the hub for no clear reason after the disruption already ends."
paired_pickup_a,gatsim_official_planner,0.24,0.08,0.12,0.18,1.0,0.0,0.16,1.0,0.0,scripted plan drift,"The trace reads like a generic scripted activity plan that ignores Aria’s pickup deadline and never performs the stated family responsibility, so it is only weakly believable as urban behavior."
paired_pickup_a,sotopia_official_llm_agent,0.84,0.18,0.22,0.27,1.0,0.0,0.66,0.5,0.0,premature stop before pickup,"Moving from office to the diner and then to school is locally plausible, but the trace ends immediately at the school without any pickup action, so the full behavior does not credibly satisfy the stated family responsibility."
