scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
closed_study_spot_replacement,utility_planner,0.96,0.95,0.98,0.97,1.0,0.0,0.01,1.0,0.0,none,"The agent reacts sensibly to the library closure, chooses a quiet nearby substitute, stays long enough to work, and finishes with a coherent budgeted outcome."
closed_study_spot_replacement,api_llm_direct_actor,0.92,0.68,0.97,0.82,1.0,0.0,0.24,1.0,0.0,repetitive dwell-loop,"The replacement choice and focus-block behavior are very plausible, but the repeated dwell extensions make the trace feel a bit looped and mechanically padded."
closed_study_spot_replacement,api_llm_plan_then_act,0.97,0.95,0.98,0.96,1.0,0.0,0.02,1.0,0.0,none,"Aria sensibly switches to a nearby quiet open venue, works there long enough, and stays within budget without ever entering the closed library."
closed_study_spot_replacement,api_llm_reactive_replanner,0.95,0.9,0.98,0.96,1.0,0.0,0.05,1.0,0.0,none,"The agent sensibly reroutes from a closed library to a quiet nearby bookstore, then stays long enough to work and leaves with budget remaining."
detour_commute_midroute_block,utility_planner,0.52,0.28,0.78,0.41,0.0,0.52,0.24,0.35,1.0,ignores mid-route disruption,"The trace is superficially a normal commute to the office, but it fails to engage with the service alert and the stated preference for reliable rerouting, making the full sequence feel implausible."
detour_commute_midroute_block,api_llm_direct_actor,0.74,0.16,0.87,0.22,0.875,0.0,0.58,0.65,0.125,route oscillation,"The detour rationale is reasonable at first, but the trace repeatedly shuttles between the same two locations without ever progressing toward the office."
detour_commute_midroute_block,api_llm_plan_then_act,0.92,0.95,0.96,0.94,0.75,0.17,0.0,0.85,0.25,none,"The agent takes a sensible detour, reacts compatibly with the disruption, and reaches the office well before the deadline without claiming an impossible shortcut."
detour_commute_midroute_block,api_llm_reactive_replanner,0.68,0.12,0.66,0.18,0.875,0.0,0.56,0.65,0.125,endless park-cafe looping,"The initial detour rationale is reasonable, but the trace devolves into repeated back-and-forth moves without reaching the office or showing coherent progress."
meeting_wait_trap,utility_planner,0.7,0.35,0.78,0.62,1.0,0.0,0.35,0.8,0.0,waits without confirming Ben,"The movement and waiting behavior is locally reasonable for a lunch meetup, but the trace never sends the confirmation message or actually establishes co-presence, so it looks like a plausible plan that drifts into a meeting-wait trap."
meeting_wait_trap,api_llm_direct_actor,0.82,0.26,0.95,0.31,1.0,0.0,0.56,0.55,0.0,repeated non-movement loop,"The messages and reasons are locally sensible for lunch coordination, but the trace keeps asking for the same confirmation and never leaves the office or reaches the meeting window."
meeting_wait_trap,api_llm_plan_then_act,0.84,0.56,0.88,0.72,1.0,0.0,0.28,1.0,0.0,waits before confirmation,"The plan sounds like a reasonable lunch coordination attempt, but it moves to a cafe and waits without evidence Ben agreed, so the full trace only partially achieves the meeting objective."
meeting_wait_trap,api_llm_reactive_replanner,0.84,0.41,0.9,0.72,1.0,0.0,0.43,0.55,0.0,message loop without meeting,"The actions sound reasonable at first as lunch coordination, but the trace degenerates into repeated confirmation messages and never actually achieves co-presence within the meeting window."
school_pickup_social_detour,utility_planner,0.72,0.28,0.66,0.34,0.0,0.72,0.44,0.8,1.0,skips social detour logic,"The agent’s move to school is locally sensible, but it ignores the scenario’s social temptation and the timing pressure, making the short trace feel under-modeled rather than like a realistic commute-and-pickup decision."
school_pickup_social_detour,api_llm_direct_actor,0.94,0.78,0.88,0.72,0.5,0.44,0.16,0.8,0.5,odd back-and-forth routing,"The priority on school pickup and refusal of the social detour are believable, but the unnecessary school-to-diner-to-school loop weakens the full trace."
school_pickup_social_detour,api_llm_plan_then_act,0.95,0.9,0.98,0.93,1.0,0.0,0.05,0.8,0.0,minor timing simplification,"The sequence is a very plausible caregiver detour: Aria sets a boundary, allows a brief social stop, then reaches school before the deadline."
school_pickup_social_detour,api_llm_reactive_replanner,0.93,0.97,0.98,0.96,0.0,0.93,0.0,0.8,1.0,none,"The agent makes a straightforward, time-aware trip to school and correctly treats the social detour as optional, which fits the caregiver scenario well."
