scenario_id,family,agent_type,plan_plausibility,trace_feasibility,plausibility_feasibility_gap,impossible_trace_rate,city_false_continue,goal_completion,task_completion,constraint_satisfaction,process_success,feasibility_violation,replanning_success,travel_efficiency,budget_consistency,intention_consistency,social_appropriateness,done_state_loop_rate,social_derailment_rate,final_time,final_location,final_budget,violations,failure_taxonomy,llm_calls,llm_latency_seconds,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_usage_complete
hard_budget_entangled_meet,social_outcome_hard,api_llm_react_tool_policy,1.0,0.889,0.111,0.111,0.0,0.7,0.769,0.571,,0.111,,1.0,1.0,0.622,1.0,1.0,1.0,18:26,home_aria,1.0,1,"{""done_state_loop"": 1, ""invalid_state_transition"": 1, ""social_derailment"": 1}",10,75.58,37821,1304,39125,True
hard_budget_entangled_meet,social_outcome_hard,api_llm_plan_and_execute,1.0,0.9,0.1,0.1,0.0,0.6,0.615,0.571,,0.1,,1.0,1.0,0.54,0.0,0.0,0.0,18:22,home_aria,1.0,1,"{""invalid_state_transition"": 1}",1,21.323,2093,761,2854,True
hard_deadline_then_meet,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,13:05,quiet_cafe,2.0,0,{},9,51.631,31990,812,32802,True
hard_deadline_then_meet,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,13:14,quiet_cafe,2.0,0,{},1,19.247,2189,741,2930,True
hard_full_evening_chain,social_outcome_hard,api_llm_react_tool_policy,1.0,0.9,0.1,0.1,1.0,0.55,0.786,0.0,,0.1,,1.0,0.0,0.495,1.0,0.0,1.0,18:28,home_aria,-2.0,1,"{""money_budget_failure"": 1, ""social_derailment"": 1}",11,80.348,42073,1269,43342,True
hard_full_evening_chain,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,18:18,home_aria,4.0,0,{},1,19.811,2027,782,2809,True
hard_overlapping_windows,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,0.7,0.5,1.0,,0.0,,1.0,1.0,0.7,0.5,0.0,1.0,13:03,cafe_central,6.0,0,"{""goal_drift"": 1, ""social_derailment"": 1}",8,53.674,26860,820,27680,True
hard_overlapping_windows,social_outcome_hard,api_llm_plan_and_execute,1.0,0.889,0.111,0.111,0.0,0.5,0.5,0.5,,0.111,,1.0,1.0,0.444,0.5,0.0,1.0,13:13,cafe_central,6.0,1,"{""invalid_state_transition"": 1, ""social_derailment"": 1}",1,17.856,2098,633,2731,True
hard_stale_plan_override,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:34,quiet_cafe,6.0,0,{},6,36.382,19226,639,19865,True
hard_stale_plan_override,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:38,quiet_cafe,6.0,0,{},1,12.043,1965,529,2494,True
hard_three_meeting_relay,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,13:20,budget_diner,1.0,0,{},14,78.296,53600,1131,54731,True
hard_three_meeting_relay,social_outcome_hard,api_llm_plan_and_execute,1.0,0.929,0.071,0.071,0.0,0.6,0.667,0.5,,0.071,,1.0,1.0,0.557,0.667,0.0,1.0,13:18,budget_diner,1.0,1,"{""invalid_state_transition"": 1, ""social_derailment"": 1}",1,28.591,2492,1078,3570,True
