scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
closed_study_spot_replacement,gatsim_official_planner,0.74,0.32,0.41,0.58,1.0,0.0,0.42,1.0,0.0,planner-script drift,"Starting at a bookstore instead of the closed library is plausible, and the 50-minute dwell fits the goal, but the later plaza detour and finish read like an ungrounded scripted sequence rather than ordinary city behavior."
closed_study_spot_replacement,sotopia_official_llm_agent,0.78,0.44,0.32,0.71,0.6,0.18,0.34,0.7,0.4,unjustified closed-library entry,"The replacement choice is plausible, but the trace starts by moving to the closed library and later includes a redundant bookstore enter/dwell sequence that weakens the overall behavior."
closed_study_spot_replacement,generative_agents_official_planner,0.86,0.62,0.18,0.84,0.571,0.289,0.24,0.7,0.429,generic adapter reasons,"The movement to a bookstore then coworking is a plausible replacement for a closed library, but the trace does not actually express the agent’s stated reasoning and the final focus block is split across two dwell actions."
closed_study_spot_replacement,agentsociety_official_plan_blocks,0.93,0.74,0.98,0.9,0.5,0.43,0.19,0.7,0.5,late venue switch and redundant steps,"The actions read like a reasonable city fallback from a closed library to nearby quiet work spots, though the sequence is a bit inefficient and drifts by adding a second venue after already completing the main work block."
detour_commute_midroute_block,gatsim_official_planner,0.74,0.28,0.18,0.31,1.0,0.0,0.46,0.8,0.0,template-like route drift,"The commute path is superficially plausible, but the reasons are generic and the sequence ignores the disruption logic, with an odd park detour that feels scripted rather than like a realistic replan."
detour_commute_midroute_block,sotopia_official_llm_agent,0.45,0.18,0.1,0.4,1.0,0.0,0.27,0.65,0.0,ignores service alert and uses blocked route,"The commute is superficially normal, but the trace has Aria reach the office through the transit hub after the alert that blocks that edge, so the full behavior does not read as a believable disruption response."
detour_commute_midroute_block,generative_agents_official_planner,0.18,0.12,0.02,0.15,0.875,0.0,0.06,0.5,0.125,adapter-like nonsensical routing,The trace reads like a generic adapter dump with repetitive 'official adapter action' reasons and a physically dubious route that appears to ignore the scenario's blocked hub-to-office edge.
detour_commute_midroute_block,agentsociety_official_plan_blocks,0.96,0.42,0.85,0.58,0.75,0.21,0.54,0.85,0.25,route ignored after alert,"The commuter response sounds reasonable at a surface level, but the trace still moves from the blocked transit hub to the office without a believable alternate path, so the full sequence feels weak despite decent local reasoning."
meeting_wait_trap,gatsim_official_planner,0.12,0.02,0.15,0.08,1.0,0.0,0.1,0.35,0.0,no actual action taken,"The trace stops immediately with no movement, message, or meeting attempt, so it does not resemble a believable lunch coordination sequence."
meeting_wait_trap,sotopia_official_llm_agent,0.82,0.28,0.74,0.63,1.0,0.0,0.54,0.55,0.0,repetitive message loop,"The plan to confirm Ben’s lunch spot and head to a cafe is locally reasonable, but the trace gets stuck sending nearly identical messages instead of converging on a meeting or choosing a fallback."
meeting_wait_trap,generative_agents_official_planner,0.78,0.41,0.72,0.64,0.556,0.224,0.37,0.35,0.444,coordination drift and waiting trap,"The actions sound like a reasonable lunch coordination attempt at first, but the trace drifts into repeated waiting and a late move that misses the narrow meeting window, so the full behavior is only moderately believable."
meeting_wait_trap,agentsociety_official_plan_blocks,0.85,0.36,0.83,0.72,0.571,0.279,0.49,0.35,0.429,repeated waiting without coordination,"The plan sounds locally realistic for a lunch meetup, but the trace spends too long dwelling and re-messaging at the cafe instead of actually adapting to Ben's response or changing location, so the overall behavior looks stalled."
school_pickup_social_detour,gatsim_official_planner,0.18,0.05,0.12,0.14,1.0,0.0,0.13,1.0,0.0,scripted planner drift,"The trace reads like a generic GATSim script that ignores the school-pickup deadline and the social detour, then ends at home instead of handling the stated caregiving task."
school_pickup_social_detour,sotopia_official_llm_agent,0.92,0.42,0.95,0.61,0.667,0.253,0.5,0.55,0.333,unused social detour,"The move to school and immediate pickup are locally sensible, but the trace ignores the tempting friend detour and ends unusually early without any social choice or rush-hour tradeoff."
school_pickup_social_detour,generative_agents_official_planner,0.91,0.28,0.67,0.88,0.8,0.11,0.63,1.0,0.2,adapter-like nonbehavioral trace,"The sequence of going to school and completing pickup is locally sensible, but the repeated generic adapter actions, zero-minute move, and early termination make the full trace look like a placeholder rather than believable city behavior."
school_pickup_social_detour,agentsociety_official_plan_blocks,0.97,0.93,0.98,0.95,1.0,0.0,0.04,1.0,0.0,none,"The agent promptly prioritizes school pickup, reaches school well before the deadline, and the stated reasons match the actions without any unrealistic detour or commitment drift."
