paper_id,title,abstract,year,venue,url,doi,authors,source_families,final_status,corpus_tier,exclusion_reason,notes
url-eb08f4e51d,Space Syntax Based Agent Simulation,"Space syntax derives from a set of analytic measures of configuration&#13;\nthat have been shown to correlate well with how people move through&#13;\nand use buildings and urban environments. Space syntax represents the&#13;\nopen space of an environment in terms of the intervisibility of points in&#13;\nspace. The measures are thus purely configurational, and take no&#13;\naccount of attractors, nor do they make any assumptions about origins&#13;\nand destinations or path planning. Space syntax has found that, despite&#13;\nmany proposed higher-level cognitive models, there appears to be a&#13;\nfundamental process that informs human and social usage of an&#13;\nenvironment. In this paper we describe an exosomatic visual&#13;\narchitecture, based on space syntax visibility graphs, giving many&#13;\nagents simultaneous access to the same pre-processed information about&#13;\nthe configuration of a space layout. Results of experiments in a&#13;\nsimulated retail environment show that a surprisingly simple ‘random&#13;\nnext step’ based rule outperforms a more complex ‘destination based’&#13;\nrule in reproducing observed human movement behaviour. We conclude&#13;\nthat the effects of spatial configuration on movement patterns that space&#13;\nsyntax studies have found are consistent with a model of individual&#13;\ndecision behaviour based on the spatial affordances offered by the&#13;\nmorphology of the local visual field.",2002,http://eprints.ucl.ac.uk/2027/1/penn.pdf,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.117.1206,,Alan Penn; A. Turner,phase1_a_openalex_2026-04-13,,,,
url-289bf901b7,Assisted Agent-Based Simulations: Fusing non-player character movement with Space Syntax,"Agent-based simulation is one of the core tools of spatial analysis utilised to provide an understanding of space when complex parameters come into play, such as how the visible space changes while traversing a building, or what happens when there is a destination to be reached. This type of simulation has a lot in common with techniques used in video games to create movement trajectories for non-player characters. Although these techniques have been developed over the years to provide more realistic and more “human-like” behaviour, they are rarely woven back into analytical and simulation tools. As a first step to remedy that, we developed a new methodology that fuses non-player character movement from computer games with simulation techniques traditionally used for agent-based analysis in Space Syntax. This first attempt utilises a different type of underlying representation of space, known as a navigation mesh. We first examine in detail two traditional techniques utilised in depthmapX agent-based analysis and highlight their strengths and limitations. We then describe how this technique differs from the classic space syntax methods, as well as how it can be combined to create hybrid analytical models of movement. The hybrid model developed in this case is that of a classic space syntax agent assisted by the aforementioned technique. We then tested and evaluated the traditional and new models for their capacity to explore two gallery spaces. The results extracted from the new hybrid simulation model depict agents with more capacity to explore, a significant addition to the traditional space syntax agent based methods.",2017,UCL Discovery (University College London),https://discovery.ucl.ac.uk/id/eprint/1571698/,,Petros Koutsolampros; Tasos Varoudis,phase1_a_openalex_2026-04-13,,,,
doi-ed8efead26,Integration of Space Syntax into Agent-Based Pedestrian Simulation in Urban Open Space,"MAS can be utilized to analyse macro rules of whole system by simulating a number of active agents. However, simply based on the parameter of specific environment quality and incomplete statistical setting of individual, models of pedestrian traffic in realistic open space have often been imperfect, because the behaviour of people cannot be rationally reflected to the complex characteristic of space. Space Syntax Theory breaks down the space into components and measures each with the straight sight-line of individuals, which can help analyse and quantify pedestrian flow in complicated real-life environment. In this situation, we make an attempt to combine these two in our research, in order to simulate the moving of pedestrian closer to reality. In this paper, Gulou Square, an urban open space close to centre of the city with a large flow of people, is selected as the study site. The results after plenty of simulations and contrast tests can be concluded that with the assistance of Space Syntax Theory, MAS can be more functional solving the problems in sophisticated real-life environment.",2017,Proceedings of the International Conference on Computer-Aided Architectural Design Research in Asia,https://doi.org/10.52842/conf.caadria.2017.325,10.52842/conf.caadria.2017.325,Haojie Hu; Zixuan Luo; Yingnan Chen; Qiuyi Bian; Ziyu Tong,phase1_a_openalex_2026-04-13,,,,
doi-34e23b2d76,The impact of crowds on visibility in emergency department: Integrating agent-based simulation and space syntax analysis,"Emergency departments (EDs) are among the busiest hospital units, where visibility is crucial for surveillance, collaboration, and wayfinding. In China, high ED patient volumes lead to crowded corridors, significantly impacting visibility. However, current visibility assessment methods focus on static obstructions such as walls and columns, neglecting crowd obstruction, and underestimating visual impediments.To address this research gap, this study proposes a novel visibility assessment method combining agent-based simulation and space syntax analysis. Based on peak-hour behavioral data from Hospital R's ED, crowd movement was simulated across six ED plans with different corridor layouts. The simulated crowd positions were then treated as visual obstacles, and space syntax theory was applied to evaluate visibility under crowd obstruction at various timesteps. The findings reveal that: 1) ring corridor layouts reduce patient backtracking and corridor congestion; 2) ring corridor layouts facilitate better natural surveillance of the overall space by medical staff with crowd obstruction considered; 3) ring corridor layouts enable medical staff to see each other more easily, supporting team collaboration, regardless of crowd obstruction; 4) simple layouts perform best in terms of wayfinding, irrespective of crowd obstruction. This study presents the first comprehensive quantitative assessment of ED visibility under crowd obstruction, with potential applications in other crowded public spaces.",2025,Frontiers of Architectural Research,https://doi.org/10.1016/j.foar.2025.01.007,10.1016/j.foar.2025.01.007,Yuan Hao; Ying Zhou,phase1_a_openalex_2026-04-13,,,,
doi-fa9db076c3,Simulation to forecast crime patterns: Comparing space syntax and agent-based models in exploring pedestrian movement and visibility,"Space Syntax comprises a set of techniques that emphasize both material and immaterial characteristics of urban space. However, its inherent lack of a time component and land-use variables limits its effectiveness in investigating crime dynamics at the micro-urban scale. On the other hand, ABMs are simulations of interacting agents capable of perceiving their environment, influencing each other, and making autonomous decisions without central control, whose behaviour depends on time and environmental components. Nonetheless, ABMs face challenges in terms of the required amount of input data and model transparency, as well as regards the matter of validation. Despite being based on different modelling approaches – embodying the top–down versus bottom–up contraposition – both Space Syntax and ABMs can qualitatively and quantitatively analyse crucial components for crime analysis, such as flows, copresence, and visibility, deemed key aspects underlying the crime opportunity concept. This paper establishes a bridge between Space Syntax and ABM through the study of crime in urban settings, scrutinising the fundamental metrics that can significantly contribute to the identification of high-risk locations – specifically, pedestrian flow and visibility. It presents two new models, respectively, using Space Syntax methods and ABM, applied to two separate case studies in the historic city centre of Pisa, Italy. It has three objectives: first, to compare the diverse outcomes the distinct approaches provide in terms of people flow and visibility estimation in the built environment; second, to discuss their potential in forecasting risky areas; and, lastly, to propose an integration between Space Syntax metrics for movement within ABMs as parameters to guide agents’ movement. In essence, this study proposes a methodology oriented towards creating a model capable of simulating the relations between people’s behaviour, urban configuration, environmental conditions, and crime distribution, thereby representing a useful decision-support tool for crime prevention purposes and for broadly exploring and modelling pedestrian behaviour.",2025,Environment and Planning B Urban Analytics and City Science,https://doi.org/10.1177/23998083251324065,10.1177/23998083251324065,Federico Mara; Diego Altafini; Valerio Cutini; Nick Malleson,phase1_a_openalex_2026-04-13,,,,
doi-b91639a733,Array programming with NumPy,"Array programming provides a powerful, compact and expressive syntax for accessing, manipulating and operating on data in vectors, matrices and higher-dimensional arrays. NumPy is the primary array programming library for the Python language. It has an essential role in research analysis pipelines in fields as diverse as physics, chemistry, astronomy, geoscience, biology, psychology, materials science, engineering, finance and economics. For example, in astronomy, NumPy was an important part of the software stack used in the discovery of gravitational waves<sup>1</sup> and in the first imaging of a black hole<sup>2</sup>. Here we review how a few fundamental array concepts lead to a simple and powerful programming paradigm for organizing, exploring and analysing scientific data. NumPy is the foundation upon which the scientific Python ecosystem is constructed. It is so pervasive that several projects, targeting audiences with specialized needs, have developed their own NumPy-like interfaces and array objects. Owing to its central position in the ecosystem, NumPy increasingly acts as an interoperability layer between such array computation libraries and, together with its application programming interface (API), provides a flexible framework to support the next decade of scientific and industrial analysis.",2020,Nature,https://doi.org/10.1038/s41586-020-2649-2,10.1038/s41586-020-2649-2,Charles R. Harris; K. Jarrod Millman; Stéfan J. van der Walt; Ralf Gommers; Pauli Virtanen; David Cournapeau; Eric Wieser; Julian Taylor; Sebastian Berg; Nathaniel J. Smith; Robert Kern; Matti Picus; Stephan Hoyer; Marten H. van Kerkwijk; Matthew Brett; Allan Haldane; Jaime Fernández del Río; Mark Wiebe; Pearu Peterson; Pierre Gérard-Marchant; Kevin Sheppard; Tyler Reddy; Warren Weckesser; Hameer Abbasi; Christoph Gohlke; Travis E. Oliphant,phase1_a_openalex_2026-04-13,,,,
url-64251b473c,Array programming with NumPy,"Array programming provides a powerful, compact and expressive syntax for accessing, manipulating and operating on data in vectors, matrices and higher-dimensional arrays. NumPy is the primary array programming library for the Python language. It has an essential role in research analysis pipelines in fields as diverse as physics, chemistry, astronomy, geoscience, biology, psychology, materials science, engineering, finance and economics. For example, in astronomy, NumPy was an important part of the software stack used in the discovery of gravitational waves1 and in the first imaging of a black hole2. Here we review how a few fundamental array concepts lead to a simple and powerful programming paradigm for organizing, exploring and analysing scientific data. NumPy is the foundation upon which the scientific Python ecosystem is constructed. It is so pervasive that several projects, targeting audiences with specialized needs, have developed their own NumPy-like interfaces and array objects. Owing to its central position in the ecosystem, NumPy increasingly acts as an interoperability layer between such array computation libraries and, together with its application programming interface (API), provides a flexible framework to support the next decade of scientific and industrial analysis.",2020,TUScholarShare (Temple University),http://hdl.handle.net/20.500.12613/5102,,"Harris, CR; Millman, KJ; van der Walt, SJ; Gommers, R; Virtanen, P; Cournapeau, D; Wieser, E; Taylor, J; Berg, S; Smith, NJ; Kern, R; Picus, M; Hoyer, S; van Kerkwijk, MH; Brett, M; Haldane, A; del Río, JF; Wiebe, M; Peterson, P; Gérard-Marchant, P; Sheppard, K; Reddy, T; Weckesser, W; Abbasi, H; Gohlke, C; Oliphant, TE",phase1_a_openalex_2026-04-13,,,,
doi-9f5e1c0657,Evacuation Behaviour Prediction Through Space Syntax-Based Agent Simulation at Sentra Tahu Cibuntu Bandung,"Abstract The development of the theory of spatial syntax is currently being employed in a number of different contexts, including the creation of evacuation plans. In order to predict the movement and utilisation of individuals within buildings and urban environments, space syntax derives a set of analytical measures pertaining to the configuration of streets. In this research, space syntax theory is employed as the foundation for simulating agents in the context of fire evacuation and wayfinding in segregated spaces in informal settlements that evolve spontaneously and incrementally. The research sample was the Sentra Tahu Cibuntu (Cibuntu Tofu Center). This is an informal settlement with an unplanned spatial configuration. The method employed is a space syntax-based agent simulation utilising DepthMapX 0.8 software in the most segregated area. The objective is to predict evacuation pathways in areas susceptible to natural disasters, crime, and health-related hazards. The findings demonstrate that residents consistently gravitate towards open areas. In this context, open spaces emerge as generators of human movement based on their visual perspective.",2025,IOP Conference Series Earth and Environmental Science,https://doi.org/10.1088/1755-1315/1459/1/012010,10.1088/1755-1315/1459/1/012010,Dwi Kustianingrum; Ratu Sonya Mentari Haerdy,phase1_a_openalex_2026-04-13,,,,
url-90e9e0fa40,Space syntax and spatial cognition: or why the axial line?,"Space syntax research has found that spatial configuration alone, represented and measured ina specific manner, explains a substantial proportion of the variance between aggregate humanmovement rates in different locations in both urban and building interior space. Althoughit seems possible to explain ""how"" people move on the basis of these analyses, thequestion of ""why"" they move this way has always seemed problematic since the analysiscontains no explicit representations of either motivations or individual cognition. One possibleexplanation for the predictive power of the method is that the way people understandtheir environment and decide on movement behaviours is somehow implicitly embedded inspace syntax analysis. This paper explores the contribution made by space syntax theories andresearch to our understanding of environmental cognition, and addresses the question ofwhy the axial representation is so empirically successful. On the basis of a review of some ofthe relevant findings of space syntax research, it proposes that ""cognitive space"", defined asthat space which supports our understanding of configurations more extensive than ourcurrent visual field, is not a metric space, but topological or pre-topological in nature. Ahypothetical process for deriving a non-metric space from the metric visibility graph involvingexploratory movement is developed. The resulting space is shown to closely resemble theaxial graph. Recent research using simulation agents with vision confirms that axial movementpatterns follow from a simple random movement rule combined with a forward facingvisual field. It is argued that the social effects of spatial configuration in structuring communicationand transaction between individuals is based on co-presence in space, and that copresenceis determined by the local visual field and the way that configuration brings movementroutes through that field, are thus largely exosomatic in nature.",2001,UCL Discovery (University College London),https://discovery.ucl.ac.uk/id/eprint/3419/,,Alan Penn,phase1_a_openalex_2026-04-13,,,,
doi-618f7ef30e,Agent-based simulation of human movement shaped by the underlying street structure,"Relying on random and purposive moving agents, we simulated human movement in large street networks. We found that aggregate flow, assigned to individual streets, is mainly shaped by the underlying street structure, and that human moving behavior (either random or purposive) has little effect on the aggregate flow. This finding implies that given a street network, the movement patterns generated by purposive walkers (mostly human beings) and by random walkers are the same. Based on the simulation and correlation analysis, we further found that the closeness centrality is not a good indicator for human movement, in contrast to a long-standing view held by space syntax researchers. Instead we suggest that Google's PageRank and its modified version (weighted PageRank), betweenness and degree centralities are all better indicators for predicting aggregate flow.",2011,International Journal of Geographical Information Systems,https://doi.org/10.1080/13658811003712864,10.1080/13658811003712864,Bin Jiang; Tao Jia,phase1_a_openalex_2026-04-13,,,,
