repeat_id,scenario_id,family,agent_type,task_completion,goal_completion,trace_feasibility,intention_consistency,replanning_success,judge_face_plausibility,judge_trace_believability,face_believability_gap,impossible_trace_rate,done_state_loop_rate,social_derailment_rate,constraint_satisfaction,process_success,plan_plausibility,plausibility_feasibility_gap,travel_efficiency,budget_consistency,social_appropriateness,feasibility_violation,city_false_continue,face_feasibility_gap,route_interruption_count,verified_replan_count,llm_calls,llm_latency_seconds,llm_total_tokens,judge_rationale_alignment,judge_urban_common_sense,failure_taxonomy,judge_main_issue,judge_brief_reason
1,paired_commute_a,paired_disruption,gatsim_official_planner,1.0,1.0,1.0,1.0,,0.9,0.15,0.75,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0,0,1,15.992,9090,0.35,0.2,{},planner shortcut and premature finish,"The trace superficially resembles a commute to the office, but the reasons are generic planner meta-language, it jumps directly to the destination without a believable travel sequence, and it finishes immediately after arrival."
1,paired_commute_a,paired_disruption,sotopia_official_llm_agent,0.0,0.45,1.0,0.45,,0.93,0.95,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0,0,3,48.348,20223,0.98,0.92,"{""goal_drift"": 1}",none,"The commute is straightforward and feasible, ending at the office well before the deadline with no conflicting actions or impossible claims."
1,paired_commute_a,paired_disruption,generative_agents_official_planner,1.0,1.0,1.0,1.0,,0.86,0.54,0.32,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0,0,1,11.341,6697,0.18,0.82,{},adapter filler reasons,"The commute itself is plausible and reaches the office well before the deadline, but the repetitive generic reason text and lack of actual planning logic make the full trace feel mechanically generated rather than behaviorally convincing."
1,paired_commute_a,paired_disruption,agentsociety_official_plan_blocks,0.0,0.45,1.0,0.45,,0.96,0.93,0.03,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0,0,2,24.514,13797,0.98,0.95,"{""goal_drift"": 1}",none,"The commute is straightforward and feasible, the reasons match the movements, and the agent reaches the office well before the deadline without any odd detours or impossible claims."
1,paired_commute_b,paired_disruption,gatsim_official_planner,1.0,0.75,0.857,0.643,,0.56,0.18,0.38,0.143,0.0,0.0,0.444,,1.0,0.143,0.4,1.0,,0.143,1.0,0.0,0,0,3,240.482,28319,0.14,0.33,"{""closed_place_action"": 1}",planner-template drift,"The route sequence is superficially commute-like, but the repeated generic GATSim destination reasons and the odd park-library detour make it feel like template-driven behavior rather than a believable commuter response to the transit disruption."
1,paired_commute_b,paired_disruption,sotopia_official_llm_agent,0.0,0.45,1.0,0.45,,0.92,0.41,0.51,0.0,0.0,0.0,1.0,,1.0,0.0,0.867,1.0,,0.0,0.0,0.0,0,1,3,44.602,20410,0.86,0.84,"{""goal_drift"": 1}",implausible transit_hub-to-office travel timing,"The plan is locally sensible for a disrupted commute, but the trace moves from transit_hub to office in a way that ignores the blocked link timing, so the overall sequence is only weakly believable."
1,paired_commute_b,paired_disruption,generative_agents_official_planner,1.0,0.75,0.8,0.6,,0.78,0.24,0.54,0.2,0.0,0.0,0.444,,1.0,0.2,1.0,1.0,,0.2,0.0,0.0,0,0,5,87.481,30061,0.12,0.33,"{""invalid_state_transition"": 1}",adapter-placeholder actions,"The commute outcome is plausible, but the trace reads like a generic adapter stub that ignores the disruption, so the full sequence does not resemble believable city behavior."
1,paired_commute_b,paired_disruption,agentsociety_official_plan_blocks,1.0,0.75,0.6,0.45,,0.83,0.41,0.42,0.4,0.0,0.0,0.444,,1.0,0.4,1.0,1.0,,0.4,0.0,0.23,0,0,8,84.255,56415,0.78,0.72,"{""invalid_state_transition"": 2}",redundant waiting after blockage clears,"The commute choice is locally reasonable and reaches the office on time, but the trace loses believability because it waits twice at the hub for no clear reason after the disruption already ends."
1,paired_pickup_a,paired_disruption,gatsim_official_planner,1.0,1.0,1.0,1.0,,0.24,0.08,0.16,0.0,0.0,0.0,1.0,,1.0,0.0,0.406,1.0,1.0,0.0,0.0,0.0,0,0,1,21.986,9307,0.12,0.18,{},scripted plan drift,"The trace reads like a generic scripted activity plan that ignores Aria’s pickup deadline and never performs the stated family responsibility, so it is only weakly believable as urban behavior."
1,paired_pickup_a,paired_disruption,sotopia_official_llm_agent,0.0,0.5,1.0,0.5,,0.84,0.18,0.66,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,3,9.163,20577,0.22,0.27,"{""goal_drift"": 1}",premature stop before pickup,"Moving from office to the diner and then to school is locally plausible, but the trace ends immediately at the school without any pickup action, so the full behavior does not credibly satisfy the stated family responsibility."
