scenario_id,family,agent_type,plan_plausibility,trace_feasibility,plausibility_feasibility_gap,impossible_trace_rate,city_false_continue,goal_completion,task_completion,constraint_satisfaction,process_success,feasibility_violation,replanning_success,travel_efficiency,budget_consistency,intention_consistency,social_appropriateness,done_state_loop_rate,social_derailment_rate,final_time,final_location,final_budget,violations,failure_taxonomy,llm_calls,llm_latency_seconds,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_usage_complete
hard_budget_entangled_meet,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,0.85,0.769,1.0,,0.0,,1.0,1.0,0.85,1.0,0.0,1.0,18:05,quiet_cafe,1.0,0,"{""social_derailment"": 1}",9,47.78,77220,578,77798,True
hard_budget_entangled_meet,social_outcome_hard,api_llm_plan_and_execute,1.0,0.778,0.222,0.222,1.0,0.45,0.385,0.571,,0.222,,1.0,1.0,0.35,0.0,0.0,0.0,18:57,home_aria,1.0,2,"{""invalid_state_transition"": 1, ""time_budget_failure"": 1}",1,9.144,7087,423,7510,True
hard_deadline_then_meet,social_outcome_hard,api_llm_react_tool_policy,1.0,0.9,0.1,0.1,0.0,0.5,0.5,0.5,,0.1,,1.0,1.0,0.45,0.0,1.0,1.0,13:16,quiet_cafe,2.0,1,"{""done_state_loop"": 1, ""invalid_state_transition"": 1, ""social_derailment"": 1}",10,137.134,86121,673,86794,True
hard_deadline_then_meet,social_outcome_hard,api_llm_plan_and_execute,1.0,0.857,0.143,0.143,0.0,0.5,0.5,0.5,,0.143,,1.0,1.0,0.429,0.0,0.0,0.0,13:46,quiet_cafe,2.0,1,"{""time_budget_failure"": 1}",1,11.724,7179,377,7556,True
hard_full_evening_chain,social_outcome_hard,api_llm_react_tool_policy,0.909,0.727,0.182,0.273,1.0,0.55,0.786,0.0,,0.273,,1.0,0.0,0.4,1.0,1.0,1.0,18:03,budget_diner,-2.0,3,"{""done_state_loop"": 1, ""invalid_state_transition"": 1, ""money_budget_failure"": 1, ""plausible_but_invalid_rationale"": 1, ""social_derailment"": 1}",12,57.958,106546,956,107502,True
hard_full_evening_chain,social_outcome_hard,api_llm_plan_and_execute,1.0,0.875,0.125,0.125,0.0,0.7,0.786,0.5,,0.125,,1.0,1.0,0.612,1.0,0.0,1.0,18:15,home_aria,18.0,1,"{""invalid_state_transition"": 1, ""social_derailment"": 1}",1,9.075,7023,376,7399,True
hard_overlapping_windows,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,0.7,0.5,1.0,,0.0,,1.0,1.0,0.7,0.5,0.0,1.0,13:03,cafe_central,6.0,0,"{""goal_drift"": 1, ""social_derailment"": 1}",8,51.16,66445,567,67012,True
hard_overlapping_windows,social_outcome_hard,api_llm_plan_and_execute,1.0,0.875,0.125,0.125,0.0,0.5,0.5,0.5,,0.125,,1.0,1.0,0.438,0.5,0.0,1.0,13:23,cafe_central,6.0,1,"{""social_derailment"": 1, ""time_budget_failure"": 1}",1,8.812,7099,403,7502,True
hard_stale_plan_override,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:34,quiet_cafe,6.0,0,{},6,74.191,48866,387,49253,True
hard_stale_plan_override,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,0.6,0.333,1.0,,0.0,,1.0,1.0,0.6,0.5,0.0,1.0,12:54,quiet_cafe,6.0,0,"{""goal_drift"": 1, ""social_derailment"": 1}",1,7.397,6964,300,7264,True
hard_three_meeting_relay,social_outcome_hard,api_llm_react_tool_policy,1.0,0.929,0.071,0.071,0.0,0.8,1.0,0.5,,0.071,,1.0,1.0,0.743,1.0,0.0,0.0,13:20,budget_diner,1.0,1,"{""invalid_state_transition"": 1}",14,84.849,123576,925,124501,True
hard_three_meeting_relay,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,0.8,0.667,1.0,,0.0,,1.0,1.0,0.8,0.667,0.0,1.0,13:22,budget_diner,1.0,0,"{""social_derailment"": 1}",1,15.664,7484,587,8071,True
