repeat_id,scenario_id,family,agent_type,task_completion,goal_completion,trace_feasibility,intention_consistency,replanning_success,judge_face_plausibility,judge_trace_believability,face_believability_gap,impossible_trace_rate,done_state_loop_rate,social_derailment_rate,constraint_satisfaction,process_success,plan_plausibility,plausibility_feasibility_gap,travel_efficiency,budget_consistency,social_appropriateness,feasibility_violation,city_false_continue,face_feasibility_gap,route_interruption_count,verified_replan_count,llm_calls,llm_latency_seconds,llm_total_tokens,judge_rationale_alignment,judge_urban_common_sense,failure_taxonomy,judge_main_issue,judge_brief_reason
1,paired_study_a,paired_disruption,gatsim_official_planner,1.0,1.0,1.0,1.0,,0.9,0.82,0.08,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0,0,1,10.107,9170,0.95,0.88,{},planner-style narration,"The trace looks like a straightforward library study trip with matching reasons, though the repetitive GATSim phrasing makes it feel slightly templated rather than fully natural."
1,paired_study_a,paired_disruption,generative_agents_official_planner,1.0,1.0,1.0,1.0,,0.97,0.95,0.02,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0,0,1,4.476,6760,0.98,0.94,{},none,"The agent takes a straightforward route to the library, stays there for a long study block, and finishes with a consistent location and budget, which reads like ordinary quiet-work behavior."
1,paired_study_a,paired_disruption,agentsociety_official_plan_blocks,1.0,1.0,1.0,1.0,,0.98,0.97,0.01,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0,0,2,11.495,13963,0.99,0.98,{},none,"The agent follows a straightforward, realistic quiet-work routine: go to the library, enter, study for 50 minutes, and stop, with no feasibility or behavioral oddities."
1,paired_study_b,paired_disruption,gatsim_official_planner,1.0,1.0,1.0,1.0,,0.42,0.12,0.3,0.0,0.0,0.0,1.0,,1.0,0.0,0.152,1.0,,0.0,0.0,0.0,0,0,2,17.734,18860,0.18,0.28,{},plan drift and self-referential reasoning,"Starting at the bookstore is plausible, but the trace quickly becomes self-referential, leaves the intended quiet-work goal behind, and ends with an abrupt idle finish at the plaza rather than a believable study block."
1,paired_study_b,paired_disruption,generative_agents_official_planner,0.538,0.5,0.5,0.25,,0.88,0.56,0.32,0.5,0.0,0.0,0.429,,1.0,0.5,0.104,1.0,,0.5,1.0,0.38,0,0,5,26.971,30204,0.22,0.74,"{""money_budget_failure"": 2, ""time_budget_failure"": 1}",adapter-like action trace,"The sequence is broadly consistent with someone seeking a quiet study place and using alternatives after the library closure, but the reasons are placeholder-like and the extra move to the cafe without explanation makes the full trace feel less believable."
1,paired_study_b,paired_disruption,agentsociety_official_plan_blocks,1.0,0.8,0.75,0.6,,0.93,0.88,0.05,0.25,0.0,0.0,0.429,,1.0,0.25,1.0,1.0,,0.25,0.0,0.18,0,0,4,23.758,28549,0.97,0.9,"{""time_budget_failure"": 1}",minor rigidity,"The actions and reasons are locally sensible and consistent with the closure, though the sequence is a bit formulaic and waits out the closure rather than exploring alternatives."
2,paired_study_a,paired_disruption,gatsim_official_planner,1.0,1.0,1.0,1.0,,0.82,0.46,0.36,0.0,0.0,0.0,1.0,,1.0,0.0,0.35,1.0,,0.0,0.0,0.0,0,0,1,8.97,9294,0.74,0.71,{},plan drift and repetitive planner language,"The first half looks like a normal quiet-study outing, but the trace then detours into an unnecessary bookstore service step and repeats generic plan language instead of a coherent city behavior sequence."
2,paired_study_a,paired_disruption,generative_agents_official_planner,1.0,1.0,1.0,1.0,,0.97,0.92,0.05,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0,0,1,10.947,6763,0.55,0.98,{},generic adapter reasons,"The sequence is a normal quiet-study outing to the library with enough dwell time and no budget or feasibility problems, but the stated reasons are generic and do not actually explain the choices."
2,paired_study_a,paired_disruption,agentsociety_official_plan_blocks,1.0,1.0,1.0,1.0,,0.96,0.91,0.05,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0,0,2,14.603,14047,0.98,0.95,{},none,"The trace is a straightforward and believable quiet-study routine: travel to the library, enter, work there for 50 minutes, then stop, with no budget or feasibility problems."
2,paired_study_b,paired_disruption,gatsim_official_planner,1.0,1.0,1.0,1.0,,0.68,0.22,0.46,0.0,0.0,0.0,1.0,,1.0,0.0,0.152,1.0,,0.0,0.0,0.0,0,0,2,14.765,18822,0.26,0.57,{},goal drift and arbitrary return to plaza,"Opening a quiet bookstore and studying there is plausible, but the trace then abandons the work block, follows unexplained GATSim plan language, and ends without a coherent city-behavior rationale."
