shortlist_id,title,source_bucket,current_formal_status,shortlist_bucket,review_priority,review_note
HC01,TravelAgent: Generative agents in the built environment,formal_core,core,high-confidence core,P0,"Built environment is explicit; behavior and environment are tightly coupled."
HC02,Generative Agents: Interactive Simulacra of Human Behavior,formal_core,core,high-confidence core,P0,"Strongest anchor system for situated social behavior in a sandbox town."
HC03,Generative agent-based modeling with actions grounded in physical, social, or digital space using Concordia,formal_core,core,high-confidence core,P0,"System definition explicitly grounds actions in physical/social/digital space."
HC04,Affordable Generative Agents,formal_core,core,high-confidence core,P0,"Abstract keeps both inter-agent interaction and agent-environment interaction."
HC05,Artificial Leviathan: Exploring Social Evolution of LLM Agents Through the Lens of Hobbesian Social Contract Theory,formal_core,core,high-confidence core,P0,"Sandbox survival environment and social order evolution are both explicit."
HC06,Project Sid: Many-agent simulations toward AI civilization,formal_core,core,high-confidence core,P0,"Minecraft environment plus many-agent civilization simulation is a strong match."
HC07,OASIS: Open Agent Social Interaction Simulations with One Million Agents,formal_core,core,high-confidence core,P0,"Accepted under digital or graph-structured environment logic; social propagation effects are explicit."
HC08,Lyfe Agents: Generative agents for low-cost real-time social interactions,targeted_seed_round1,not_yet_ingested,high-confidence core,P0,"Custom 3D virtual environment plus multi-agent social interactions."
HC09,Spontaneous Emergence of Agent Individuality Through Social Interactions in Large Language Model-Based Communities,targeted_seed_round1,not_yet_ingested,high-confidence core,P0,"50 x 50 2D grid, local communication, community formation, and social norms are all explicit."
HC10,Real world community oriented high-definition social simulation: Combining reinforcement learning and large language models,targeted_seed_round1,not_yet_ingested,high-confidence core,P0,"Real community GIS/BIM plus Unreal Engine gives very explicit spatial context."
HC11,Exploring Large Language Model-Driven Agents for Environment-Aware Spatial Interactions and Conversations in Virtual Reality Role-Play Scenarios,pool_promotion,adjacent,high-confidence core,P0,"Should promote if broadened-core accepts VR role-play social interaction as core."
HC12,SimWorld: An Open-ended Realistic Simulator for Autonomous Agents in Physical and Social Worlds,targeted_seed_round2,not_yet_ingested,high-confidence core,P0,"Physical and social worlds are central in both title and abstract."
HC13,Large-language-model-driven agents for fire evacuation simulation in a cellular automata environment,targeted_seed_round2,not_yet_ingested,high-confidence core,P0,"Explicit spatial constraints and multi-agent emergency coordination."
HC14,When agents learn to think: Large language model-enhanced agent-based modeling for crowd evacuation in disaster scenarios,targeted_seed_round2,not_yet_ingested,high-confidence core,P0,"Crowd movement, disaster space, and collective behavior are all explicit."
HC15,CitySim: Modeling Urban Behaviors and City Dynamics with Large-Scale LLM-Driven Agent Simulation,targeted_seed_round2,not_yet_ingested,high-confidence core,P0,"Directly targets city-scale behaviors in an explicit urban environment."
BK01,AgentSociety: Large-Scale Simulation of LLM-Driven Generative Agents Advances Understanding of Human Behaviors and Society,formal_core,core,borderline but keep,P1,"Social simulation is strong, but spatial environment representation still needs full-text confirmation."
BK02,When LLMs Recognize Your Space: Research on Experiences with Spatially Aware LLM Agents,pool_promotion,adjacent,borderline but keep,P1,"Spatial awareness is explicit, but this may still be closer to experience or interaction research than multi-agent social simulation."
BK03,A Context-Aware Onboarding Agent for Metaverse Powered by Large Language Models,targeted_seed_round2,not_yet_ingested,borderline but keep,P1,"Metaverse is explicit, but the system may be single-agent onboarding rather than multi-agent simulation."
BK04,A Voice-Controlled Dialogue System for NPC Interaction using Large Language Models,targeted_seed_round2,not_yet_ingested,borderline but keep,P1,"NPC interaction is situated, but it may still be a narrower interaction system rather than a social simulation."
BK05,Mixed-Initiative Dialogue Management for Human-Virtual Agents Interaction in Forum Theatre Inspired Training,targeted_seed_round2,not_yet_ingested,borderline but keep,P1,"Staged environment is clear, but the system may lean toward training interaction rather than multi-agent social behavior."
BK06,TongSIM: A General Platform for Simulating Intelligent Machines,targeted_seed_round2,not_yet_ingested,borderline but keep,P1,"Environment is explicit, but the system may be better treated as a general simulator platform."
BK07,S^3: Social-network Simulation System with Large Language Model-Empowered Agents,targeted_seed_round2,not_yet_ingested,borderline but keep,P1,"Keep if structured digital platform environments remain admissible as core."
BK08,Unveiling the collective behaviors of large language model-based autonomous agents in an online community: A social network analysis perspective,targeted_seed_round2,not_yet_ingested,borderline but keep,P1,"Worth keeping if online communities continue to count as structured environments."
LD01,An Open-Domain Avatar Chatbot by Exploiting a Large Language Model,targeted_seed_round2,not_yet_ingested,likely demote later,P2,"Avatar-based interaction alone is not enough evidence for a multi-agent social environment."
LD02,Artificial intelligence chatbots mimic human collective behaviour,targeted_seed_round2,not_yet_ingested,likely demote later,P2,"Collective behavior is strong, but spatial environment evidence is still weak."
LD03,DeMAC: Enhancing Multi-Agent Coordination with Dynamic DAG and Manager-Player Feedback,targeted_seed_round2,not_yet_ingested,likely demote later,P2,"Coordination exists, but shared space and social-behavior evidence are not yet strong enough."
