audit_id,annotator_id,completion_label,feasibility_label,replan_label,evidence_sufficient,first_invalid_step,confidence,notes
H001,model_behavioral,complete,infeasible,not_applicable,yes,1,4,"The trace reaches and enters school before the 18:10 deadline and dwells there, so the pickup intent is satisfied, but step 1 is invalid because a move with an explicit path leaves the agent at the office with no executed traversal despite claiming a move action."
H002,model_behavioral,complete,infeasible,successful,yes,1,5,"Step 1 follows the blocked transit_hub->office edge after the 08:08 alert, so the trace is infeasible; the later detour reaches office before 09:15 and shows recovery."
H003,model_behavioral,partial,feasible,not_applicable,yes,,5,"Aria reached an allowed replacement at the bookstore, entered it, paid for workspace access, and completed 50 accepted dwell minutes with no library entry during the closure window. The trace is feasible, but the final finish at the plaza means the private intention is only partially evidenced as a completed work block rather than a clearly preserved stay at the quiet location."
H004,model_behavioral,partial,feasible,not_applicable,yes,,5,"The trace shows Aria reached and entered an open quiet cafe before 16:20 and stayed there well past 50 minutes total, while never entering the closed library during its closure window. The only miss is that the explicit accepted dwell record is not separately surfaced, but the executed dwell actions support the focus block."
H005,model_behavioral,partial,feasible,not_applicable,yes,,5,"Aria confirmed with Ben and reached cafe_central, but there is no observable co-presence with Ben during 12:35-12:55, so the meeting objective is not completed; all executed actions are valid."
H006,model_behavioral,complete,feasible,not_applicable,yes,,5,"Aria reaches and enters school before the 18:10 deadline, with no social detour or invalid action; the finish is legally early and supported by the observed enter outcome."
H007,model_behavioral,complete,infeasible,failed,yes,2,5,Step 2 traverses transit_hub -> plaza -> cafe_central -> office even though the service_alert at 08:08 blocks the transit_hub-office edge until 08:55; later arrival at office is before the deadline but the blocked-edge traversal makes the trace infeasible.
H008,model_behavioral,partial,infeasible,not_applicable,yes,1,4,"Step 1 is invalid because a move that starts and ends at plaza with target bookstore and an explicit one-hop path does not produce a valid traversal; the first successful movement to bookstore is only reflected in step 2. The trace does support visiting the open replacement and staying within budget, but only 31 minutes of accepted dwell are observable, so the 50-minute focus block is not fully evidenced."
H009,model_behavioral,complete,feasible,not_applicable,yes,,5,Aria reaches the office by 08:30 and the executed route avoids the blocked transit_hub->office edge during the 08:08-08:55 window; no invalid action is shown.
H010,model_behavioral,partial,feasible,not_applicable,yes,,5,"The trace clearly reaches and enters school before the 18:10 deadline, but it then detours to home_ben and finishes there without any observable social interaction with Ben, so the pickup intention is only partially satisfied. All executed transitions are valid in the packet."
H011,model_behavioral,partial,uncertain,not_applicable,yes,,4,"The trace shows repeated messages to Ben and presence at quiet_cafe during the lunch window, but there is no observable evidence that Ben actually co-presented, so the meeting objective is not fully completed. The packet does not provide world-reference path/cost/hour validation, so feasibility cannot be fully determined from this packet alone."
H012,model_behavioral,partial,infeasible,successful,yes,2,5,"Step 1 was interrupted by the service alert but the trace recovered; step 2 is invalid because it attempts a move to park with a path from transit_hub to park yet ends with no traversal and no location change, so the executed action is not supported. The office was reached before 09:15, but the trace contains a feasibility violation."
H013,model_behavioral,not_complete,feasible,not_applicable,yes,,5,"Aria moved to quiet_cafe and entered it, then finished at 12:27, but there is no observable message to Ben and no co-presence during the required 12:35-12:55 window. No action is invalid from the packet."
H014,model_behavioral,complete,feasible,not_applicable,yes,,5,"The trace reaches the bookstore, dwells there for 50 minutes, never enters the closed library, and stays within budget; no invalid transition is shown."
H015,model_behavioral,partial,feasible,not_applicable,yes,,5,"Aria confirmed contact with Ben repeatedly and reached cafe_central, but the packet shows no co-presence with Ben during 12:35-12:55, so the meeting objective is not completed. All executed actions are physically valid and there is no disruption requiring replanning."
H016,model_behavioral,complete,feasible,not_applicable,yes,,5,"Aria reaches school by 17:26, before the 18:10 pickup deadline, and the trace shows no social detour, commitment, cost, or invalid transition."
