scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
social_copresence_decoy_location,gatsim_official_planner,0.78,0.56,0.42,0.68,0.4,0.38,0.22,0.15,0.6,missing confirmation and repetitive scripted interaction,"Going straight to the correct cafe and waiting to meet Ben is plausible, but the trace skips the requested confirmation and turns the meeting into an unnatural loop of repeated identical interactions with validator-like reasons."
social_copresence_decoy_location,sotopia_official_llm_agent,0.88,0.46,0.58,0.83,1.0,0.0,0.42,0.55,0.0,premature stop before meeting,"The plan sensibly confirms and goes to the correct cafe, but ending at 12:27 before any co-presence with Ben makes the overall trace much less believable as a completed meetup."
social_copresence_decoy_location,generative_agents_official_planner,0.89,0.76,0.58,0.86,0.75,0.14,0.13,0.8,0.25,placeholder move and generic reasons,"The overall plan is sensible and reaches the correct cafe on time, but the zero-minute failed move and boilerplate reasons make the full trace less believable."
social_copresence_decoy_location,agentsociety_official_plan_blocks,0.84,0.58,0.9,0.76,0.7,0.14,0.26,0.35,0.3,repetitive unresponsive waiting/messages without confirmed meetup,"Going to the correct cafe and waiting is sensible, but the repeated identical check-ins and lack of any actual meetup or adjustment make the full trace less believable."
social_copresence_event_window,gatsim_official_planner,0.93,0.9,0.74,0.92,1.0,0.0,0.03,1.0,0.0,mechanical rationale wording,"The sequence is a believable errand-and-meet plan that reaches Casey in time, but the stated reasons sound system-driven rather than like natural human motives."
social_copresence_event_window,sotopia_official_llm_agent,0.82,0.69,0.56,0.86,0.75,0.07,0.13,0.2,0.25,generic rationale and abrupt departure,"Aria plausibly rushes to the market and catches Casey in time, but the blank interaction rationale and immediate move away make the full sequence less convincing."
social_copresence_event_window,generative_agents_official_planner,0.78,0.58,0.42,0.74,0.4,0.38,0.2,0.2,0.6,opaque and redundant movement steps,"Going straight to the market and waiting is broadly plausible, but the zero-minute failed move and generic reasons make the full trace look mechanically generated rather than like a coherent social plan."
social_copresence_event_window,agentsociety_official_plan_blocks,0.7,0.34,0.45,0.58,0.3,0.4,0.36,0.2,0.7,premature meeting and excessive waiting,"Getting to the market early is reasonable, but the trace oddly schedules an interaction with Casey before Casey is present and then drifts into repetitive waiting long after the brief window."
social_copresence_message_gated,gatsim_official_planner,0.6,0.25,0.15,0.4,0.75,0.0,0.35,0.15,0.25,missing confirmation message,"Going to the cafe and waiting could sound superficially reasonable, but it contradicts the scenario's key need to message Ben first and then drifts into an unnecessary return trip."
social_copresence_message_gated,sotopia_official_llm_agent,0.68,0.29,0.34,0.62,1.0,0.0,0.39,0.55,0.0,prematurely stops before confirmation or meetup window,"Sending a confirmation message and heading to the cafe is locally reasonable, but ending at 12:23 before any reply or actual meeting makes the full behavior hard to believe as a successful confirm-then-meet plan."
social_copresence_message_gated,generative_agents_official_planner,0.42,0.12,0.2,0.18,0.8,0.0,0.3,0.35,0.2,confirms but never goes to the meeting,"Sending a confirmation message is sensible, but the agent then stays at the office the entire time and makes the promised cafe meetup impossible."
social_copresence_message_gated,agentsociety_official_plan_blocks,0.72,0.28,0.83,0.62,1.0,0.0,0.44,0.55,0.0,stops before confirmation or meeting,"Sending the message and heading to the cafe are individually reasonable, but ending at 12:24 before Ben confirms or the meeting window starts makes the overall social plan unconvincing."
social_copresence_open_meet,gatsim_official_planner,0.82,0.76,0.42,0.88,1.0,0.0,0.06,1.0,0.0,validator-style rationale language,"The park meetup sequence is behaviorally reasonable and achieves real co-presence, but the stated reasons sound like benchmark execution labels rather than natural human planning."
social_copresence_open_meet,sotopia_official_llm_agent,0.76,0.34,0.58,0.7,0.889,0.0,0.42,0.2,0.111,repetitive unanswered messaging after the meeting starts,"Getting to the park and trying to contact Casey is reasonable, but the trace becomes implausible because Aria appears to interact before confirming co-presence and then sends a string of near-duplicate messages before stopping without a clear meetup."
social_copresence_open_meet,generative_agents_official_planner,0.72,0.56,0.34,0.74,0.778,0.0,0.16,0.2,0.222,meeting not explicitly enacted,"Getting to the park and waiting there is socially plausible, but the trace never shows an actual interaction with Casey and the generic reasons do not explain the meetup behavior."
social_copresence_open_meet,agentsociety_official_plan_blocks,0.8,0.58,0.62,0.84,0.75,0.05,0.22,0.2,0.25,meeting claimed before the open window,"Going to the park and waiting is sensible, but the trace says Aria meets Casey before the stated co-presence window, which weakens overall believability."
social_copresence_two_party,gatsim_official_planner,0.94,0.92,0.78,0.9,1.0,0.0,0.02,1.0,0.0,validator-style reasons,"The sequence cleanly meets both meetings in order and within time and budget, but the stated reasons sound like internal planner labels rather than natural human motives."
social_copresence_two_party,sotopia_official_llm_agent,0.58,0.18,0.34,0.62,1.0,0.0,0.4,0.4,0.0,premature termination before second meeting,"Going from the office to the park is reasonable, but stopping at 12:39 without attempting the later cafe meeting makes the overall behavior incomplete and weakly aligned with the stated plan."
social_copresence_two_party,generative_agents_official_planner,0.12,0.02,0.03,0.08,0.833,0.0,0.1,0.2,0.167,never attempts either meeting,"The trace has Aria stay at the office the entire time with generic reasons, which does not fit the stated plan to sequence two catch-ups at the park and cafe."
social_copresence_two_party,agentsociety_official_plan_blocks,0.68,0.24,0.42,0.53,0.286,0.394,0.44,0.2,0.714,waited too long and missed Ben,"Meeting Casey first is reasonable, but repeatedly lingering at the park past that meeting makes the later cafe catch-up implausible and inconsistent with the stated plan."
social_copresence_with_errand,gatsim_official_planner,0.72,0.31,0.22,0.56,0.909,0.0,0.41,0.6,0.091,post-goal looping and impossible budget,"Meeting Casey and buying medicine are individually plausible, but the canned reasons, unnecessary return loop, and ending with negative budget make the full behavior hard to believe as a sensible urban plan."
social_copresence_with_errand,sotopia_official_llm_agent,0.62,0.28,0.35,0.4,0.875,0.0,0.34,0.2,0.125,claims impossible pharmacy purchase before arrival,"The overall errand-then-meeting idea is reasonable, but the trace includes buying medicine at the market, messaging as if already at the pharmacy, and never showing an actual purchase there."
social_copresence_with_errand,generative_agents_official_planner,0.62,0.29,0.18,0.58,0.778,0.0,0.33,0.25,0.222,meeting left implicit and budget violated,"Going to the market first and then the pharmacy is superficially reasonable, but the trace never actually shows meeting Casey and ends over budget, which makes the full behavior weak."
social_copresence_with_errand,agentsociety_official_plan_blocks,0.95,0.93,0.98,0.94,1.0,0.0,0.02,1.0,0.0,none,"The sequence is straightforward and credible: Aria buys medicine first, then reaches the market and meets Casey within the required window without any obvious feasibility problem."
