repeat_id,scenario_id,family,agent_type,task_completion,goal_completion,trace_feasibility,intention_consistency,replanning_success,judge_face_plausibility,judge_trace_believability,face_believability_gap,impossible_trace_rate,done_state_loop_rate,social_derailment_rate,constraint_satisfaction,process_success,plan_plausibility,plausibility_feasibility_gap,travel_efficiency,budget_consistency,social_appropriateness,feasibility_violation,city_false_continue,face_feasibility_gap,route_interruption_count,verified_replan_count,llm_calls,llm_latency_seconds,llm_total_tokens,judge_rationale_alignment,judge_urban_common_sense,failure_taxonomy,judge_main_issue,judge_brief_reason
1,social_copresence_decoy_location,social_outcome,gatsim_official_planner,0.0,0.15,0.4,0.06,,0.74,0.28,0.46,0.6,0.0,0.0,0.429,,1.0,0.6,1.0,1.0,0.0,0.6,0.0,0.34,0,0,6,44.098,57679,0.62,0.41,"{""invalid_state_transition"": 6}",repetitive scripted interactions,"The move to the quiet cafe and staying there are plausible, but the repeated identical interactions read like validation padding rather than ordinary city behavior, and the trace never explicitly confirms Ben or handles the decoy choice."
1,social_copresence_decoy_location,social_outcome,sotopia_official_llm_agent,0.308,0.55,1.0,0.55,,0.97,0.95,0.02,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0,0,5,19.904,34201,0.98,0.93,"{""goal_drift"": 1}",none,"The agent confirms the meeting, travels to the quiet cafe, and waits there within the target window, which is coherent and matches the stated intention."
1,social_copresence_decoy_location,social_outcome,generative_agents_official_planner,1.0,0.8,0.75,0.6,,0.96,0.42,0.54,0.25,0.0,0.0,0.429,,1.0,0.25,1.0,1.0,1.0,0.25,1.0,0.21,0,0,3,19.888,18573,0.38,0.72,"{""impossible_route"": 1, ""money_budget_failure"": 1}",adapter-like inconsistencies,"The intent and key actions are plausible for a city rendezvous, but the trace has odd zero-minute moves, a no-op departure, and generic reasons that weaken full-sequence credibility."
1,social_copresence_decoy_location,social_outcome,agentsociety_official_plan_blocks,0.308,0.35,0.7,0.245,,0.93,0.42,0.51,0.3,0.0,0.0,0.429,,1.0,0.3,1.0,1.0,0.5,0.3,1.0,0.23,0,0,8,51.163,57087,0.9,0.72,"{""money_budget_failure"": 3}",repetitive confirmation messages,"The route to the quiet cafe and the initial confirmation are plausible, but the later sequence drifts into repetitive waiting and messaging that reduces full-trace believability."
1,social_copresence_event_window,social_outcome,gatsim_official_planner,1.0,1.0,1.0,1.0,,0.82,0.31,0.51,0.0,0.0,0.0,1.0,,1.0,0.0,0.405,1.0,1.0,0.0,0.0,0.0,0,0,1,9.929,9183,0.84,0.26,{},missed social window after detour,"The early market arrival and brief interaction are locally plausible, but the trace then wanders through unrelated errands and finishes at the office well after the short Casey window has effectively passed."
1,social_copresence_event_window,social_outcome,sotopia_official_llm_agent,0.0,0.2,0.75,0.15,,0.96,0.34,0.62,0.25,0.0,0.0,0.4,,1.0,0.25,0.425,1.0,0.0,0.25,0.0,0.21,0,0,5,19.087,33923,0.82,0.78,"{""invalid_state_transition"": 1}",late arrival then drift away,"The movement to the market and brief interaction with Casey are plausible, but the sequence reaches the location after the narrow social window and then wanders off, so the full trace is not very believable as successful behavior."
1,social_copresence_event_window,social_outcome,generative_agents_official_planner,0.0,0.2,0.4,0.08,,0.78,0.31,0.47,0.6,0.0,0.0,0.4,,1.0,0.6,1.0,1.0,0.0,0.6,1.0,0.38,0,0,5,25.614,29611,0.12,0.42,"{""impossible_route"": 1, ""money_budget_failure"": 2}",adapter-like no-op behavior,"The actions resemble a plausible arrival-and-wait plan at the market, but the repeated zero-minute moves, generic reasons, and long dwell after the brief window make the full trace feel mechanically generated rather than ordinary behavior."
1,social_copresence_event_window,social_outcome,agentsociety_official_plan_blocks,0.0,0.2,0.3,0.06,,0.84,0.42,0.42,0.7,0.0,0.0,0.4,,1.0,0.7,0.895,1.0,0.0,0.7,1.0,0.54,0,0,12,71.033,85079,0.91,0.58,"{""invalid_state_transition"": 1, ""money_budget_failure"": 5, ""time_budget_failure"": 1}",late-window drift and repetitive dwelling,"The plan to get to the market and stay there reads plausibly, but the trace spends too long dwelling after the only meaningful meeting window and ends without a convincing interaction outcome."
1,social_copresence_message_gated,social_outcome,gatsim_official_planner,0.0,0.15,0.75,0.112,,0.72,0.28,0.44,0.25,0.0,0.0,0.429,,1.0,0.25,0.333,1.0,0.0,0.25,1.0,0.0,0,0,2,16.202,18604,0.41,0.36,"{""invalid_state_transition"": 1, ""time_budget_failure"": 1}",goal drift and duplicated travel,"The trace starts with a reasonable meetup flow, but it never sends the confirming message, then wanders through unnecessary moves and arrives too late to read as believable city behavior."
1,social_copresence_message_gated,social_outcome,sotopia_official_llm_agent,0.308,0.55,1.0,0.55,,0.95,0.58,0.37,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0,0,3,12.709,20384,0.97,0.62,"{""goal_drift"": 1}",stops before the meet,"The message-and-travel sequence is sensible and matches the stated intent, but the trace ends at the cafe before the meeting window, so the full behavior only partially realizes the social plan."
