"queue_priority","fresh_id","title","year","source_url","likely_layer","likely_repr","why_prioritize","check_questions"
"P0-L4","FT-L4-029","Emergence of Scale-Free Networks in Social Interactions among Large Language Models","2023","https://doi.org/10.48550/arxiv.2312.06619","bridge_core_or_anchor_core","L4_or_L3","Directly targets social interactions among LLMs and emergent network structure; strong L4 candidate if agents receive or reason over network/global structure.","Are network metrics/degree/preferential attachment agent-facing or only researcher-side? Is the social network generated through agent decisions?"
"P0-L4","FT-L4-066","Simulating Opinion Dynamics with Networks of LLM-based Agents","2024","https://doi.org/10.18653/v1/2024.findings-naacl.211","bridge_core","L4_or_L3","LLM agents embedded in explicit networks; likely useful for L4 boundary even if final coding is L3.","Do agents know network neighbors only, or centrality/community/global graph structure? Are opinion shifts observed?"
"P0-L4","FT-L4-095","LLM-AIDSim: LLM-Enhanced Agent-Based Influence Diffusion Simulation in Social Networks","2025","https://doi.org/10.3390/systems13010029","bridge_core","L4_or_L3","Influence diffusion in social networks is directly relevant to online-community/network bridge evidence.","Does agent state include global influence/centrality/community indicators or only local neighbor exposure?"
"P0-L4","FT-L4-116","Understanding Online Polarization Through Human-Agent Interaction in a Synthetic LLM-Based Social Network","2025","https://doi.org/10.1609/icwsm.v19i1.35826","bridge_core","L4_or_L3","Synthetic LLM-based social network plus human-agent interaction; likely strong bridge case and observed-effect candidate.","What network information is agent-facing? Is spatial/network structure manipulated or measured as behavior context?"
"P0-L4","FT-L4-171","GoAgent: Group-of-Agents Communication Topology Generation for LLM-based Multi-Agent Systems","2026","http://arxiv.org/abs/2603.19677","adjacent_or_bridge_core","L4","Communication topology generation may directly expose/optimize global topology for LLM-based multi-agent systems.","Is this task/social-behavior relevant or mainly a coordination/topology method? Do agents use global topology?"
"P1-L4","FT-L4-076","Decoding Echo Chambers: LLM-Powered Simulations Revealing Polarization in Social Networks","2024","https://doi.org/10.48550/arxiv.2409.19338","bridge_core","L4_or_L3","Polarization in social networks can strengthen L4/network bridge coverage if agent-facing network structure is explicit.","Check whether echo-chamber network structure is a model input to agents or only analysis output."
"P1-L4","FT-L4-108","Emergent social conventions and collective bias in LLM populations","2025","https://doi.org/10.1126/sciadv.adu9368","bridge_core","L3_or_L4","Strong LLM population/social emergence paper; may not be spatial/network enough but useful for boundary checking.","Is there explicit network/population topology or only repeated interactions?"
"P1-L4","FT-L4-115","LLMs Generate Structurally Realistic Social Networks but Overestimate Political Homophily","2025","https://doi.org/10.1609/icwsm.v19i1.35820","bridge_core_or_adjacent","L4_or_adjacent","Social-network generation is relevant to network-structure realism but may not be agent simulation.","Are LLMs acting as agents in a simulation, or generating network data as a model task?"
"P1-L4","FT-L4-127","Characterizing LLM-driven Social Network: The Chirper.ai Case","2025","https://doi.org/10.48550/arxiv.2504.10286","bridge_core","L3_or_L4","Chirper.ai may be a real/online LLM-driven social network; relevant to digital-network bridge layer.","Are agents autonomous and socially interacting? Are network metrics agent-facing or researcher-side?"
"P1-L4","FT-L4-158","Beliefs in Motion: Simulating Opinion Dynamics via LLM-Powered Community Reactions","2026","https://doi.org/10.1007/978-3-032-13513-1_25","bridge_core","L3_or_L4","Community reactions and opinion dynamics may contribute to online-community/network bridge evidence.","Check agent-facing community/network information and empirical observed-effect status."
"P1-Bridge","FT-L4-136","Modeling realistic human behavior using generative agents in a multimodal transport system: Software architecture and Application to Toulouse","2025","https://doi.org/10.48550/arxiv.2510.19497","bridge_core","L3","Urban mobility/generative-agent transport case; useful if more rows needed after L4 review.","Avoid duplicate with GATSim/R3-03; check route/network inputs."
"P1-Bridge","FT-L4-137","Implicit Behavioral Alignment of Language Agents in High-Stakes Crowd Simulations","2025","https://doi.org/10.18653/v1/2025.emnlp-main.1562","bridge_core","L3_or_L5","Crowd simulation with language agents may strengthen urban/crowd bridge coverage.","Check spatial environment and whether agents receive geometry/local positions."
