repeat_id,scenario_id,family,agent_type,task_completion,goal_completion,trace_feasibility,intention_consistency,replanning_success,judge_face_plausibility,judge_trace_believability,face_believability_gap,impossible_trace_rate,done_state_loop_rate,social_derailment_rate,constraint_satisfaction,process_success,plan_plausibility,plausibility_feasibility_gap,travel_efficiency,budget_consistency,social_appropriateness,feasibility_violation,city_false_continue,face_feasibility_gap,route_interruption_count,verified_replan_count,llm_calls,llm_latency_seconds,llm_total_tokens,judge_rationale_alignment,judge_urban_common_sense,failure_taxonomy,judge_main_issue,judge_brief_reason
1,social_copresence_decoy_location,social_outcome,api_llm_react_tool_policy,1.0,1.0,1.0,1.0,,0.93,0.89,0.04,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,7,36.128,57134,0.98,0.9,{},minor scripted optimization,"The agent follows a coherent, ordinary plan: confirm the meeting, travel to the correct cafe, wait, and meet Ben, with only a slightly game-like sequence of service and dwelling steps."
1,social_copresence_decoy_location,social_outcome,api_llm_plan_and_execute,1.0,1.0,1.0,1.0,,0.98,0.9,0.08,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,7.759,7149,0.97,0.88,{},minor over-optimization,"The trace cleanly follows the intended social plan: confirm with Ben, travel to the quiet cafe, wait, and meet within the window, with only mild oddness in how explicitly procedural the reasons sound."
1,social_copresence_event_window,social_outcome,api_llm_react_tool_policy,1.0,1.0,1.0,1.0,,0.82,0.68,0.14,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,6,28.224,47474,0.91,0.74,{},slight sequencing overengineering,"The trace reads like a plausible attempt to reach and meet Casey at the market, but the service-before-waiting and early finish make the full sequence feel a bit scripted and less natural."
1,social_copresence_event_window,social_outcome,api_llm_plan_and_execute,1.0,1.0,1.0,1.0,,0.86,0.72,0.14,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,6.397,7090,0.94,0.81,{},late meeting timing,"The plan to reach the market, wait, and attempt contact is locally reasonable, but the trace starts the interaction after the narrow window and then treats that as success, which weakens full-sequence believability."
1,social_copresence_message_gated,social_outcome,api_llm_react_tool_policy,1.0,1.0,1.0,1.0,,0.92,0.86,0.06,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,7,31.537,57127,0.97,0.88,{},minor over-automation of venue evidence,"The sequence matches the stated goal well and reads like a reasonable confirm-then-meet plan, though it slightly overdoes venue/service steps and uses some validator-like scaffolding."
1,social_copresence_message_gated,social_outcome,api_llm_plan_and_execute,1.0,1.0,1.0,1.0,,0.92,0.7,0.22,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,8.148,7159,0.96,0.84,{},slight timing drift,"The plan is locally coherent and follows the confirm-then-meet intent, but the meeting interaction starts after the stated window opens and the trace uses a somewhat staged sequence to force co-presence."
1,social_copresence_open_meet,social_outcome,api_llm_react_tool_policy,1.0,1.0,1.0,1.0,,0.96,0.78,0.18,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,5,19.267,39546,0.97,0.9,{},slight procedural overfitting,"The plan is locally coherent and matches the stated goal of a real park meetup, though the wording and sequence feel a bit too validator-aware for fully natural city behavior."
1,social_copresence_open_meet,social_outcome,api_llm_plan_and_execute,1.0,1.0,1.0,1.0,,0.98,0.95,0.03,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,5.987,7020,0.99,0.97,{},none,"The agent follows a believable lunch meetup pattern by traveling to the park, waiting for the window, and then interacting with Casey there without any obvious contradiction."
1,social_copresence_two_party,social_outcome,api_llm_react_tool_policy,1.0,1.0,1.0,1.0,,0.86,0.62,0.24,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,10,42.474,83511,0.9,0.74,{},unusual service-before-interaction sequencing,"The plan is locally sensible and matches the stated goal, but the full trace looks a bit synthetic because it inserts repetitive evidence-seeking and an odd paid-venue step before Ben without clear behavioral need."
1,social_copresence_two_party,social_outcome,api_llm_plan_and_execute,0.5,0.7,1.0,0.7,,0.95,0.36,0.59,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0,0,1,8.98,7445,0.88,0.84,"{""goal_drift"": 1, ""social_derailment"": 1}",temporal drift and awkward waiting,"The plan structure is reasonable for two sequential meetups, but the trace weakens because the second wait explicitly references the wrong window and the timing drifts in a way that makes the full sequence less believable."
1,social_copresence_with_errand,social_outcome,api_llm_react_tool_policy,1.0,0.6,0.75,0.45,,0.55,0.15,0.4,0.25,1.0,0.0,0.0,,1.0,0.25,1.0,0.0,1.0,0.25,1.0,0.0,0,0,9,41.027,75141,0.45,0.3,"{""done_state_loop"": 1, ""invalid_state_transition"": 1, ""money_budget_failure"": 1}",budget violation and duplicated/odd actions,"The plan sounds superficially like a normal errand-then-meeting day, but the trace devolves into repeated pharmacy actions, an unexplained venue service step, and ends with a negative budget, which makes the full behavior hard to believe."
1,social_copresence_with_errand,social_outcome,api_llm_plan_and_execute,1.0,0.8,0.857,0.686,,0.72,0.54,0.18,0.143,0.0,0.0,0.5,,1.0,0.143,1.0,1.0,1.0,0.143,1.0,0.0,0,0,1,26.309,7173,0.83,0.78,"{""money_budget_failure"": 1}",time-window drift,"The errand-first then meeting-at-market sequence is plausible, but the dwell step explicitly waits for a window that has already been skipped, which weakens the full trace even though the stated intent matches the actions."
