scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
hard_budget_entangled_meet,api_llm_react_tool_policy,0.91,0.56,0.82,0.74,1.0,0.0,0.35,0.85,0.0,budget-neglect after paid cafe use,"The plan is locally sensible and matches the stated priorities, but it quietly spends the remaining budget at the cafe and then stops before returning home, so the full sequence is only moderately believable."
hard_budget_entangled_meet,api_llm_plan_and_execute,0.93,0.31,0.88,0.79,0.778,0.152,0.62,0.45,0.222,missed meeting window,"The plan sounds locally sensible, but the sequence drifts: Aria waits until after 18:32 and then claims co-presence during an 18:00-18:15 window, which makes the full trace hard to believe."
hard_deadline_then_meet,api_llm_react_tool_policy,0.87,0.56,0.55,0.72,0.9,0.0,0.31,0.5,0.1,late meeting arrival and goal drift,"The plan starts plausibly by prioritizing the deadline pickup, but the trace then wastes time with redundant pharmacy actions and arrives at the cafe after the stated meeting window has effectively slipped."
hard_deadline_then_meet,api_llm_plan_and_execute,0.86,0.41,0.93,0.74,0.857,0.003,0.45,0.5,0.143,missed meeting window,"The pickup-first plan is sensible and the reasons match the actions, but the trace drifts into a long dwell that pushes the meeting far past Ben's 13:00-13:15 window."
hard_full_evening_chain,api_llm_react_tool_policy,0.82,0.34,0.71,0.46,0.727,0.093,0.48,0.55,0.273,time/budget drift and repetitive filler,"The stop sequence sounds locally reasonable for a rushed evening, but the trace becomes less believable because of the parse-error filler, repeated market actions, and a negative budget while ending early at the diner."
hard_full_evening_chain,api_llm_plan_and_execute,0.97,0.72,0.95,0.86,0.875,0.095,0.25,0.7,0.125,time accounting inconsistency,"The plan sounds like a reasonable evening chain and the reasons match the actions, but the trace has a timing mismatch where the grocery purchase is claimed at 17:00 while the agent appears to remain at home and later spend the full evening at the diner."
hard_overlapping_windows,api_llm_react_tool_policy,0.78,0.46,0.83,0.67,1.0,0.0,0.32,0.7,0.0,missed meeting window,"The plan sounds locally sensible and the stated reasons match the moves, but the second meeting is reached after Ben's window closes, which makes the full sequence only moderately believable as successful city behavior."
hard_overlapping_windows,api_llm_plan_and_execute,0.93,0.54,0.92,0.78,0.875,0.055,0.39,0.5,0.125,missed cafe window,"The plan and reasons are locally sensible and match the scenario, but the sequence drifts past the cafe window and ends after the allowed time, which weakens full-trace believability."
hard_stale_plan_override,api_llm_react_tool_policy,0.88,0.62,0.84,0.78,1.0,0.0,0.26,1.0,0.0,deadline drift and overconstructed evidence,"The actions fit a reasonable updated-meeting response, but the trace is a bit overengineered and spends too long creating interaction evidence instead of simply meeting Ben within the updated window."
hard_stale_plan_override,api_llm_plan_and_execute,0.91,0.42,0.9,0.78,1.0,0.0,0.49,0.6,0.0,time-window drift,"The plan is locally sensible and matches the updated cafe meeting, but the dwell/interact timing overshoots the valid window and the sequence is somewhat overelaborate for a simple meetup."
hard_three_meeting_relay,api_llm_react_tool_policy,0.89,0.42,0.88,0.72,0.929,0.0,0.47,0.8,0.071,sequence drifts to wrong target,"The individual moves and meeting reasons sound reasonable, but the trace derails when it treats the market stop as a place to meet Ben before moving to the diner, which makes the full sequence much less believable."
hard_three_meeting_relay,api_llm_plan_and_execute,0.96,0.88,0.94,0.91,1.0,0.0,0.08,0.8,0.0,minor timing padding,"The plan is locally coherent and matches the stated three-meeting sequence, though some waits and transfers feel a bit padded and the final budget is tight but still nonnegative."
