scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
hard_budget_entangled_meet,api_llm_react_tool_policy,0.94,0.72,0.9,0.86,1.0,0.0,0.22,0.85,0.0,budget/state inconsistency,"The plan sounds locally reasonable and the reasons match the actions, but the final budget state does not reconcile cleanly with the described purchases, which weakens the full-trace credibility."
hard_budget_entangled_meet,api_llm_plan_and_execute,0.83,0.41,0.72,0.58,0.9,0.0,0.42,0.6,0.1,time/budget reasoning drift,"The plan sounds locally reasonable, but it drifts into awkward timing and budget-justifying behavior at the cafe, and the claimed meeting evidence is not very believable as a complete sequence."
hard_deadline_then_meet,api_llm_react_tool_policy,0.96,0.93,0.98,0.91,1.0,0.0,0.03,1.0,0.0,slight over-explanation around cafe timing,"The trace follows a sensible sequence: the agent prioritizes the hard pharmacy deadline, then waits and meets Ben in the correct window, with reasons that generally match the actions and scenario."
hard_deadline_then_meet,api_llm_plan_and_execute,0.92,0.58,0.89,0.74,1.0,0.0,0.34,1.0,0.0,deadline timing drift,"The plan sounds locally sensible and the reasons match the actions, but the sequence mishandles timing around the cafe window and appears to rely on a slightly inconsistent arrival-and-wait narrative."
hard_full_evening_chain,api_llm_react_tool_policy,0.89,0.58,0.91,0.76,0.9,0.0,0.31,0.55,0.1,negative budget and overmanaged sequencing,"The individual actions and justifications sound like a plausible errand-and-dinner evening, but the trace is over-instrumented and ends with an impossible budget deficit, which weakens full-sequence believability."
hard_full_evening_chain,api_llm_plan_and_execute,0.91,0.62,0.84,0.88,1.0,0.0,0.29,1.0,0.0,awkward sequencing and meeting window padding,"The plan is locally sensible and fits the scenario, but the trace is a bit over-scripted and internally awkward in places, especially around the dinner timing and the unnecessary wait before meeting Casey."
hard_overlapping_windows,api_llm_react_tool_policy,0.91,0.56,0.95,0.86,1.0,0.0,0.35,0.7,0.0,missed second window,"The plan and step-by-step reasons are locally coherent and city-plausible, but the sequence still fails the Ben meeting by finishing after the time window closes."
hard_overlapping_windows,api_llm_plan_and_execute,0.74,0.42,0.82,0.78,0.889,0.0,0.32,0.5,0.111,missed cafe window,"The plan sounds like a reasonable attempt to juggle two invitations, but it arrives at the cafe after Ben's window has already closed, so the full trace reads as a believably mistaken execution rather than a successful urban plan."
hard_stale_plan_override,api_llm_react_tool_policy,0.9,0.35,0.72,0.78,0.429,0.471,0.55,0.2,0.571,repetitive overacting,"The early move to the updated cafe and the intent to meet Ben are plausible, but the trace devolves into repeated interaction steps and then a late abandonment after the meeting window has already passed."
hard_stale_plan_override,api_llm_plan_and_execute,0.84,0.62,0.78,0.7,1.0,0.0,0.22,1.0,0.0,overfitting to stated success conditions,"The actions are locally sensible for responding to a schedule change, but the sequence feels somewhat engineered and redundant, with unnecessary service/dwell steps that make the full trace less natural."
hard_three_meeting_relay,api_llm_react_tool_policy,0.91,0.74,0.88,0.79,1.0,0.0,0.17,1.0,0.0,over-engineered venue procedures,"The schedule and reasons are locally coherent for a tight three-meeting break, but the repeated enter/use_service/dwell pattern feels a bit mechanical and overexplained, which lowers full-trace realism."
hard_three_meeting_relay,api_llm_plan_and_execute,0.89,0.55,0.78,0.82,1.0,0.0,0.34,1.0,0.0,time-window and location drift,"The plan sounds like a reasonable three-stop city errand, but the trace leans on suspiciously exact timing and some steps feel mechanically sequenced rather than naturally behaved, which weakens full-sequence believability."
