repeat_id,scenario_id,family,agent_type,task_completion,goal_completion,trace_feasibility,intention_consistency,replanning_success,judge_face_plausibility,judge_trace_believability,face_believability_gap,impossible_trace_rate,done_state_loop_rate,social_derailment_rate,constraint_satisfaction,process_success,plan_plausibility,plausibility_feasibility_gap,travel_efficiency,budget_consistency,social_appropriateness,feasibility_violation,city_false_continue,face_feasibility_gap,route_interruption_count,verified_replan_count,llm_calls,llm_latency_seconds,llm_total_tokens,judge_rationale_alignment,judge_urban_common_sense,failure_taxonomy,judge_main_issue,judge_brief_reason
1,hard_budget_entangled_meet,social_outcome_hard,api_llm_react_tool_policy,0.769,0.7,0.889,0.622,,0.44,0.18,0.26,0.111,1.0,1.0,0.571,,1.0,0.111,1.0,1.0,1.0,0.111,0.0,0.0,0,0,10,46.514,87726,0.62,0.35,"{""done_state_loop"": 1, ""invalid_state_transition"": 1, ""social_derailment"": 1}",repeated and redundant actions,"The plan’s intent is understandable, but the trace repeats pharmacy actions, includes an odd enter-after-buy sequence, and claims a cafe meeting without a clearly credible budget-compatible path."
1,hard_budget_entangled_meet,social_outcome_hard,api_llm_plan_and_execute,0.385,0.45,0.778,0.35,,0.86,0.38,0.48,0.222,0.0,0.0,0.571,,1.0,0.222,1.0,1.0,0.0,0.222,1.0,0.082,0,0,1,9.498,7533,0.84,0.72,"{""invalid_state_transition"": 1, ""time_budget_failure"": 1}",missed time window and budget tension,"The plan sounds locally reasonable, but the sequence drifts past the meeting window and ends with an implausibly precarious budget state after a paid cafe stop."
1,hard_deadline_then_meet,social_outcome_hard,api_llm_react_tool_policy,1.0,0.8,0.889,0.711,,0.48,0.28,0.2,0.111,1.0,0.0,0.5,,1.0,0.111,1.0,1.0,1.0,0.111,0.0,0.0,0,0,10,74.763,86895,0.62,0.35,"{""done_state_loop"": 1, ""invalid_state_transition"": 1}",repeated and awkward service/entry sequencing,"The goal order is sensible, but the trace repeatedly enters and uses the pharmacy after already completing the pickup, and the cafe side includes contrived service evidence that makes the full behavior feel less believable."
1,hard_deadline_then_meet,social_outcome_hard,api_llm_plan_and_execute,0.5,0.5,0.875,0.438,,0.95,0.6,0.35,0.125,0.0,0.0,0.5,,1.0,0.125,1.0,1.0,0.0,0.125,0.0,0.075,0,0,1,41.403,7532,0.97,0.78,"{""invalid_state_transition"": 1}",missed meeting window,"The plan to handle the urgent pharmacy pickup first is sensible, and the reasons match the actions, but the sequence drifts past Ben's 13:00-13:15 window before the interaction occurs."
1,hard_full_evening_chain,social_outcome_hard,api_llm_react_tool_policy,0.571,0.55,0.7,0.385,,0.88,0.18,0.7,0.3,1.0,1.0,0.5,,1.0,0.3,1.0,1.0,1.0,0.3,0.0,0.18,0,0,11,75.707,98545,0.62,0.72,"{""done_state_loop"": 1, ""invalid_state_transition"": 3, ""social_derailment"": 1}",repetitive duplicated buys,"The plan structure is broadly plausible for a rushed evening, but the trace loses believability because it repeats the same grocery-buy action several times and then relies on awkward procedural filler rather than a clean progression."
1,hard_full_evening_chain,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,1.0,1.0,,0.92,0.81,0.11,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,9.781,7465,0.95,0.9,{},slightly compressed timing,"The plan sounds like a reasonable evening run with groceries, dinner, a timed diner meetup, and a return home, though the sequence is a bit tightly packed and the time accounting feels compressed in places."
1,hard_overlapping_windows,social_outcome_hard,api_llm_react_tool_policy,0.5,0.7,1.0,0.7,,0.9,0.45,0.45,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0,0,9,36.733,75581,0.93,0.72,"{""goal_drift"": 1, ""social_derailment"": 1}",late abandonment after missed window,"The plan and reasons sound sensible for prioritizing the earlier-closing park visit first, but the sequence then wastes time and explicitly abandons the second meeting after the cafe window has already closed."
1,hard_overlapping_windows,social_outcome_hard,api_llm_plan_and_execute,0.5,0.5,0.875,0.438,,0.86,0.46,0.4,0.125,0.0,1.0,0.5,,1.0,0.125,1.0,1.0,0.5,0.125,0.0,0.0,0,0,1,8.376,7485,0.95,0.62,"{""social_derailment"": 1, ""time_budget_failure"": 1}",missed cafe window timing,"The plan makes sense locally and the reasons match the moves, but the full trace drifts past Ben’s window and ends after the target time, so it reads as only partially successful urban behavior."
1,hard_stale_plan_override,social_outcome_hard,api_llm_react_tool_policy,0.333,0.4,0.5,0.2,,0.78,0.42,0.36,0.5,0.0,0.0,0.5,,1.0,0.5,1.0,1.0,0.5,0.5,0.0,0.28,0,0,9,137.222,76199,0.58,0.67,"{""invalid_state_transition"": 4}",repetitive evidence-seeking loop,"The update-aware move to the cafe and the late confirmation message are plausible, but the repeated interaction steps look like artificial evidence farming and the sequence misses the actual updated meeting window."
1,hard_stale_plan_override,social_outcome_hard,api_llm_plan_and_execute,0.333,0.4,0.833,0.333,,0.91,0.54,0.37,0.167,0.0,0.0,0.5,,1.0,0.167,1.0,1.0,0.5,0.167,0.0,0.077,0,0,1,6.948,7245,0.97,0.78,"{""invalid_state_transition"": 1}",arrives too late for stated window,"The actions and reasons are locally sensible for confirming and going to the updated cafe, but the sequence misses the stated 12:25-12:45 co-presence window and drifts past it, weakening full trace believability."
1,hard_three_meeting_relay,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,1.0,1.0,,0.97,0.91,0.06,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,14,97.316,123773,0.98,0.88,{},minor over-ritualized venue steps,"The trace reads like a sensible, time-aware urban coordination plan, and the stated reasons mostly match the actions, though the repeated enter/use_service/dwell pattern feels slightly formalized."
1,hard_three_meeting_relay,social_outcome_hard,api_llm_plan_and_execute,0.333,0.6,1.0,0.6,,0.8,0.45,0.35,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,0.333,0.0,0.0,0.0,0,0,1,22.441,8118,0.82,0.7,"{""goal_drift"": 1, ""social_derailment"": 1}",window timing slippage,"The plan sounds locally reasonable, but the trace drifts on timing, with the first two meetings slightly overshooting or compressing their windows and the venue-service steps feeling mechanically inserted."
