scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
hard_budget_entangled_meet,gatsim_official_planner,0.68,0.34,0.55,0.42,1.0,0.0,0.34,1.0,0.0,template-driven repetition,"The individual moves are city-like, but the trace reads like a generic planner script with repetitive reasons, an odd paid-cafe stay, and no real handling of the budget-entangled constraint beyond mechanically following steps."
hard_budget_entangled_meet,sotopia_official_llm_agent,0.46,0.14,0.18,0.22,0.75,0.0,0.32,0.2,0.25,nonsensical action sequencing,"The trace has some locally ordinary moves, but the buying and travel steps are incoherent, the cafe meeting never happens, and several actions look like placeholder or duplicate behavior rather than a believable city plan."
hard_budget_entangled_meet,generative_agents_official_planner,0.74,0.46,0.62,0.55,1.0,0.0,0.28,0.75,0.0,meeting omitted,"The medicine purchase and return home are locally sensible, but the trace stops before the required Casey meeting window and reads like an incomplete plan rather than full city behavior."
hard_budget_entangled_meet,agentsociety_official_plan_blocks,0.72,0.22,0.84,0.31,1.0,0.0,0.5,0.6,0.0,plan truncation before meeting and return,"The pharmacy trip and purchase are locally sensible, but the trace stops immediately after buying medicine and never attempts the promised cafe meeting or going home, so the full behavior reads as an incomplete stub rather than an urban plan."
hard_deadline_then_meet,gatsim_official_planner,0.58,0.22,0.48,0.31,1.0,0.0,0.36,1.0,0.0,deadline missed by route order,"The sequence reads like a generic plan with locally sensible actions, but it sends Aria to the cafe before the hard 12:35 pickup deadline, which breaks the scenario’s central ordering constraint and makes the full trace feel implausible."
hard_deadline_then_meet,sotopia_official_llm_agent,0.18,0.05,0.12,0.08,0.857,0.0,0.13,0.2,0.143,repeated pointless shuttle loop,"The trace shows repeated office-transit_hub bouncing that never advances the stated prescription deadline or the later cafe meeting, so it reads as implausible city behavior rather than a workable plan."
hard_deadline_then_meet,generative_agents_official_planner,0.46,0.33,0.98,0.41,0.556,0.0,0.13,0.5,0.444,idle dwell after arrival,"The prescription pickup happens before the deadline and the cafe visit is in the right time window, but the trace is padded with repeated dwell actions and contains an implausible no-op move start, which hurts overall behavioral realism."
hard_deadline_then_meet,agentsociety_official_plan_blocks,0.66,0.32,0.41,0.38,0.333,0.327,0.34,0.2,0.667,missed deadline then idle dwell,"The plan's target order is sensible, but the trace arrives at the pharmacy too late for the hard deadline and then inserts unexplained waiting, so the full behavior looks weak and only loosely aligned with the stated intention."
hard_full_evening_chain,gatsim_official_planner,0.84,0.58,0.42,0.73,1.0,0.0,0.26,1.0,0.0,template-driven reasoning,"The sequence looks like a plausible errands-then-dinner-then-home evening, but the stated reasons are generic planner boilerplate and the Casey meeting is handled as a vague interaction rather than a clear diner co-presence in the right window."
hard_full_evening_chain,sotopia_official_llm_agent,0.72,0.41,0.9,0.63,0.75,0.0,0.31,0.3,0.25,incomplete chain / premature stop,"The individual moves and diner visit are locally reasonable, but the trace ends early without showing the meeting with Casey or the return home, and it includes a suspicious buy action at the diner that does not match the scenario."
hard_full_evening_chain,generative_agents_official_planner,0.74,0.41,0.58,0.62,1.0,0.0,0.33,0.75,0.0,missed Casey meeting window,"The grocery-to-dinner-to-home sequence is ordinary enough, but the trace ends before any credible social meeting with Casey and never really uses the dinner window it was supposed to bridge."
hard_full_evening_chain,agentsociety_official_plan_blocks,0.86,0.78,0.92,0.8,0.889,0.0,0.08,0.45,0.111,timing drift,"The sequence is a plausible errands-plus-dinner evening with budget left, but the dinner and Casey meeting timing is a bit compressed and the final home timing drifts from the stated deadline framing."
hard_overlapping_windows,gatsim_official_planner,0.72,0.38,0.82,0.45,1.0,0.0,0.34,0.7,0.0,generic planner boilerplate,"The sequence is locally coherent and lands both meetings within the windows, but the reasons are formulaic and the behavior feels like scripted validator-chasing rather than ordinary urban planning."
