repeat_id,scenario_id,family,agent_type,task_completion,goal_completion,trace_feasibility,intention_consistency,replanning_success,judge_face_plausibility,judge_trace_believability,face_believability_gap,impossible_trace_rate,done_state_loop_rate,social_derailment_rate,constraint_satisfaction,process_success,plan_plausibility,plausibility_feasibility_gap,travel_efficiency,budget_consistency,social_appropriateness,feasibility_violation,city_false_continue,face_feasibility_gap,route_interruption_count,verified_replan_count,llm_calls,llm_latency_seconds,llm_total_tokens,judge_rationale_alignment,judge_urban_common_sense,failure_taxonomy,judge_main_issue,judge_brief_reason
1,social_copresence_decoy_location,social_outcome,api_llm_react_tool_policy,1.0,1.0,1.0,1.0,,0.97,0.74,0.23,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,7,53.249,62904,0.96,0.88,{},overly procedural venue logic,"The trace follows the stated intent well and reaches the right cafe on time, but the service/enter/interaction sequence feels a bit over-scripted compared with ordinary urban behavior."
1,social_copresence_decoy_location,social_outcome,api_llm_plan_and_execute,1.0,1.0,1.0,1.0,,0.96,0.91,0.05,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,12.579,8224,0.98,0.88,{},slight over-explanation,"The agent’s message, route choice, waiting, and in-person contact all fit the scenario well, with only minor narrative awkwardness in how explicitly it frames the meeting confirmation and service use."
1,social_copresence_decoy_location,social_outcome,gatsim_official_planner,0.0,0.15,0.556,0.083,,0.72,0.28,0.44,0.444,0.0,0.0,0.429,,1.0,0.444,1.0,1.0,0.0,0.444,0.0,0.164,0,0,5,51.456,54032,0.33,0.41,"{""invalid_state_transition"": 4}",scripted plan drift,"The trace reaches the right cafe and time window, but the repeated self-referential reasons, missing explicit confirmation with Ben, and awkward looping dwell/interact sequence make the full behavior feel scripted rather than natural."
1,social_copresence_decoy_location,social_outcome,sotopia_official_llm_agent,1.0,0.8,0.9,0.72,,0.89,0.58,0.31,0.1,0.0,0.0,0.429,,1.0,0.1,0.955,1.0,1.0,0.1,1.0,0.0,0,0,10,55.244,79401,0.76,0.8,"{""money_budget_failure"": 1}",redundant final messaging,"The agent follows a believable plan by contacting Ben and reaching the quiet cafe on time, but the sequence becomes slightly repetitive and drifted by repeated messages and an unnecessary buy/interact pattern."
1,social_copresence_decoy_location,social_outcome,generative_agents_official_planner,1.0,1.0,1.0,1.0,,0.91,0.52,0.39,0.0,0.0,0.0,1.0,,1.0,0.0,0.955,1.0,1.0,0.0,0.0,0.0,0,0,1,13.324,7924,0.88,0.7,{},unnecessary detour through wrong cafe,"The plan to message Ben and end up at the quiet cafe is plausible, but the sequence needlessly visits the central cafe and other intermediate locations, which makes the full trace feel less believable as a coherent urban errand."
1,social_copresence_decoy_location,social_outcome,agentsociety_official_plan_blocks,1.0,0.8,0.857,0.686,,0.92,0.87,0.05,0.143,0.0,0.0,0.429,,1.0,0.143,1.0,1.0,1.0,0.143,0.0,0.063,0,0,4,49.409,32924,0.98,0.9,"{""invalid_state_transition"": 1}",slightly scripted plan blocks,"The actions and reasons are coherent, match the stated intent, and describe a believable trip-and-meet sequence, though the trace reads a bit mechanically as an execution of prewritten steps."
1,social_copresence_event_window,social_outcome,api_llm_react_tool_policy,1.0,1.0,1.0,1.0,,0.95,0.88,0.07,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,6,30.847,52065,0.97,0.9,{},minor over-explanation,"The trace reads like a reasonable, goal-directed attempt to reach and meet Casey in time, with the only slight weakness being that it spells out success too explicitly at the end."
1,social_copresence_event_window,social_outcome,api_llm_plan_and_execute,1.0,1.0,1.0,1.0,,0.93,0.61,0.32,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,10.643,8149,0.98,0.82,{},premature timing and redundant steps,"The plan sounds locally reasonable and the reasons match the actions, but it reaches the market very early, adds unnecessary dwell/enter/buy steps, and the trace is a bit over-scripted for a short social window."
1,social_copresence_event_window,social_outcome,gatsim_official_planner,1.0,1.0,1.0,1.0,,0.88,0.42,0.46,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,10.657,10363,0.93,0.62,{},late arrival misses the window,"The plan sounds locally coherent and the reasons match the actions, but the trace spends too long on unrelated steps and reaches Casey only at the edge of or after the short meeting window."
1,social_copresence_event_window,social_outcome,sotopia_official_llm_agent,0.0,0.2,0.833,0.167,,0.9,0.35,0.55,0.167,0.0,0.0,0.4,,1.0,0.167,0.548,1.0,0.0,0.167,1.0,0.067,0,0,7,35.077,54295,0.2,0.4,"{""money_budget_failure"": 1}",generic physical-action filler,"The movement to the market in time is plausible, but the trace is dominated by placeholder actions and the reasons do not explain any actual attempt to meet Casey."
1,social_copresence_event_window,social_outcome,generative_agents_official_planner,0.0,0.2,0.8,0.16,,0.87,0.28,0.59,0.2,0.0,0.0,0.4,,1.0,0.2,1.0,1.0,0.0,0.2,0.0,0.07,0,0,3,26.39,21334,0.72,0.31,"{""invalid_state_transition"": 1}",adapter-driven drift and late sequence,"The actions sound like a reasonable trip to the market and meeting Casey, but the trace is undermined by generic adapter reasons, an odd detour to city hall, and a sequence that looks more like scripted fallback than purposeful city behavior."
1,social_copresence_event_window,social_outcome,agentsociety_official_plan_blocks,1.0,1.0,1.0,1.0,,0.91,0.56,0.35,0.0,0.0,0.0,1.0,,1.0,0.0,0.548,1.0,1.0,0.0,0.0,0.0,0,0,2,18.842,16138,0.98,0.72,{},late-arrival window drift,"The plan to travel to the market and meet Casey is locally sensible and the reasons match the actions, but the sequence is more of a scripted transit chain than natural city behavior and it barely uses the brief social window."
1,social_copresence_message_gated,social_outcome,api_llm_react_tool_policy,1.0,1.0,1.0,1.0,,0.86,0.81,0.05,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,7,42.175,62518,0.98,0.84,{},slightly over-scripted meeting sequence,"The trace matches the stated goal and scenario well, with a realistic confirm-then-meet flow, though the service/interaction steps feel a bit overly formalized for ordinary urban behavior."
