group,comparison,x_metric,y_metric,n,pearson_r,spearman_rho
all,face_vs_task,judge_face_plausibility,task_completion,48,-0.207,-0.132
all,face_vs_feasibility,judge_face_plausibility,trace_feasibility,48,-0.166,-0.245
all,trace_believability_vs_task,judge_trace_believability,task_completion,48,0.041,-0.003
all,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,48,-0.129,-0.248
agentsociety_official_plan_blocks,face_vs_task,judge_face_plausibility,task_completion,12,0.158,0.115
agentsociety_official_plan_blocks,face_vs_feasibility,judge_face_plausibility,trace_feasibility,12,0.467,0.469
agentsociety_official_plan_blocks,trace_believability_vs_task,judge_trace_believability,task_completion,12,0.48,0.478
agentsociety_official_plan_blocks,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,12,0.531,0.621
gatsim_official_planner,face_vs_task,judge_face_plausibility,task_completion,12,0.01,0.106
gatsim_official_planner,face_vs_feasibility,judge_face_plausibility,trace_feasibility,12,-0.319,-0.503
gatsim_official_planner,trace_believability_vs_task,judge_trace_believability,task_completion,12,0.19,0.206
gatsim_official_planner,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,12,-0.171,-0.404
generative_agents_official_planner,face_vs_task,judge_face_plausibility,task_completion,12,-0.188,-0.135
generative_agents_official_planner,face_vs_feasibility,judge_face_plausibility,trace_feasibility,12,0.322,0.266
generative_agents_official_planner,trace_believability_vs_task,judge_trace_believability,task_completion,12,0.004,-0.011
generative_agents_official_planner,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,12,0.367,0.405
sotopia_official_llm_agent,face_vs_task,judge_face_plausibility,task_completion,12,0.07,0.12
sotopia_official_llm_agent,face_vs_feasibility,judge_face_plausibility,trace_feasibility,12,-0.285,-0.341
sotopia_official_llm_agent,trace_believability_vs_task,judge_trace_believability,task_completion,12,-0.051,0.069
sotopia_official_llm_agent,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,12,-0.55,-0.509
within_scenario_agent,face_vs_task,judge_face_plausibility,task_completion,48,,
within_scenario_agent,face_vs_feasibility,judge_face_plausibility,trace_feasibility,48,,
within_scenario_agent,trace_believability_vs_task,judge_trace_believability,task_completion,48,,
within_scenario_agent,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,48,,
