group,comparison,x_metric,y_metric,n,pearson_r,spearman_rho
all,face_vs_task,judge_face_plausibility,task_completion,18,0.074,0.323
all,face_vs_feasibility,judge_face_plausibility,trace_feasibility,18,0.052,0.29
all,trace_believability_vs_task,judge_trace_believability,task_completion,18,0.177,0.216
all,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,18,0.155,0.191
agentsociety_official_plan_blocks,face_vs_task,judge_face_plausibility,task_completion,6,0.945,0.828
agentsociety_official_plan_blocks,face_vs_feasibility,judge_face_plausibility,trace_feasibility,6,0.903,0.88
agentsociety_official_plan_blocks,trace_believability_vs_task,judge_trace_believability,task_completion,6,0.912,0.84
agentsociety_official_plan_blocks,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,6,0.908,0.893
gatsim_official_planner,face_vs_task,judge_face_plausibility,task_completion,6,,
gatsim_official_planner,face_vs_feasibility,judge_face_plausibility,trace_feasibility,6,,
gatsim_official_planner,trace_believability_vs_task,judge_trace_believability,task_completion,6,,
gatsim_official_planner,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,6,,
generative_agents_official_planner,face_vs_task,judge_face_plausibility,task_completion,6,0.865,0.891
generative_agents_official_planner,face_vs_feasibility,judge_face_plausibility,trace_feasibility,6,0.898,0.893
generative_agents_official_planner,trace_believability_vs_task,judge_trace_believability,task_completion,6,0.945,0.878
generative_agents_official_planner,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,6,0.986,0.941
within_scenario_agent,face_vs_task,judge_face_plausibility,task_completion,18,0.268,0.409
within_scenario_agent,face_vs_feasibility,judge_face_plausibility,trace_feasibility,18,0.306,0.284
within_scenario_agent,trace_believability_vs_task,judge_trace_believability,task_completion,18,0.463,0.407
within_scenario_agent,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,18,0.621,0.527
