corpus_tier,shortlist_id,system_name,system_family,paper_refs,year,agent_count,environment_side_representation,agent_accessible_representation,representation_gap_note,behavioral_scale,behavior_type,evidence_status,spatial_behavior_coupling,evaluation_method,space_syntax_construct,local_pdf_status,local_artifact_path,evidence_completeness,current_gap_flag,next_coding_action,coding_readiness,source_basis
Adjacent,HC01,"TravelAgent: Generative agents in the built environment",TravelAgent,Noyman2025,2025,1,3D_engine,L5,"Full text confirms rich agent-facing visual, depth, collision, discovery-map, compass, and spatial-memory inputs, but current experiments are single-agent navigation and wayfinding rather than multi-agent social simulation.",local_action,"mobility; other",observed_effect,explicit,mixed,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/00_HC01_TravelAgent_Noyman2025.pdf,fulltext_reviewed_boundary_issue,single_agent_boundary_not_core,move_to_adjacent_evidence_or_keep_as_nonclaim_boundary_anchor,boundary_adjudicated,local_pdf_arxiv_preprint_fulltext
Core,HC02,"Generative Agents: Interactive Simulacra of Human Behavior","Generative Agents",Park2023,2023,10-100,2D_grid,L3,"Environment is richer than agent-facing text summaries; current seed treats co-presence and local reachability as L3 rather than geometry.",emergent_social_structure,"dialogue; cooperation; mobility",designed_affordance_only,explicit,mixed,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/01_Generative_Agents_Park2023.pdf,paper_level_seed_ready,none,ready_for_first_pass_coding,ready,local_pdf_and_reading_note
Core,HC03,"Generative agent-based modeling with actions grounded in physical, social, or digital space using Concordia",Concordia,Vezhnevets2023,2023,pending_split,mixed_pending_split,mixed_L3_to_L5_split_required,"Concordia is a framework family. GM components can expose player-specific location state, but the paper spans physical, social, and digital configurations that should not be flattened into one paper-level L value.",mixed,"dialogue; cooperation; conflict; mobility; other",designed_affordance_only,explicit,none,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/05_Concordia_Vezhnevets2023.pdf,fulltext_adjudicated_split_required,split_required_before_coding,create_concordia_config_rows_then_code,split_required,local_pdf_ocr_and_gap_audit
Core,HC04,"Affordable Generative Agents","Affordable Generative Agents",Yu2024,2024,10-100,2D_grid,L3,"Paper reuses Stanford Town style social simulation; current seed codes the canonical town setting and does not yet split secondary environment variants.",mixed,"dialogue; cooperation; mobility",designed_affordance_only,explicit,mixed,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/02_Affordable_Generative_Agents_Yu2024.pdf,paper_level_seed_ready,none,ready_for_first_pass_coding,ready,local_pdf_and_reading_note
Core,HC05,"Artificial Leviathan: Exploring Social Evolution of LLM Agents Through the Lens of Hobbesian Social Contract Theory","Artificial Leviathan",Dai2024,2024,10-100,text-only,L3,"Shared sandbox structure appears weakly specified; current seed treats space as background context rather than a formal geometry channel.",emergent_social_structure,"cooperation; conflict; role_differentiation; norm_formation",designed_affordance_only,implicit,auto_metric,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/04_Artificial_Leviathan_Dai2024.pdf,paper_level_seed_ready,none,ready_for_first_pass_coding,ready,local_pdf_and_reading_note
Core,HC06,"Project Sid: Many-agent simulations toward AI civilization","Project Sid",Altera2024,2024,100+,3D_engine,L5,"Appendix and configuration examples expose coordinate-bearing village memories and explicit spawn_location x/y/z fields, so the agent-facing interface includes direct spatial coordinates rather than only text summaries.",emergent_social_structure,"cooperation; conflict; mobility; role_differentiation; norm_formation",designed_affordance_only,explicit,mixed,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/03_Project_Sid_Altera2024.pdf,fulltext_repr_adjudicated,none,ready_for_first_pass_coding,ready,local_pdf_ocr_and_reading_note
Core,HC07,"OASIS: Open Agent Social Interaction Simulations with One Million Agents",OASIS,Yang2024_OASIS,2024,100+,graph_based,L3,"Digital platform environment is structurally richer than the current L3 seed; keep boundary handling separate from representation coding.",emergent_social_structure,"dialogue; cooperation; conflict; other",observed_effect,explicit,auto_metric,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/06_OASIS_Yang2024.pdf,paper_level_seed_ready,boundary_exception_anchor,ready_for_first_pass_coding_with_boundary_note,ready,local_pdf_and_boundary_note
Core,HC08,"Lyfe Agents: Generative agents for low-cost real-time social interactions","Lyfe Agents",LyfeAgents2023,2023,10-100,3D_engine,L3,"A 3D world exists but current evidence indicates text-mediated local observations; do not upgrade to L5 without prompt or API evidence.",interaction,"dialogue; cooperation; mobility",designed_affordance_only,explicit,mixed,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/09_HC08_Lyfe_Agents.pdf,paper_level_seed_ready,none,ready_for_first_pass_coding,ready,local_pdf_partial_review
Core,HC09,"Spontaneous Emergence of Agent Individuality Through Social Interactions in Large Language Model-Based Communities","Spontaneous Emergence",SpontaneousEmergence2024,2024,2-10,2D_grid,L3,"Local grid adjacency is explicit; no evidence yet that agents receive global layout metrics beyond neighborhood and co-presence.",emergent_social_structure,"cooperation; mobility; role_differentiation; norm_formation",observed_effect,explicit,auto_metric,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/10_HC09_Spontaneous_Emergence.pdf,paper_level_seed_ready,none,ready_for_first_pass_coding,ready,local_pdf_partial_review
Core,HC10,"Real world community oriented high-definition social simulation: Combining reinforcement learning and large language models","Real World Community Oriented HD Social Simulation",RealWorldCommunity2026,2026,100+,3D_engine,L3,"The GIS/BIM/Unreal community model is backend-rich, but the method section exposes categorical observations centered on time, action, last action, location, and last location rather than direct geometry.",emergent_social_structure,"cooperation; mobility; role_differentiation; other",observed_effect,explicit,mixed,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/11_HC10_Real_World_Community_Oriented.pdf,fulltext_repr_adjudicated,none,ready_for_first_pass_coding,ready,local_pdf_page_review
