audit_id,image_filename,church_id,assigned_style_id,assigned_style,sample_type,all_style_ids,box_count,group_count,median_relative_area,official_labels
WC-AUD-001,Q7592992_wd0.jpg,Q7592992,Q46261,Romanesque,core,Q46261,3,3,0.013828201259202724,Coupled Twin Window|Round Arch Portal|Round Arch Window
WC-AUD-002,Q269654_wd0.jpg,Q269654,Q176483,Gothic,core,Q176483,6,4,0.012123669302395095,Fleuron|Pinnacle|Pointed Arch Portal|Pointed Arch Window|Tracery|Wimperg
WC-AUD-003,Q1244300_wd0.jpg,Q1244300,Q46261,Romanesque,core,Q46261,1,1,0.00506625154544315,Coupled Twin Window
WC-AUD-004,Q24254219_wd0.jpg,Q24254219,Q840829,Baroque,core,Q840829,2,2,0.04334160245666377,Cranked Pediment|Pilaster
WC-AUD-005,Q571958_wd0.jpg,Q571958,Q840829,Baroque,core,Q840829,2,2,0.004254547869457194,Balustrade|Volute
WC-AUD-006,Q3585960_wd0.jpg,Q3585960,Q236122,Renaissance,core,Q236122,5,5,0.029232864432632732,Belt Course|Broken Pediment|Cranked Cornice|Round Arch Niche|Triangular Pediment
WC-AUD-007,Q19961145_wd0.jpg,Q19961145,Q840829,Baroque,core,Q840829,3,3,0.001371842563365574,Balustrade|Segmental Pediment|Volute
WC-AUD-008,Q1191343_wd0.jpg,Q1191343,Q840829,Baroque,core,Q840829,1,1,0.008990812601772818,Pilaster
WC-AUD-009,Q671066_wd0.jpg,Q671066,Q176483,Gothic,core,Q176483,5,3,0.008384289529430709,Buttress|Buttress Arch|Pinnacle|Pointed Arch Window|Tracery
WC-AUD-010,Q2321838_wd0.jpg,Q2321838,Q46261,Romanesque,core,Q46261,1,1,0.006022439162730412,Coupled Twin Window
WC-AUD-011,Q289414_wd0.jpg,Q289414,Q236122,Renaissance,stress,Q236122,5,5,0.010137716344082087,Pilaster|Projecting Cornice|Segmental Pediment|Triangular Pediment|Welsh Dome
WC-AUD-012,Q1351448_wd0.jpg,Q1351448,Q840829,Baroque,core,Q840829,1,1,0.014878890615899787,Broken/Cranked Pediment
WC-AUD-013,Q5886455_wd0.jpg,Q5886455,Q176483,Gothic,core,Q176483,4,2,0.04370826192405845,Buttress|Pointed Arch Window|Tracery|Trefoil
WC-AUD-014,Q579004_wd0.jpg,Q579004,Q46261,Romanesque,stress,Q176483|Q46261,8,7,0.003466531975674783,Blind Window|Lancet Window|Pinnacle|Pointed Arch Frieze|Pointed Arch Portal|Pointed Arch Window|Quatrefoil|Tracery
WC-AUD-015,Q1424095_wd0.jpg,Q1424095,Q236122,Renaissance,core,Q236122,3,3,0.06798109777447817,Pilaster|Triangular Pediment|Volute
WC-AUD-016,Q1736223_wd0.jpg,Q1736223,Q176483,Gothic,stress,Q176483,8,8,0.007450900906715605,Blind Window|Buttress|Lancet Window|Pointed Arch|Quatrefoil|Sexfoil|Tracery Rose Window|Wimperg
WC-AUD-017,Q1165020_wd0.jpg,Q1165020,Q236122,Renaissance,core,Q236122,6,6,0.01295798884128958,Pilaster|Projecting Cornice|Round Arch Niche|Segmental Pediment|Triangular Pediment|Volute
WC-AUD-018,Q15978817_wd0.jpg,Q15978817,Q46261,Romanesque,stress,Q46261,7,7,0.00563608525264056,Archivolted Portal|Bull's-eye Window|Coupled Column|Dentil|Lesene|Lombard Band|Saw-tooth Frieze
WC-AUD-019,Q253935_wd0.jpg,Q253935,Q46261,Romanesque,core,Q46261,8,8,0.0031316685637317624,Arcade Window|Blind Arch|Conical Roof|Dwarf Gallery|Lombard Band|Quatrefoil|Round Arch Window|Twin Window
