task_id,task_family,model,success,expected_answer,predicted_answer,correct,location,metric_dimension,description_stub
rev_archive_room_integration,reverse_inference_audit,gpt54,True,mid,high,False,archive_room,integration,archive_room：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_archive_room_mean_depth,reverse_inference_audit,gpt54,True,high,low,False,archive_room,mean_depth,archive_room：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_archive_room_control_value,reverse_inference_audit,gpt54,True,high,low,False,archive_room,control_value,archive_room：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_east_arcade_integration,reverse_inference_audit,gpt54,True,high,high,True,east_arcade,integration,east_arcade：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_east_arcade_mean_depth,reverse_inference_audit,gpt54,True,low,low,True,east_arcade,mean_depth,east_arcade：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_east_arcade_control_value,reverse_inference_audit,gpt54,True,mid,low,False,east_arcade,control_value,east_arcade：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_garden_nook_integration,reverse_inference_audit,gpt54,True,mid,mid,True,garden_nook,integration,garden_nook：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_garden_nook_mean_depth,reverse_inference_audit,gpt54,True,high,mid,False,garden_nook,mean_depth,garden_nook：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_garden_nook_control_value,reverse_inference_audit,gpt54,True,high,low,False,garden_nook,control_value,garden_nook：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_guard_tower_integration,reverse_inference_audit,gpt54,True,low,high,False,guard_tower,integration,guard_tower：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_guard_tower_mean_depth,reverse_inference_audit,gpt54,True,high,low,False,guard_tower,mean_depth,guard_tower：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_guard_tower_control_value,reverse_inference_audit,gpt54,True,low,low,True,guard_tower,control_value,guard_tower：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_guild_hall_integration,reverse_inference_audit,gpt54,True,high,high,True,guild_hall,integration,guild_hall：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_guild_hall_mean_depth,reverse_inference_audit,gpt54,True,mid,low,False,guild_hall,mean_depth,guild_hall：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
