scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
closed_study_spot_replacement,gatsim_official_planner,0.93,0.58,0.72,0.61,0.875,0.055,0.35,1.0,0.125,redundant detour to a second paid venue,"The bookstore replacement and a quiet cafe fallback are locally plausible, but the sequence looks oddly repetitive and inefficient, with a second paid stop that is not clearly needed for the goal."
closed_study_spot_replacement,sotopia_official_llm_agent,0.91,0.58,0.18,0.74,0.75,0.16,0.33,0.7,0.25,generic placeholder actions and weak reasoning,"The sequence is locally plausible as a person relocating to a bookstore for study, but the trace is thinly explained, contains an odd long 'buy' step, and the stated reasons do not really connect to the actions or scenario."
closed_study_spot_replacement,generative_agents_official_planner,0.72,0.38,0.18,0.7,0.8,0.0,0.34,1.0,0.2,generic adapter reasons and time drift,"The choice of a bookstore as a quiet fallback is plausible, but the trace gives only generic adapter reasons, includes an unexplained extra buy, and then overdwells past the episode window without showing a realistic work progression."
closed_study_spot_replacement,agentsociety_official_plan_blocks,0.93,0.78,0.95,0.9,1.0,0.0,0.15,1.0,0.0,abbreviated work block,"The sequence is a sensible replacement plan: Aria heads to a nearby bookstore, pays for access, and works quietly there without entering the closed library, though the trace ends a bit early and only clearly covers about an hour of focus time."
detour_commute_midroute_block,gatsim_official_planner,0.08,0.02,0.05,0.12,0.875,0.0,0.06,0.3,0.125,irrelevant activity-plan drift,"The agent spends the whole episode following a generic activity plan to gym, park, cafe, and library instead of reacting to the commute disruption or heading to the office, so the behavior is not believable as this city commute scenario."
detour_commute_midroute_block,sotopia_official_llm_agent,0.56,0.22,0.14,0.35,1.0,0.0,0.34,0.45,0.0,nonresponsive route wandering,"The commute path is superficially like a detour, but the sequence ignores the alert timing, gives no meaningful replanning, and includes arbitrary intermediate moves that do not clearly support reaching the office."
detour_commute_midroute_block,generative_agents_official_planner,0.74,0.32,0.08,0.41,1.0,0.0,0.42,0.8,0.0,generic adapter actions,"The route itself is plausible, but the trace is dominated by placeholder actions and reasons that do not explain the detour, the alert, or the commute logic, so the full behavior feels weakly believable."
detour_commute_midroute_block,agentsociety_official_plan_blocks,0.34,0.18,0.22,0.28,1.0,0.0,0.16,0.45,0.0,generic unrelated itinerary,"The trace reads like a canned sequence of place-to-place moves that does not respond to the transit alert or the commute goal, so it is only weakly believable as urban behavior."
meeting_wait_trap,gatsim_official_planner,0.78,0.42,0.88,0.67,0.75,0.03,0.36,0.15,0.25,goal drift and looped waiting,"The individual actions sound like a plausible lunch-meeting routine, but the sequence wastes time at one cafe, then returns to the office without clear evidence of coordinating with Ben or completing the intended meeting objective."
meeting_wait_trap,sotopia_official_llm_agent,0.92,0.24,0.9,0.76,1.0,0.0,0.68,0.55,0.0,stops after messaging,"The initial message is a plausible lunch coordination move, but the trace ends immediately instead of following through on travel or co-presence during the meeting window."
meeting_wait_trap,generative_agents_official_planner,0.88,0.42,0.84,0.81,1.0,0.0,0.46,0.55,0.0,waiting without coordination,"The actions sound like a reasonable lunch-meeting attempt, but the trace drifts into long idle waiting at the cafe and never shows a successful meeting with Ben during the target window."
meeting_wait_trap,agentsociety_official_plan_blocks,0.84,0.41,0.88,0.62,0.7,0.14,0.43,0.35,0.3,waiting loop without coordination outcome,"The individual actions sound like a reasonable lunch coordination attempt, but the trace mostly oscillates between waiting and re-messaging at Cafe Central without ever establishing co-presence or a verified plan with Ben."
school_pickup_social_detour,gatsim_official_planner,0.08,0.03,0.96,0.07,1.0,0.0,0.05,1.0,0.0,planner-script detour,"The stated goal is school pickup, but the trace immediately follows a generic planner script to finish at school without any realistic response to the social invitation or time pressure."
school_pickup_social_detour,sotopia_official_llm_agent,0.78,0.28,0.62,0.31,0.833,0.0,0.5,1.0,0.167,repeated and pointless school action,"The route to school is locally plausible, but the trace then redundantly re-enters and re-serves the school, which makes the full sequence look confused and behaviorally unnatural."
school_pickup_social_detour,generative_agents_official_planner,0.82,0.38,0.74,0.69,1.0,0.0,0.44,1.0,0.0,idle dwell after pickup,"The route and brief refusal to Ben are plausible, but the trace then idles at school for 15 minutes and ends without any clear completion beyond that, which weakens full-sequence believability."
school_pickup_social_detour,agentsociety_official_plan_blocks,0.79,0.41,0.83,0.62,0.75,0.04,0.38,1.0,0.25,repeated idle social detour,"The actions and reasons sound like a reasonable rush-hour pickup decision, but the trace drifts into repeated Ben-related interaction and unnecessary dwell after the pickup is already on track."
