scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
hard_budget_entangled_meet,api_llm_react_tool_policy,0.93,0.96,0.97,0.9,1.0,0.0,0.0,1.0,0.0,none,"The sequence reads like a sensible city errand and meeting plan, with timings and reasons that mostly match the scenario and no obvious behavioral contradictions."
hard_budget_entangled_meet,api_llm_plan_and_execute,0.76,0.48,0.72,0.68,1.0,0.0,0.28,0.6,0.0,missed meeting window and deadline drift,"The plan is locally reasonable, but the timing slips past the stated meeting window and return deadline, so the full trace reads as only partially believable urban behavior."
hard_deadline_then_meet,api_llm_react_tool_policy,0.96,0.91,0.98,0.88,1.0,0.0,0.05,1.0,0.0,slight over-structured service use,"The sequence cleanly prioritizes the far-away deadline first, then waits and meets Ben in the correct time window, and the stated reasons match the actions throughout."
hard_deadline_then_meet,api_llm_plan_and_execute,0.78,0.34,0.72,0.41,1.0,0.0,0.44,0.7,0.0,wandering route and missed meeting window,"The intent and the early pharmacy trip are plausible, but the route becomes oddly circuitous and the trace ends before any believable arrival at the cafe meeting, so the full behavior feels weak."
hard_full_evening_chain,api_llm_react_tool_policy,0.92,0.78,0.94,0.88,1.0,0.0,0.14,1.0,0.0,tight timing chain,"The sequence reads like a reasonable evening errand chain, and the stated reasons match the actions well, though the compressed timing and perfect window capture make the full trace feel somewhat engineered."
hard_full_evening_chain,api_llm_plan_and_execute,0.86,0.38,0.82,0.55,1.0,0.0,0.48,0.85,0.0,incomplete return home,"The plan sounds locally reasonable for a busy evening, but the trace stops with Aria still at the gym and never shows the final trip home before the deadline."
hard_overlapping_windows,api_llm_react_tool_policy,0.86,0.78,0.92,0.8,1.0,0.0,0.08,0.7,0.0,slight sequencing drift,"The plan and reasons are locally coherent and match the scenario, but the Ben meeting runs past the stated window by a few minutes, which makes the full trace a bit less believable than the individual steps."
hard_overlapping_windows,api_llm_plan_and_execute,0.86,0.18,0.55,0.32,0.857,0.003,0.68,0.5,0.143,timeline inconsistency,"The plan sounds reasonable at a glance, but the full trace breaks its own timing by reaching the cafe at 12:57, then claiming Ben is still available after 13:00 while also overstating the arrival time."
hard_stale_plan_override,api_llm_react_tool_policy,0.84,0.56,0.91,0.73,1.0,0.0,0.28,1.0,0.0,over-optimized scripted sequence,"The individual actions make sense for confirming a changed meeting and getting to the updated location, but the full trace feels a bit scripted and assumption-heavy, especially the immediate arrival and interaction without any explicit reply from Ben."
hard_stale_plan_override,api_llm_plan_and_execute,0.83,0.62,0.88,0.79,1.0,0.0,0.21,0.6,0.0,timing drift after update,"The actions are locally sensible for confirming a changed meeting, but the sequence still leans on a stale update and then overshoots the meeting window, which weakens the full trace."
hard_three_meeting_relay,api_llm_react_tool_policy,0.96,0.93,0.98,0.88,1.0,0.0,0.03,1.0,0.0,slightly scripted co-presence narration,"The sequence is locally coherent and the timing, travel, and venue choices all match the stated relay plan, though the trace reads a bit overly mechanical in how it describes meeting evidence."
hard_three_meeting_relay,api_llm_plan_and_execute,0.97,0.66,0.71,0.62,0.923,0.047,0.31,0.6,0.077,timeline inconsistency,"The plan sounds like a reasonable city errand relay, but the timing drifts internally, with the Ben meeting starting before its stated window and several travel/wait segments appearing padded or inconsistent."
