repeat_id,scenario_id,family,agent_type,task_completion,goal_completion,trace_feasibility,intention_consistency,replanning_success,judge_face_plausibility,judge_trace_believability,face_believability_gap,impossible_trace_rate,done_state_loop_rate,social_derailment_rate,constraint_satisfaction,process_success,plan_plausibility,plausibility_feasibility_gap,travel_efficiency,budget_consistency,social_appropriateness,feasibility_violation,city_false_continue,face_feasibility_gap,route_interruption_count,verified_replan_count,llm_calls,llm_latency_seconds,llm_total_tokens,judge_rationale_alignment,judge_urban_common_sense,failure_taxonomy,judge_main_issue,judge_brief_reason
1,hard_budget_entangled_meet,social_outcome_hard,gatsim_official_planner,1.0,1.0,1.0,1.0,,0.68,0.34,0.34,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,13.075,9221,0.55,0.42,{},template-driven repetition,"The individual moves are city-like, but the trace reads like a generic planner script with repetitive reasons, an odd paid-cafe stay, and no real handling of the budget-entangled constraint beyond mechanically following steps."
1,hard_budget_entangled_meet,social_outcome_hard,sotopia_official_llm_agent,0.0,0.2,0.75,0.15,,0.46,0.14,0.32,0.25,1.0,0.0,0.571,,1.0,0.25,0.842,1.0,0.0,0.25,0.0,0.0,0,0,12,134.072,87131,0.18,0.22,"{""done_state_loop"": 1, ""invalid_state_transition"": 3}",nonsensical action sequencing,"The trace has some locally ordinary moves, but the buying and travel steps are incoherent, the cafe meeting never happens, and several actions look like placeholder or duplicate behavior rather than a believable city plan."
1,hard_budget_entangled_meet,social_outcome_hard,generative_agents_official_planner,0.615,0.75,1.0,0.75,,0.74,0.46,0.28,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,12.667,6863,0.62,0.55,{},meeting omitted,"The medicine purchase and return home are locally sensible, but the trace stops before the required Casey meeting window and reads like an incomplete plan rather than full city behavior."
1,hard_budget_entangled_meet,social_outcome_hard,agentsociety_official_plan_blocks,0.385,0.6,1.0,0.6,,0.72,0.22,0.5,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,2,11.944,14032,0.84,0.31,"{""goal_drift"": 1}",plan truncation before meeting and return,"The pharmacy trip and purchase are locally sensible, but the trace stops immediately after buying medicine and never attempts the promised cafe meeting or going home, so the full behavior reads as an incomplete stub rather than an urban plan."
1,hard_deadline_then_meet,social_outcome_hard,gatsim_official_planner,1.0,1.0,1.0,1.0,,0.58,0.22,0.36,0.0,0.0,0.0,1.0,,1.0,0.0,0.65,1.0,1.0,0.0,0.0,0.0,0,0,1,13.857,9352,0.48,0.31,{},deadline missed by route order,"The sequence reads like a generic plan with locally sensible actions, but it sends Aria to the cafe before the hard 12:35 pickup deadline, which breaks the scenario’s central ordering constraint and makes the full trace feel implausible."
1,hard_deadline_then_meet,social_outcome_hard,sotopia_official_llm_agent,0.0,0.2,0.857,0.171,,0.18,0.05,0.13,0.143,0.0,0.0,0.5,,1.0,0.143,0.371,1.0,0.0,0.143,0.0,0.0,0,0,7,33.994,48219,0.12,0.08,"{""time_budget_failure"": 1}",repeated pointless shuttle loop,"The trace shows repeated office-transit_hub bouncing that never advances the stated prescription deadline or the later cafe meeting, so it reads as implausible city behavior rather than a workable plan."
1,hard_deadline_then_meet,social_outcome_hard,generative_agents_official_planner,0.5,0.5,0.556,0.278,,0.46,0.33,0.13,0.444,0.0,0.0,0.5,,1.0,0.444,1.0,1.0,0.0,0.444,1.0,0.0,0,0,7,52.702,42915,0.98,0.41,"{""impossible_route"": 1, ""money_budget_failure"": 3}",idle dwell after arrival,"The prescription pickup happens before the deadline and the cafe visit is in the right time window, but the trace is padded with repeated dwell actions and contains an implausible no-op move start, which hurts overall behavioral realism."
1,hard_deadline_then_meet,social_outcome_hard,agentsociety_official_plan_blocks,0.0,0.2,0.333,0.067,,0.66,0.32,0.34,0.667,0.0,0.0,0.5,,1.0,0.667,0.848,1.0,0.0,0.667,1.0,0.327,0,0,10,93.571,72116,0.41,0.38,"{""invalid_state_transition"": 3, ""money_budget_failure"": 2, ""time_budget_failure"": 1}",missed deadline then idle dwell,"The plan's target order is sensible, but the trace arrives at the pharmacy too late for the hard deadline and then inserts unexplained waiting, so the full behavior looks weak and only loosely aligned with the stated intention."
1,hard_full_evening_chain,social_outcome_hard,gatsim_official_planner,1.0,1.0,1.0,1.0,,0.84,0.58,0.26,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,12.981,9425,0.42,0.73,{},template-driven reasoning,"The sequence looks like a plausible errands-then-dinner-then-home evening, but the stated reasons are generic planner boilerplate and the Casey meeting is handled as a vague interaction rather than a clear diner co-presence in the right window."
1,hard_full_evening_chain,social_outcome_hard,sotopia_official_llm_agent,0.214,0.3,0.75,0.225,,0.72,0.41,0.31,0.25,1.0,0.0,0.5,,1.0,0.25,1.0,1.0,0.0,0.25,0.0,0.0,0,0,9,51.401,64126,0.9,0.63,"{""done_state_loop"": 1, ""invalid_state_transition"": 2}",incomplete chain / premature stop,"The individual moves and diner visit are locally reasonable, but the trace ends early without showing the meeting with Casey or the return home, and it includes a suspicious buy action at the diner that does not match the scenario."
1,hard_full_evening_chain,social_outcome_hard,generative_agents_official_planner,0.643,0.75,1.0,0.75,,0.74,0.41,0.33,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,15.5,7010,0.58,0.62,{},missed Casey meeting window,"The grocery-to-dinner-to-home sequence is ordinary enough, but the trace ends before any credible social meeting with Casey and never really uses the dinner window it was supposed to bridge."
1,hard_full_evening_chain,social_outcome_hard,agentsociety_official_plan_blocks,0.429,0.45,0.889,0.4,,0.86,0.78,0.08,0.111,0.0,0.0,0.5,,1.0,0.111,1.0,1.0,0.0,0.111,0.0,0.0,0,0,4,50.535,29048,0.92,0.8,"{""invalid_state_transition"": 1}",timing drift,"The sequence is a plausible errands-plus-dinner evening with budget left, but the dinner and Casey meeting timing is a bit compressed and the final home timing drifts from the stated deadline framing."
1,hard_overlapping_windows,social_outcome_hard,gatsim_official_planner,0.5,0.7,1.0,0.7,,0.72,0.38,0.34,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0,0,1,8.663,9236,0.82,0.45,"{""goal_drift"": 1, ""social_derailment"": 1}",generic planner boilerplate,"The sequence is locally coherent and lands both meetings within the windows, but the reasons are formulaic and the behavior feels like scripted validator-chasing rather than ordinary urban planning."
1,hard_overlapping_windows,social_outcome_hard,sotopia_official_llm_agent,0.0,0.4,1.0,0.4,,0.63,0.38,0.25,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,4,27.282,27347,0.52,0.55,"{""goal_drift"": 1}",premature finish / missed second meeting,"Going to the cafe first and messaging Ben is locally reasonable, but the trace stops early and never shows the needed coordination for Casey or the later meetup, so the full behavior feels incomplete."
1,hard_overlapping_windows,social_outcome_hard,generative_agents_official_planner,0.0,0.2,0.75,0.15,,0.38,0.22,0.16,0.25,0.0,1.0,0.5,,1.0,0.25,0.605,1.0,0.0,0.25,0.0,0.0,0,0,1,8.265,6866,0.15,0.28,"{""social_derailment"": 1, ""time_budget_failure"": 1}",missed second invitation,"The trace reads like a simple trip to meet Casey and return, but it ignores Ben entirely and the generic adapter reasons do not explain any actual scheduling logic."
1,hard_overlapping_windows,social_outcome_hard,agentsociety_official_plan_blocks,0.0,0.2,0.833,0.167,,0.92,0.76,0.16,0.167,0.0,0.0,0.5,,1.0,0.167,1.0,1.0,0.0,0.167,0.0,0.087,0,0,4,73.984,28413,0.97,0.9,"{""invalid_state_transition"": 1}",missing post-park coordination,"The trace is a coherent urban errand sequence that plausibly fits the two invitations, though it ends after the park meeting and never shows the return or any explicit handling of the second window beyond the simple first-to-second ordering."
1,hard_stale_plan_override,social_outcome_hard,gatsim_official_planner,0.0,0.2,0.429,0.086,,0.78,0.42,0.36,0.571,0.0,0.0,0.5,,1.0,0.571,1.0,1.0,0.0,0.571,0.0,0.351,0,0,6,172.85,57819,0.28,0.46,"{""invalid_state_transition"": 4}",template-driven repetition,"The trace reaches the updated meeting location in time, but the reasons are generic planner boilerplate and the repeated interaction steps read like filler rather than believable city behavior."
1,hard_stale_plan_override,social_outcome_hard,sotopia_official_llm_agent,0.333,0.6,1.0,0.6,,0.87,0.52,0.35,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0,0,9,353.202,63648,0.74,0.58,"{""goal_drift"": 1}",repeated redundant messaging,"The plan to confirm and go to the updated cafe is reasonable, but the trace wastes several steps on nearly identical messages and still never shows actual coordination or arrival with Ben."
1,hard_stale_plan_override,social_outcome_hard,generative_agents_official_planner,0.333,0.4,0.333,0.133,,0.82,0.58,0.24,0.667,0.0,0.0,0.5,,1.0,0.667,0.955,1.0,0.5,0.667,0.0,0.487,0,0,9,438.946,54412,0.2,0.74,"{""invalid_state_transition"": 4}",adapter-like placeholder reasoning,"The movement to the updated meeting location is sensible, but the trace reads like a stubbed planner repeating dwell actions with generic reasons rather than a coherent human sequence, and it never clearly reflects the timing of actually meeting Ben."
1,hard_stale_plan_override,social_outcome_hard,agentsociety_official_plan_blocks,0.333,0.4,0.7,0.28,,0.62,0.31,0.31,0.3,0.0,0.0,0.5,,1.0,0.3,1.0,1.0,0.5,0.3,1.0,0.0,0,0,10,142.428,61476,0.58,0.44,"{""money_budget_failure"": 3}",stale repetitive messaging,"The trace reaches the updated cafe and sends a confirming message, but it loops on redundant check-ins and waits past the useful meeting window without adapting to the public update timing."
1,hard_three_meeting_relay,social_outcome_hard,gatsim_official_planner,1.0,1.0,1.0,1.0,,0.55,0.38,0.17,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,42.51,4423,0.22,0.46,{},template-driven reasoning,"The sequence is superficially like a city errand plan, but the reasons are generic planner boilerplate and the trace misses the stated Casey window while ending with only one meeting clearly aligned to the intended schedule."
