scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
paired_commute_a,gatsim_official_planner,0.95,0.92,0.7,0.94,1.0,0.0,0.03,1.0,0.0,mechanistic rationale wording,"The commute behavior is short, feasible, and reaches the office well before the deadline, but the stated reasons sound system-driven rather than like a human urban plan."
paired_commute_a,sotopia_official_llm_agent,0.99,0.98,0.86,0.99,1.0,0.0,0.01,0.45,0.0,generic rationale text,"The trace is a straightforward, feasible morning commute that reaches the office well before the deadline, with the only weakness being that the stated reasons are boilerplate rather than informative."
paired_commute_a,generative_agents_official_planner,0.96,0.94,0.62,0.97,1.0,0.0,0.02,1.0,0.0,generic rationale text,"The commute sequence is straightforward and feasible, reaching the office early via the normal hub route, but the stated reasons are placeholder text rather than meaningful intent."
paired_commute_a,agentsociety_official_plan_blocks,0.98,0.97,0.9,0.99,1.0,0.0,0.01,0.45,0.0,generic plan rationale,"The commute is straightforward and feasible, but the stated reasons are template-like rather than situationally informative."
paired_commute_b,gatsim_official_planner,0.83,0.72,0.58,0.81,0.857,0.0,0.11,0.75,0.143,generic planner rationale ignores disruption,"The rerouted commute via park and library still gets Aria to the office on time, but the stated reasons read like template plan-following rather than an explicit reliability-driven response to the hub disruption."
paired_commute_b,sotopia_official_llm_agent,0.62,0.18,0.35,0.4,1.0,0.0,0.44,0.45,0.0,ignored visible disruption,"Going through the hub is plausible at first, but completing the blocked hub-to-office leg after the 08:08 public alert makes the overall commute behavior hard to believe."
paired_commute_b,generative_agents_official_planner,0.76,0.58,0.35,0.72,0.8,0.0,0.18,0.75,0.2,passive waiting at disruption,"Going to the hub first is reasonable, but then waiting 43 minutes for a known blockage instead of taking the backup route weakens the full commute’s credibility despite still arriving before 09:15."
paired_commute_b,agentsociety_official_plan_blocks,0.72,0.46,0.84,0.62,0.6,0.12,0.26,0.75,0.4,unnecessary extra waiting at clearance time,"Using the hub and waiting through a disruption is plausible, but the extra 08:55-09:00 dwell weakens believability for a commuter prioritizing reliable on-time arrival."
paired_pickup_a,gatsim_official_planner,0.88,0.84,0.58,0.9,1.0,0.0,0.04,1.0,0.0,mechanical planner-style rationale,"The sequence sensibly prioritizes school pickup and gets Aria there well before the deadline, but the stated reasons read like generic planner execution rather than human caregiving judgment."
paired_pickup_a,sotopia_official_llm_agent,0.82,0.61,0.42,0.74,1.0,0.0,0.21,0.5,0.0,stops without explicit pickup,"Going straight from work to the school is sensible, but the trace ends abruptly at arrival without actually performing or stating the child pickup."
paired_pickup_a,generative_agents_official_planner,0.96,0.93,0.62,0.97,1.0,0.0,0.03,1.0,0.0,generic reasons obscure intent,"The behavior is highly plausible and appropriately prioritizes an early school pickup, but the trace gives only placeholder rationales rather than explaining that priority."
paired_pickup_a,agentsociety_official_plan_blocks,0.98,0.97,0.99,0.98,1.0,0.0,0.01,1.0,0.0,none,"Aria goes straight from work to the school, completes pickup well before the deadline, and avoids unnecessary social diversion in a way that fits the scenario."
paired_pickup_b,gatsim_official_planner,0.83,0.69,0.58,0.78,1.0,0.0,0.14,1.0,0.0,mechanical rationale with irrelevant Ben follow-up,"The early school pickup is sensible, but the stated reasons are planner-mechanical and the abrupt trip to Ben's home does not fit the scenario's social event context."
paired_pickup_b,sotopia_official_llm_agent,0.72,0.41,0.38,0.74,1.0,0.0,0.31,0.5,0.0,premature stop without completing pickup,"Going straight to school early is reasonable, but ending the episode at the school without actually doing the pickup or addressing the invitation makes the full behavior less believable."
paired_pickup_b,generative_agents_official_planner,0.42,0.21,0.08,0.34,0.75,0.0,0.21,0.9,0.25,duplicate pickup then diner detour,"Going straight to school is plausible, but the repeated school service and then leaving for dinner instead of simply finishing the pickup sequence make the overall behavior hard to believe as a coherent caregiver plan."
paired_pickup_b,agentsociety_official_plan_blocks,0.72,0.29,0.76,0.58,0.5,0.22,0.43,0.9,0.5,repetitive pickup loop,"Getting to the school early and prioritizing pickup is reasonable, but repeatedly performing pickup/check-in actions after completion makes the full trace implausible."
paired_study_a,gatsim_official_planner,0.78,0.56,0.62,0.57,1.0,0.0,0.22,1.0,0.0,unmotivated second study stop with bookstore access fee,"Starting with a 50-minute library study block is sensible, but then paying for bookstore access and repeating another full block despite already meeting the goal makes the full trace feel planner-driven rather than natural."
paired_study_a,sotopia_official_llm_agent,0.97,0.95,0.72,0.98,0.333,0.637,0.02,0.15,0.667,generic reasons,"Going straight to the library and studying there for 100 minutes within budget is very plausible, but the stated reasons are generic placeholders rather than meaningful motivations."
paired_study_a,generative_agents_official_planner,0.96,0.95,0.74,0.98,1.0,0.0,0.01,1.0,0.0,generic rationale text,"Going straight to the free quiet library and studying for 50 minutes within budget is very plausible, though the recorded reasons are generic rather than meaningfully aligned to the actions."
paired_study_a,agentsociety_official_plan_blocks,0.98,0.97,0.99,0.99,1.0,0.0,0.01,1.0,0.0,none,"Aria goes straight to the free quiet library, completes a 50-minute study block, and stops within budget, which is highly plausible city behavior."
paired_study_b,gatsim_official_planner,0.8,0.68,0.55,0.74,1.0,0.0,0.12,1.0,0.0,generic planner-driven rationale and odd paid bookstore access,"Choosing the nearby bookstore for a 50-minute work block is plausible after the library closure, but the stated reasons are robotic and paying for bookstore access is somewhat unnatural."
paired_study_b,sotopia_official_llm_agent,0.58,0.18,0.22,0.4,0.5,0.08,0.4,0.5,0.5,studying in a closed library,"Going to the library first is reasonable, but the trace then claims a 50-minute study block there during a public closure before belatedly switching to the bookstore."
paired_study_b,generative_agents_official_planner,0.76,0.62,0.3,0.74,0.571,0.189,0.14,0.5,0.429,unexplained extra move to coworking,"Starting a study block at the bookstore after the library closure is sensible, but shifting to coworking despite already completing focused time and showing no budget impact makes the full trace less convincing."
paired_study_b,agentsociety_official_plan_blocks,0.72,0.43,0.58,0.68,0.625,0.095,0.29,0.5,0.375,unnecessary library detour and waiting,"Using the bookstore for focused work is reasonable, but going to a known-closed library, apparently entering it, then idling until reopening makes the full sequence feel inefficient and partly infeasible."
