scenario_id,family,agent_type,goal_completion,feasibility_violation,replanning_success,travel_efficiency,budget_consistency,intention_consistency,social_appropriateness,final_time,final_location,final_budget,violations
avoid_crowd_event,preference_constraint,utility_planner,1.0,0.0,,1.0,1.0,1.0,,18:27,park,14.0,0
avoid_crowd_event,preference_constraint,api_llm_direct_actor,1.0,0.0,,1.0,1.0,1.0,,20:00,park,0.0,0
budget_errand_chain,budget_constraint,utility_planner,1.0,0.0,,1.0,1.0,1.0,,17:58,home_aria,3.0,0
budget_errand_chain,budget_constraint,api_llm_direct_actor,1.0,0.125,,0.5,1.0,0.875,,19:16,home_aria,3.0,1
closed_poi_replacement,poi_closure,utility_planner,1.0,0.0,,1.0,1.0,1.0,,16:28,bookstore,9.0,0
closed_poi_replacement,poi_closure,api_llm_direct_actor,1.0,0.0,,1.0,1.0,1.0,,17:30,coworking,1.0,0
commute_disruption,disruption,utility_planner,0.5,1.0,0.0,1.0,1.0,0.0,,08:26,office,8.0,1
commute_disruption,disruption,api_llm_direct_actor,0.5,0.5,0.0,1.0,1.0,0.25,,09:00,office,8.0,1
conflicting_social_obligation,social_spatial_tradeoff,utility_planner,1.0,0.0,,1.0,1.0,1.0,1.0,17:47,coworking,20.0,0
conflicting_social_obligation,social_spatial_tradeoff,api_llm_direct_actor,1.0,0.0,,1.0,1.0,1.0,1.0,18:45,coworking,20.0,0
lunch_meeting_time_pressure,time_pressure,utility_planner,1.0,0.0,,1.0,1.0,1.0,1.0,12:25,cafe_central,6.0,0
lunch_meeting_time_pressure,time_pressure,api_llm_direct_actor,1.0,0.0,,0.286,1.0,1.0,1.0,13:00,quiet_cafe,8.0,0
memory_dependent_place_choice,memory,utility_planner,1.0,0.0,,1.0,1.0,1.0,1.0,10:30,quiet_cafe,4.0,0
memory_dependent_place_choice,memory,api_llm_direct_actor,1.0,0.0,,1.0,1.0,1.0,1.0,12:00,quiet_cafe,4.0,0
unexpected_friend_encounter,opportunistic_social,utility_planner,0.75,0.0,,1.0,1.0,0.75,0.0,16:04,pharmacy,11.0,0
unexpected_friend_encounter,opportunistic_social,api_llm_direct_actor,0.45,0.0,,1.0,1.0,0.45,0.0,17:06,market,20.0,0
