paper_id,title,abstract,year,venue,url,doi,authors,source_families,final_status,corpus_tier,exclusion_reason,notes
url-fefbb121e5,Generative Agents: Interactive Simulacra of Human Behavior,,2023,LLM-based game agents,https://arxiv.org/abs/2304.03442,,Joon Sung Park; Joseph C. O'Brien; Carrie J. Cai; Meredith Ringel Morris; Percy Liang; Michael S. Bernstein,paper_list_llm_based_game_agents,core,core,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as core corpus during Phase 0 prescreen.
url-5e8a9349f5,A Survey on Large Language Model-Based Game Agents,,2024,LLM-based game agents,https://arxiv.org/abs/2404.02039,,Sihao Hu; Tiansheng Huang; Gaowen Liu; Ramana Rao Kompella; Fatih Ilhan; Selim Furkan Tekin; Yichang Xu; Zachary Yahn; Ling Liu,paper_list_llm_based_game_agents,adjacent,adjacent,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
url-64c0ef38c6,Affordable Generative Agents,,2024,LLM-based game agents,https://arxiv.org/abs/2402.02053,,Yangbin Yu; Qin Zhang; Junyou Li; Qiang Fu; Deheng Ye,paper_list_llm_based_game_agents,core,core,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as core corpus during Phase 0 prescreen.
url-2eb998ca10,Project Sid: Many-Agent Simulations Toward AI Civilization,,2024,LLM-based game agents,https://arxiv.org/abs/2411.00114,,Altera.AL; Andrew Ahn; Nic Becker; Stephanie Carroll; Nico Christie; Manuel Cortes; Arda Demirci; Melissa Du; Frankie Li; Shuying Luo; Peter Y. Wang; Mathew Willows; Feitong Yang; Guangyu Robert Yang,paper_list_llm_based_game_agents,core,core,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as core corpus during Phase 0 prescreen.
url-809521b309,LIGS: Developing an LLM-Infused Game System for Emergent Narrative,,2025,LLM-based game agents,https://dl.acm.org/doi/10.1145/3706599.3720212,,Jin Jeong; Tak Yeon Lee,paper_list_llm_based_game_agents,core,core,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as core corpus during Phase 0 prescreen.
url-2659d842ca,MultiAgentBench: Evaluating the Collaboration and Competition of LLM Agents,,2025,LLM-based game agents,https://arxiv.org/abs/2503.01935,,Kunlun Zhu; Hongyi Du; Zhaochen Hong; Xiaocheng Yang; Shuyi Guo; Zhe Wang; Zhenhailong Wang; Cheng Qian; Xiangru Tang; Heng Ji; Jiaxuan You,paper_list_llm_based_game_agents,excluded,excluded,E1,Seeded from local generated paper list for Phase 0 prescreening. Collaboration topology benchmark without a persistent spatial environment.
url-7a938c81e0,Artificial Leviathan: Exploring Social Evolution of LLM Agents Through the Lens of Hobbesian Social Contract Theory,,2024,LLM-based game agents,https://arxiv.org/abs/2406.14373,,Gordon Dai; Weijia Zhang; Jinhan Li; Siqi Yang; Chidera Onochie Ibe; Srihas Rao; Arthur Caetano; Misha Sra,paper_list_llm_based_game_agents,core,core,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as core corpus during Phase 0 prescreen.
url-8241d30b40,The Social Logic of Space,,1984,Space Syntax theory and agent simulation,https://doi.org/10.1017/CBO9780511597237,,Bill Hillier; Julienne Hanson,paper_list_space_syntax_theory_and_agent_simulation,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-9de6537213,Space is the Machine: A Configurational Theory of Architecture,,1996,Space Syntax theory and agent simulation,https://spaceisthemachine.com/ (free official download,,Bill Hillier,paper_list_space_syntax_theory_and_agent_simulation,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-8b98cc2f48,From Isovists to Visibility Graphs: A Methodology for the Analysis of Architectural Space,,2001,Space Syntax theory and agent simulation,https://doi.org/10.1068/b2684,,Alasdair Turner; Maria Doxa; David O'Sullivan; Alan Penn,paper_list_space_syntax_theory_and_agent_simulation,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-2b12d88bb3,Space Syntax Based Agent Simulation,,,Space Syntax theory and agent simulation,https://discovery.ucl.ac.uk/2027/1/penn.pdf,,Alan Penn; Alasdair Turner,paper_list_space_syntax_theory_and_agent_simulation,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-c613387c8a,"Space Syntax Methodology (4th edition, draft)",,2014,Space Syntax theory and agent simulation,https://www.researchgate.net/publication/295855785_Space_Syntax_methodology,,Kinda Al-Sayed; Alasdair Turner; Bill Hillier; Shinichi Iida; Alan Penn (with contributions from Griffiths; Karimi; Vaughan; Psarra; Conroy Dalton; Varoudis; Sailer; Yang; Fatah gen. Schieck; Hanna),paper_list_space_syntax_theory_and_agent_simulation,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-245f793559,"Agent-Based Analysis of Urban Spaces Using Space Syntax and Spatial Cognition Approaches: A Case Study in Bari, Italy",,2020,Space Syntax theory and agent simulation,https://www.mdpi.com/2071-1050/12/11/4625,,Dario Esposito; Stefania Santoro; Domenico Camarda,paper_list_space_syntax_theory_and_agent_simulation,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-89da260651,Computational Analytical Methods for Buildings and Cities: Space Syntax and Shape Grammar,,2023,Space Syntax theory and agent simulation,https://www.mdpi.com/2075-5309/13/7/1613,,Michael J. Ostwald; Ju Hyun Lee,paper_list_space_syntax_theory_and_agent_simulation,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-7c6bf1a96c,"Comparative Analysis of Pedestrian Volume Models: Agent-Based Models, Machine Learning Methods and Multiple Regression Analysis",,2024,Space Syntax theory and agent simulation,https://www.sciencedirect.com/science/article/abs/pii/S0198971524001674,,Lior Wolpert; Itzhak Omer,paper_list_space_syntax_theory_and_agent_simulation,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-98dd4ee7c3,Evaluation of Spatial Visual Perception of Streets Based on Deep Learning and Spatial Syntax,,2025,Space Syntax theory and agent simulation,https://www.nature.com/articles/s41598-025-03189-z,,,paper_list_space_syntax_theory_and_agent_simulation,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-e620f90a2d,Visibility Graph Analysis vs. Human Mobility Patterns: An Empirical Validation of Simulation-Based Analysis Using Space Syntax in Public Squares,,2026,Space Syntax theory and agent simulation,https://link.springer.com/chapter/10.1007/978-3-031-97654-4_4,,Reza Askarizad; Chiara Garau,paper_list_space_syntax_theory_and_agent_simulation,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-47f7d49f88,When LLMs Recognize Your Space: Research on Experiences with Spatially Aware LLM Agents,,2025,Spatially-aware LLM agents,10.1109/TVCG.2025.3616809,,Seungwoo Oh; Nakyoung An; Youngwug Cho; Myeongul Jung; Kwanguk Kenny Kim,paper_list_spatially_aware_llm_agents,adjacent,adjacent,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
url-45f998d899,SARAH: Spatially Aware Real-time Agentic Humans,,2026,Spatially-aware LLM agents,https://arxiv.org/abs/2602.18432,,Evonne Ng; Siwei Zhang; Zhang Chen; Michael Zollhoefer; Alexander Richard,paper_list_spatially_aware_llm_agents,adjacent,adjacent,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
url-5d937c2070,Advancing Spatial Reasoning in Large Language Models: An In-Depth Evaluation and Enhancement Using the StepGame Benchmark,,2024,Spatially-aware LLM agents,https://arxiv.org/abs/2401.03991,,Fangjun Li; David C. Hogg; Anthony G. Cohn,paper_list_spatially_aware_llm_agents,adjacent,adjacent,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
url-25909e401a,SpatialVLM: Endowing Vision-Language Models with Spatial Reasoning Capabilities,,2024,Spatially-aware LLM agents,https://spatial-vlm.github.io/,,Boyuan Chen; Zhuo Xu; Sean Kirmani; Brain Ichter; Dorsa Sadigh; Leonidas Guibas; Fei Xia,paper_list_spatially_aware_llm_agents,adjacent,adjacent,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
url-04da6458d5,Reframing Spatial Reasoning Evaluation in Language Models: A Real-World Simulation Benchmark for Qualitative Reasoning,,2024,Spatially-aware LLM agents,https://www.ijcai.org/proceedings/2024/0701.pdf,,Fangjun Li; David C. Hogg; Anthony G. Cohn,paper_list_spatially_aware_llm_agents,adjacent,adjacent,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
url-ceec8afb05,LLM-Driven NPCs: Cross-Platform Dialogue System for Games and Social Platforms,,2025,NPC dialogue and behavior systems,https://arxiv.org/abs/2504.13928,,Li Song,paper_list_npc_dialogue_and_behavior_systems,core,core,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as core corpus during Phase 0 prescreen.
url-ff5ceb36ad,Deflanderization for Game Dialogue: Balancing Character Authenticity with Task Execution in LLM-based NPCs,,2025,NPC dialogue and behavior systems,https://arxiv.org/abs/2510.13586,,Pasin Buakhaw; Kun Kerdthaisong; Phuree Phenhiran; Pitikorn Khlaisamniang; Supasate Vorathammathorn; Piyalitt Ittichaiwong; Nutchanon Yongsatianchot,paper_list_npc_dialogue_and_behavior_systems,excluded,excluded,E1,Seeded from local generated paper list for Phase 0 prescreening. Dialogue-quality study without an analyzable spatial environment.
url-298d13e2d4,Tricking LLM-Based NPCs into Spilling Secrets,,2025,NPC dialogue and behavior systems,https://arxiv.org/abs/2508.19288,,Kyohei Shiomi; Zhuotao Lian; Toru Nakanishi; Teruaki Kitasuka,paper_list_npc_dialogue_and_behavior_systems,excluded,excluded,E1,"Seeded from local generated paper list for Phase 0 prescreening. Security study for NPC prompting, not a spatial social simulation."
url-dfcd640f65,Ubisoft Project NEO NPC (Industry Prototype),,2024,NPC dialogue and behavior systems,https://news.ubisoft.com/en-us/article/5qXdxhshJBXoanFZApdG3L/how-ubisofts-new-generative-ai-prototype-changes-the-narrative-for-npcs,,,paper_list_npc_dialogue_and_behavior_systems,excluded,excluded,E5,Seeded from local generated paper list for Phase 0 prescreening. Industry news/prototype coverage rather than an accessible research paper.
url-29ba3bf183,Fixed-Persona SLMs with Modular Memory: Scalable NPC Dialogue on Consumer Hardware,,2025,NPC dialogue and behavior systems,https://arxiv.org/abs/2511.10277,,Martin Braas et al.,paper_list_npc_dialogue_and_behavior_systems,excluded,excluded,E1,Seeded from local generated paper list for Phase 0 prescreening. Persona-memory study without a stable spatial environment.
