repeat_id,scenario_id,family,agent_type,task_completion,goal_completion,trace_feasibility,intention_consistency,replanning_success,judge_face_plausibility,judge_trace_believability,face_believability_gap,impossible_trace_rate,done_state_loop_rate,social_derailment_rate,constraint_satisfaction,process_success,plan_plausibility,plausibility_feasibility_gap,travel_efficiency,budget_consistency,social_appropriateness,feasibility_violation,city_false_continue,face_feasibility_gap,route_interruption_count,verified_replan_count,llm_calls,llm_latency_seconds,llm_total_tokens,judge_rationale_alignment,judge_urban_common_sense,failure_taxonomy,judge_main_issue,judge_brief_reason
1,hard_budget_entangled_meet,social_outcome_hard,api_llm_react_tool_policy,0.769,0.85,1.0,0.85,,0.94,0.78,0.16,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,10,69.716,95309,0.92,0.84,"{""social_derailment"": 1}",budget tension underused,"The sequence reads like a plausible urban errand-plus-meeting plan, and the reasons mostly match the actions, though the budget conflict is barely stressed and the behavior is somewhat scripted."
1,hard_budget_entangled_meet,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,1.0,1.0,,0.96,0.79,0.17,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,18.291,8959,0.95,0.87,{},budget arithmetic is unusually neat,"The plan is locally coherent and matches the stated goal, but it feels slightly over-scripted because the spending and timing line up too cleanly for a tight-budget day."
1,hard_deadline_then_meet,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,1.0,1.0,,0.97,0.95,0.02,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,9,76.391,84358,0.99,0.96,{},none,"The trace follows the hard-deadline-first then meeting-later order coherently, with reasons that match the actions and a realistic urban sequence."
1,hard_deadline_then_meet,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,1.0,1.0,,0.93,0.72,0.21,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,23.221,10902,0.97,0.81,{},slight schedule tightness,"The plan logic is coherent and the stated reasons match the sequence, though the timing is a bit tidy and the meeting is handled with only moderate realism rather than messy human uncertainty."
1,hard_full_evening_chain,social_outcome_hard,api_llm_react_tool_policy,0.571,0.7,1.0,0.7,,0.78,0.43,0.35,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,9,100.963,87615,0.76,0.67,"{""social_derailment"": 1}",budget-driven abandonment,"The early steps and stated reasons sound like a reasonable evening plan, but the sequence becomes less believable because it spends the budget, reaches the diner early, then aborts instead of cleanly handling the stated full chain."
1,hard_full_evening_chain,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,1.0,1.0,,0.9,0.87,0.03,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,26.221,8645,0.96,0.89,{},slightly compressed timing,"The sequence reads like a reasonable evening errand-and-dinner plan, and the reasons match the actions well, though the timeline is a bit tightly packed and mildly scripted."
1,hard_overlapping_windows,social_outcome_hard,api_llm_react_tool_policy,0.5,0.7,1.0,0.7,,0.82,0.64,0.18,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0,0,8,98.339,73551,0.93,0.7,"{""goal_drift"": 1, ""social_derailment"": 1}",late completion of Ben meeting,"The plan reads like a reasonable urban itinerary and the stated reasons match the actions well, but the full trace drifts past Ben's window and then abandons the remaining goal, which weakens overall believability."
1,hard_overlapping_windows,social_outcome_hard,api_llm_plan_and_execute,0.5,0.5,0.857,0.429,,0.92,0.28,0.64,0.143,0.0,1.0,0.5,,1.0,0.143,1.0,1.0,0.5,0.143,0.0,0.063,0,0,1,17.476,8856,0.88,0.34,"{""invalid_state_transition"": 1, ""social_derailment"": 1}",missed meeting window,"The plan sounds locally sensible, but the cafe leg arrives after Ben's window closes, so the full sequence reads as a flawed attempt to fit both meetings."
1,hard_stale_plan_override,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,1.0,1.0,,0.78,0.42,0.36,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,6,41.939,54185,0.81,0.66,{},overly contrived validation steps,"The trace starts with a sensible update check and travel to the revised cafe, but it then pads the meeting with unnatural service/interaction steps and a self-justifying finish that make the full sequence feel staged rather than ordinary."
1,hard_stale_plan_override,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,1.0,1.0,,0.93,0.88,0.05,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,17.36,8565,0.97,0.9,{},minor over-elaboration,"The agent responds sensibly to the schedule change, confirms with Ben, travels to the updated cafe, and meets within the new window, with only slightly overdescribed service timing."
