repeat_id,scenario_id,family,agent_type,goal_completion,trace_feasibility,intention_consistency,replanning_success,judge_face_plausibility,judge_trace_believability,face_believability_gap,impossible_trace_rate,done_state_loop_rate,social_derailment_rate,plan_plausibility,plausibility_feasibility_gap,travel_efficiency,budget_consistency,social_appropriateness,feasibility_violation,city_false_continue,face_feasibility_gap,judge_rationale_alignment,judge_urban_common_sense,failure_taxonomy,judge_main_issue,judge_brief_reason
1,avoid_crowd_event,preference_constraint,utility_planner,1.0,1.0,1.0,,0.68,0.42,0.26,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.64,0.57,{},goal underachievement,"Going to a park for exercise is reasonable, but the trace stops immediately without attempting groceries or showing any response to the crowded plaza event, so the full behavior feels incomplete and underdeveloped."
1,avoid_crowd_event,preference_constraint,api_llm_direct_actor,1.0,1.0,1.0,,0.86,0.67,0.19,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.9,0.78,{},missed groceries,"The park-focused plan is locally sensible for avoiding the concert crowd and exercising, but it repeatedly dwells at the park and never goes to the market, which makes the full trace feel incomplete."
1,avoid_crowd_event,preference_constraint,api_llm_plan_then_act,1.0,1.0,1.0,,0.95,0.78,0.17,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.93,0.9,{},budget depletion,"The route and reasons are coherent for avoiding a crowded concert while exercising and shopping, but ending with exactly zero budget makes the trace slightly less convincing."
1,avoid_crowd_event,preference_constraint,api_llm_reactive_replanner,1.0,1.0,1.0,,0.47,0.18,0.29,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.31,0.34,{},missed groceries and overclaim,"Going to a park to exercise is plausible, but the trace incorrectly declares completion without ever visiting the market and the crowd-avoidance reason is too convenient for the public-event timing."
1,budget_errand_chain,budget_constraint,utility_planner,1.0,1.0,1.0,,0.94,0.92,0.02,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.97,0.95,{},none,"The agent follows a sensible low-budget errand chain—pharmacy, affordable dinner, then home—and the reasons match the actions and the budget constraint."
1,budget_errand_chain,budget_constraint,api_llm_direct_actor,1.0,0.75,1.0,,0.77,0.34,0.43,0.25,1.0,0.0,1.0,0.25,0.699,1.0,,0.0,0.0,0.02,0.58,0.62,"{""done_state_loop"": 1}",goal drift and redundant looping,"The individual moves are locally reasonable for a tight-budget errand, but the agent returns home and then goes back to the diner without completing the home-by-19:00 goal, making the overall sequence feel incoherent."
1,budget_errand_chain,budget_constraint,api_llm_plan_then_act,1.0,1.0,1.0,,0.97,0.98,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.99,0.98,{},none,"The sequence is a straightforward and realistic errand chain: buy medicine, eat cheaply, and return home on time while staying within budget."
1,budget_errand_chain,budget_constraint,api_llm_reactive_replanner,1.0,1.0,1.0,,0.95,0.98,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.98,0.97,{},none,"The route is a straightforward low-budget errand chain: pharmacy, cheap dinner, then home before the deadline, with reasons and timing all matching the scenario."
1,closed_poi_replacement,poi_closure,utility_planner,1.0,1.0,1.0,,0.93,0.9,0.03,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.88,0.92,{},minor timing oddity,"Going to a bookstore as a quiet fallback and staying for a focused work session is very plausible, with only a slight oddity in the unexplained 2-minute wait before starting the 58-minute dwell."
1,closed_poi_replacement,poi_closure,api_llm_direct_actor,1.0,1.0,1.0,,0.9,0.74,0.16,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.96,0.88,{},redundant dwelling,"The agent’s choice to switch to coworking is sensible for a quiet Wi‑Fi workspace, but the trace repeats dwelling at the same location in a slightly awkward way rather than showing a natural work session flow."
