corpus_tier,shortlist_id,system_name,system_family,paper_refs,year,agent_count,environment_side_representation,agent_accessible_representation,representation_gap_note,behavioral_scale,behavior_type,evidence_status,spatial_behavior_coupling,evaluation_method,space_syntax_construct,local_pdf_status,local_artifact_path,evidence_completeness,current_gap_flag,next_coding_action,coding_readiness,source_basis
Core,HC02,"Generative Agents: Interactive Simulacra of Human Behavior","Generative Agents",Park2023,2023,10-100,2D_grid,L3,"The Smallville town world is spatially explicit at the level of places, movement, and co-presence, but agent-facing input remains textual rather than geometric.",emergent_social_structure,"dialogue; cooperation; mobility",designed_affordance_only,explicit,mixed,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/01_Generative_Agents_Park2023.pdf,first_pass_coded,none,none,coded_first_pass,local_pdf_and_reading_note
Core,HC03A,"Concordia: Riverbend elections town configuration",Concordia,Vezhnevets2023,2023,2-10,text-only,L3,"The Game Master exposes player-specific location state in a town-like world with named places, but the interface is still text-mediated and does not provide direct geometry.",interaction,"dialogue; cooperation; conflict; mobility",designed_affordance_only,explicit,none,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/05_Concordia_Vezhnevets2023.pdf,first_pass_coded_split_row,none,none,coded_first_pass,local_pdf_ocr_and_adjudication_memo
Core,HC03B,"Concordia: phone-calendar digital action-space configuration",Concordia,Vezhnevets2023,2023,2-10,text-only,L1,"The digital phone example exposes app and action labels in a nested digital environment, but it does not present topology or geometry at the agent interface.",interaction,"dialogue; cooperation; other",designed_affordance_only,none,none,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/05_Concordia_Vezhnevets2023.pdf,first_pass_coded_split_row,none,none,coded_first_pass,local_pdf_ocr_and_adjudication_memo
Core,HC04,"Affordable Generative Agents","Affordable Generative Agents",Yu2024,2024,10-100,2D_grid,L3,"AGA inherits a Stanford Town style environment and local social interaction structure, but the paper's main contribution is cost reduction rather than a new spatial interface.",mixed,"dialogue; cooperation; mobility",designed_affordance_only,explicit,mixed,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/02_Affordable_Generative_Agents_Yu2024.pdf,first_pass_coded,none,none,coded_first_pass,local_pdf_and_reading_note
Core,HC05,"Artificial Leviathan: Exploring Social Evolution of LLM Agents Through the Lens of Hobbesian Social Contract Theory","Artificial Leviathan",Dai2024,2024,10-100,text-only,L3,"The sandbox society supports co-presence and resource competition, but the environment remains abstract and the paper does not operationalize richer spatial structure.",emergent_social_structure,"cooperation; conflict; role_differentiation; norm_formation",designed_affordance_only,implicit,auto_metric,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/04_Artificial_Leviathan_Dai2024.pdf,first_pass_coded,none,none,coded_first_pass,local_pdf_and_reading_note
Core,HC06,"Project Sid: Many-agent simulations toward AI civilization","Project Sid",Altera2024,2024,100+,3D_engine,L5,"Appendix and configuration evidence expose direct coordinate-bearing location memories and explicit spawn locations, so the agent-facing interface reaches geometry level.",emergent_social_structure,"cooperation; conflict; mobility; role_differentiation; norm_formation",designed_affordance_only,explicit,mixed,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/03_Project_Sid_Altera2024.pdf,first_pass_coded,none,none,coded_first_pass,local_pdf_ocr_and_reading_note
Core,HC07,"OASIS: Open Agent Social Interaction Simulations with One Million Agents",OASIS,Yang2024_OASIS,2024,100+,graph_based,L3,"The platform environment is a structured digital graph with explicit feeds, posts, and local interaction opportunities, but the agent interface is not geometric.",emergent_social_structure,"dialogue; cooperation; conflict; other",observed_effect,explicit,auto_metric,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/06_OASIS_Yang2024.pdf,first_pass_coded,none,none,coded_first_pass,local_pdf_and_boundary_note
Core,HC08,"Lyfe Agents: Generative agents for low-cost real-time social interactions","Lyfe Agents",LyfeAgents2023,2023,10-100,3D_engine,L3,"The agents act in a 3D virtual world, but the current evidence base indicates text-mediated local observations rather than direct geometry feeds.",interaction,"dialogue; cooperation; mobility",designed_affordance_only,explicit,mixed,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/09_HC08_Lyfe_Agents.pdf,first_pass_coded,none,none,coded_first_pass,local_pdf_partial_review
Core,HC09,"Spontaneous Emergence of Agent Individuality Through Social Interactions in Large Language Model-Based Communities","Spontaneous Emergence",SpontaneousEmergence2024,2024,2-10,2D_grid,L3,"Agents move and communicate in a 50 x 50 grid with explicit local neighborhood constraints, but no evidence shows global configurational metrics or direct geometry inputs.",emergent_social_structure,"cooperation; mobility; role_differentiation; norm_formation",observed_effect,explicit,auto_metric,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/10_HC09_Spontaneous_Emergence.pdf,first_pass_coded,none,none,coded_first_pass,local_pdf_partial_review
Core,HC10,"Real world community oriented high-definition social simulation: Combining reinforcement learning and large language models","Real World Community Oriented HD Social Simulation",RealWorldCommunity2026,2026,100+,3D_engine,L3,"The GIS/BIM/Unreal backend is physically rich, but the exposed observation fields are still categorical state variables centered on time, action, and location labels.",emergent_social_structure,"cooperation; mobility; role_differentiation; other",observed_effect,explicit,mixed,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/11_HC10_Real_World_Community_Oriented.pdf,first_pass_coded,none,none,coded_first_pass,local_pdf_page_review
Core,HC12A,"SimWorld: visual-GPS embodied interface",SimWorld,SimWorld2025,2025,2-10,3D_engine,L5,"This split row captures the multimodal embodied interface where agents receive visual observations together with GPS-like or position-bearing information in a 3D world.",mixed,"cooperation; conflict; mobility; other",designed_affordance_only,explicit,auto_metric,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/12_HC12_SimWorld.pdf,first_pass_coded_split_row,none,none,coded_first_pass,local_pdf_ocr_and_adjudication_memo
Core,HC12B,"SimWorld: scene-graph and abstract-layout interface",SimWorld,SimWorld2025,2025,2-10,3D_engine,L3,"This split row captures the structured interface where observations are abstracted into scene graphs or layouts without requiring the agent to act on full geometry directly.",mixed,"cooperation; conflict; mobility; other",designed_affordance_only,explicit,auto_metric,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/12_HC12_SimWorld.pdf,first_pass_coded_split_row,none,none,coded_first_pass,local_pdf_ocr_and_adjudication_memo
Core,HC15,"CitySim: Modeling Urban Behaviors and City Dynamics with Large-Scale LLM-Driven Agent Simulation",CitySim,CitySim2025,2025,100+,graph_based,L3,"CitySim exposes districts, place functions, and urban movement in a structured city environment, but the current evidence supports a graph- or place-level interface rather than direct geometry.",emergent_social_structure,"mobility; cooperation; role_differentiation; norm_formation",observed_effect,explicit,mixed,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/13_HC15_CitySim.pdf,first_pass_coded,none,none,coded_first_pass,local_pdf_partial_review
Core,BK01,"AgentSociety: Large-Scale Simulation of LLM-Driven Generative Agents Advances Understanding of Human Behaviors and Society",AgentSociety,Piao2025_AgentSociety,2025,100+,graph_based,L3,"Agent memories and environment feedback now clearly include location-bearing state, but the extracted evidence still supports only a conservative place- and movement-level representation.",emergent_social_structure,"cooperation; conflict; mobility; norm_formation; other",designed_affordance_only,implicit,mixed,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/07_AgentSociety_Piao2025.pdf,first_pass_coded,none,none,coded_first_pass,local_pdf_ocr_partial_review
