repeat_id,scenario_id,family,agent_type,task_completion,goal_completion,trace_feasibility,intention_consistency,replanning_success,judge_face_plausibility,judge_trace_believability,face_believability_gap,impossible_trace_rate,done_state_loop_rate,social_derailment_rate,constraint_satisfaction,process_success,plan_plausibility,plausibility_feasibility_gap,travel_efficiency,budget_consistency,social_appropriateness,feasibility_violation,city_false_continue,face_feasibility_gap,route_interruption_count,verified_replan_count,llm_calls,llm_latency_seconds,llm_total_tokens,judge_rationale_alignment,judge_urban_common_sense,failure_taxonomy,judge_main_issue,judge_brief_reason
1,closed_study_spot_replacement,poi_closure,gatsim_official_planner,1.0,1.0,0.875,0.875,,0.82,0.48,0.34,0.125,0.0,0.0,1.0,,1.0,0.125,0.388,1.0,,0.125,0.0,0.0,0,0,2,66.069,19029,0.77,0.74,"{""time_budget_failure"": 1}",unnecessary second venue and budget churn,"The bookstore-to-cafe sequence is locally reasonable for finding a quiet place, but the trace spends time and money at one spot before repeating the same work block at another without a clear need, which weakens full-sequence believability."
1,closed_study_spot_replacement,poi_closure,sotopia_official_llm_agent,0.0,0.4,1.0,0.4,,0.71,0.12,0.59,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0,0,2,9.474,13731,0.18,0.22,"{""goal_drift"": 1}",unparseable agent action / dead-end sequence,"The intent to switch from a closed library to another quiet place is plausible, but the trace stops after a move to the library and an unparseable finish action, so it does not look like believable city behavior or a completed replacement plan."
1,closed_study_spot_replacement,poi_closure,generative_agents_official_planner,0.5,0.7,0.571,0.4,,0.97,0.82,0.15,0.429,0.0,0.0,1.0,,1.0,0.429,0.929,1.0,,0.429,1.0,0.399,0,0,7,40.198,41768,0.12,0.9,"{""money_budget_failure"": 3}",generic adapter reasons,"The sequence looks like a believable fallback from a closed library to quiet paid study spaces, but the stated reasons are boilerplate and do not explain the actual choices."
1,closed_study_spot_replacement,poi_closure,agentsociety_official_plan_blocks,1.0,1.0,0.875,0.875,,0.78,0.44,0.34,0.125,0.0,0.0,1.0,,1.0,0.125,1.0,1.0,,0.125,1.0,0.0,0,0,6,37.368,42194,0.72,0.67,"{""money_budget_failure"": 1}",repetitive dwell sequence,"Going to the bookstore as a quiet replacement and working there is plausible, but the trace becomes mechanically repetitive and spends the later steps idling without showing varied, natural behavior or a clear need for the extra dwell blocks."
1,detour_commute_midroute_block,disruption,gatsim_official_planner,1.0,1.0,1.0,1.0,1.0,0.18,0.08,0.1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.867,1.0,,0.0,0.0,0.0,1,1,2,18.609,18518,0.22,0.15,{},scripted destination-following ignores disruption,The trace reads like a canned planner that goes directly to the office despite the mid-route block and never actually replans around the alert.
1,detour_commute_midroute_block,disruption,sotopia_official_llm_agent,0.0,0.45,1.0,0.45,0.0,0.84,0.32,0.52,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.591,1.0,,0.0,0.0,0.0,0,0,5,21.373,33864,0.18,0.76,"{""goal_drift"": 1}",generic action trace with no real replanning,"The route choice is plausible in broad outline, but the trace never reflects the service alert, gives only placeholder reasons, and skips the expected mid-route adaptation after the block appears."
1,detour_commute_midroute_block,disruption,generative_agents_official_planner,1.0,0.65,0.5,0.325,0.0,0.28,0.12,0.16,0.5,0.0,0.0,0.667,0.0,1.0,0.5,1.0,1.0,,0.5,1.0,0.0,1,0,11,68.536,64580,0.15,0.22,"{""impossible_route"": 3, ""invalid_state_transition"": 1}",adapter-like repeated zero-duration moves,"The trace looks like a placeholder planner transcript rather than believable commuter behavior, with repeated no-op moves and a mid-route sequence that does not coherently reflect re-planning around the service alert."
1,detour_commute_midroute_block,disruption,agentsociety_official_plan_blocks,1.0,0.65,0.75,0.488,0.0,0.82,0.68,0.14,0.25,0.0,0.0,0.667,0.0,1.0,0.25,1.0,1.0,,0.25,0.0,0.07,0,0,6,36.31,41641,0.9,0.84,"{""invalid_state_transition"": 1}",staged waiting at blocked hub,"The commute plan is locally reasonable and consistent with the stated goal, but the trace feels somewhat scripted because the agent waits at the hub until the block clears instead of clearly replanning around the disruption."
1,meeting_wait_trap,time_pressure,gatsim_official_planner,0.0,0.15,0.444,0.067,,0.76,0.22,0.54,0.556,0.0,0.0,0.429,,1.0,0.556,0.568,1.0,0.0,0.556,1.0,0.316,0,0,6,56.062,56897,0.31,0.6,"{""invalid_state_transition"": 4, ""time_budget_failure"": 1}",goal drift and repetitive filler actions,"The setup of going to a cafe to meet Ben is plausible, but the trace devolves into repeated plan-revision wording, aimless dwell time, and a late move that misses the meeting window."
1,meeting_wait_trap,time_pressure,sotopia_official_llm_agent,0.308,0.55,1.0,0.55,,0.88,0.34,0.54,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0,0,10,48.711,69791,0.92,0.76,"{""goal_drift"": 1}",message loop without movement,"The plan setup is realistic and the messages match the goal, but the trace gets stuck repeatedly asking Ben for location while Aria never leaves the office or reaches the meeting window."
1,meeting_wait_trap,time_pressure,generative_agents_official_planner,0.308,0.35,0.667,0.233,,0.86,0.38,0.48,0.333,0.0,0.0,0.429,,1.0,0.333,0.955,1.0,0.5,0.333,1.0,0.193,0,0,5,30.685,30469,0.72,0.81,"{""money_budget_failure"": 3}",missed coordination window,"The individual actions are realistic for a lunch coordination problem, but the sequence spends too long waiting and then switches plans so late that it no longer looks like a successful urban meeting behavior."
1,meeting_wait_trap,time_pressure,agentsociety_official_plan_blocks,0.308,0.35,0.667,0.233,,0.83,0.41,0.42,0.333,0.0,0.0,0.429,,1.0,0.333,0.396,1.0,0.5,0.333,1.0,0.163,0,0,8,64.274,57155,0.76,0.72,"{""invalid_state_transition"": 1, ""money_budget_failure"": 1, ""time_budget_failure"": 1}",coordination drift and waiting loop,"The individual moves and messages sound like a reasonable lunch coordination attempt, but the trace repeatedly waits and rechecks without ever clearly confirming Ben or achieving the meeting window."
1,school_pickup_social_detour,social_spatial_tradeoff,gatsim_official_planner,1.0,1.0,1.0,1.0,,0.74,0.18,0.56,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,10.019,9039,0.7,0.25,{},prematurely stopping at school without pickup,"The individual moves and service action are locally plausible, but the sequence ignores the actual pickup deadline, ends immediately after arriving at school, and reads like an activity-plan artifact rather than believable city behavior."
